ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer
29157,junksw,,Neglect,10/19/2021 10:50,1,-105.3782952,6631.271996,0,6872.597656,2290.088867,0.62785399,-0.58799994,0.24000001,128,6609,normally,
29158,junksw,,Unknow,10/19/2021 10:54,1,1833.807807,11072.1805,0,6872.597656,2290.088867,0.62785399,-0.59799999,0.280000001,139.5,11050,normally,
29159,junksw,,Unknow,10/19/2021 10:58,1,1976.675736,11399.36075,0,6872.597656,2290.088867,0.62785399,-0.668000042,0.1175,143,11360,normally,
29160,junksw,,Unknow,10/19/2021 11:01,1,1965.88183,11374.64175,0,6872.597656,2290.088867,0.62785399,-0.601999998,0.117500007,143,11340,normally,
29161,junksw,,Unknow,10/19/2021 11:05,1,1955.179299,11350.132,0,6872.597656,2290.088867,0.62785399,-0.534000039,0.38499999,136,11340,normally,
29162,junksw,,Unknow,10/19/2021 11:09,1,1963.571167,11369.35012,0,6872.597656,2290.088867,0.62785399,-0.546000004,0.272500008,141.5,11350,normally,
29163,junksw,,Unknow,10/19/2021 11:13,1,1964.66583,11371.857,0,6872.597656,2290.088867,0.62785399,-0.574000001,0.129999995,143.5,11340,normally,
29164,junksw,,Unknow,10/19/2021 11:16,1,1959.926329,11361.00312,0,6872.597656,2290.088867,0.62785399,-0.577999949,0.272499979,137.5,11340,normally,
29165,junksw,,Unknow,10/19/2021 11:20,1,1961.677955,11365.0145,0,6872.597656,2290.088867,0.62785399,-0.622000039,0.119999997,139.5,11330,normally,
29166,junksw,,Single m,10/19/2021 11:24,1,1961.057673,11363.594,0,6872.597656,2290.088867,0.62785399,-0.684000015,0.07,142,11320,normally,
29167,ESL_08b_20,,Neglect,10/19/2021 11:33,1.4,2737.193831,15648.38162,0,6872.597656,2290.088867,0.62785399,-0.60799998,0.117500007,156.5,15610,normally,
29168,ESL_08b_20,,Valid,10/19/2021 11:37,1.4,2711.798178,15566.96,0,6872.597656,2290.088867,0.62785399,-0.680000007,0.200000003,154,15530,normally,
29169,ESL_08b_20,,Valid,10/19/2021 11:41,1.4,2709.623317,15559.98713,0,6872.597656,2290.088867,0.62785399,-0.675999999,0.277499974,150.5,15530,normally,
29170,ESL_08b_20,,Valid,10/19/2021 11:45,1.4,2712.360305,15568.76225,0,6872.597656,2290.088867,0.62785399,-0.575999975,0.324999988,149.5,15550,normally,
29171,ESL_08b_20,,Neglect,10/19/2021 11:53,1.2,2362.607677,13365.2955,0,6872.597656,2290.088867,0.62785399,-0.636000037,0.152500004,146,13330,normally,
29172,ESL_08b_20,,Valid,10/19/2021 11:57,1.2,2360.938619,13360.70875,0,6872.597656,2290.088867,0.62785399,-0.734000027,0.172499999,145,13320,normally,
29173,ESL_08b_20,,Out of d,10/19/2021 12:01,1.2,2353.961224,13341.53413,0,6872.597656,2290.088867,0.62785399,-0.692000031,0.252499998,143.5,13310,normally,
29174,ESL_08b_20,,Valid,10/19/2021 12:04,1.2,2357.56889,13351.44838,0,6872.597656,2290.088867,0.62785399,-0.65200007,0.207500011,141.5,13320,normally,
29175,ESL_08b_20,,Valid,10/19/2021 12:08,1.2,2359.198965,13355.928,0,6872.597656,2290.088867,0.62785399,-0.663999975,0.164999992,144,13320,normally,
