ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
33086,JUNK,,Neglect,2/4/2022 10:44:18 AM,1,442.295098324972,7885.49273693562,0,6872.59765625,2290.0888671875,0.627853989601135,2.49399995803833,3.06250023841858,133,8255,normally,,
33087,JUNK,,Unknow,2/4/2022 10:48:01 AM,1,2062.15200254609,11595.1089997292,0,6872.59765625,2290.0888671875,0.627853989601135,2.40599989891052,3.01500010490417,142,11980,normally,,
33088,JUNK,,Unknow,2/4/2022 10:51:37 AM,1,2093.41552878772,11666.7052531242,0,6872.59765625,2290.0888671875,0.627853989601135,2.39800000190735,2.92499995231628,136.5,12030,normally,,
33089,JUNK,,Unknow,2/4/2022 10:55:12 AM,1,2094.10490830527,11668.2839934826,0,6872.59765625,2290.0888671875,0.627853989601135,2.41799998283386,3.13000011444092,134,12040,normally,,
33090,JUNK,,Single m,2/4/2022 10:58:48 AM,1,2098.7641196123,11678.9540014267,0,6872.59765625,2290.0888671875,0.627853989601135,2.41199994087219,2.89750003814697,136,12040,normally,,
33091,ESL_08a_01,,Neglect,2/4/2022 11:05:17 AM,1.4,2736.06111687514,15644.7500014305,0,6872.59765625,2290.0888671875,0.627853989601135,2.36999988555908,2.90000009536743,150,16040,normally,,
33092,ESL_08a_01,,Unknow,2/4/2022 11:09:17 AM,1.4,2682.35940104196,15472.5756192207,0,6872.59765625,2290.0888671875,0.627853989601135,2.16000008583069,2.82249999046326,151.5,15850,normally,,
33093,ESL_08a_01,,Unknow,2/4/2022 11:13:13 AM,1.4,2677.96644649861,15458.4912604094,0,6872.59765625,2290.0888671875,0.627853989601135,2.16799974441528,3.00500011444092,147.5,15840,normally,,
33094,ESL_08a_01,,Unknow,2/4/2022 11:17:08 AM,1.4,2675.84059421615,15451.6755135059,0,6872.59765625,2290.0888671875,0.627853989601135,2.3439998626709,3.11249995231628,146,15850,normally,,
33095,ESL_08a_01,,Unknow,2/4/2022 11:21:09 AM,1.4,2688.21783407229,15491.3584843874,0,6872.59765625,2290.0888671875,0.627853989601135,2.34600019454956,2.86500000953674,153,15890,normally,,
33096,ESL_08a_01,,Unknow,2/4/2022 11:25:08 AM,1.4,2683.27542344203,15475.5125010014,0,6872.59765625,2290.0888671875,0.627853989601135,2.42400002479553,3.10249996185303,150,15890,normally,,
33097,ESL_08a_01,,Single m,2/4/2022 11:29:11 AM,1.4,2729.12439169821,15622.5099974871,0,6872.59765625,2290.0888671875,0.627853989601135,2.46600008010864,3.04999995231628,155,16050,normally,,
33098,ESL_08a_01,,Neglect,2/4/2022 11:33:06 AM,1.2,2382.00721966199,13418.6075146198,0,6872.59765625,2290.0888671875,0.627853989601135,2.55999994277954,3.21249985694885,146,13840,normally,,
33099,ESL_08a_01,,Unknow,2/4/2022 11:36:57 AM,1.2,2378.56028524584,13409.134971261,0,6872.59765625,2290.0888671875,0.627853989601135,2.54000020027161,3.05000019073486,147,13820,normally,,
33100,ESL_08a_01,,Unknow,2/4/2022 11:40:48 AM,1.2,2379.47073580701,13411.6369864941,0,6872.59765625,2290.0888671875,0.627853989601135,2.59600019454956,3.13499999046326,146,13830,normally,,
