ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
33975,junk,,Neglect,2/21/2022 10:15:05 AM,1,439.309302751438,7878.65499973297,0,6872.59765625,2290.0888671875,0.627853989601135,1.8659999370575,2.3675000667572,140,8175,normally,,
33976,junk,,Unknow,2/21/2022 10:18:51 AM,1,1904.7334427683,11234.6065084934,0,6872.59765625,2290.0888671875,0.627853989601135,1.68199992179871,2.22749996185303,146,11520,normally,,
33977,junk,,Unknow,2/21/2022 10:22:34 AM,1,1924.60898113529,11280.123257637,0,6872.59765625,2290.0888671875,0.627853989601135,1.58200001716614,2.19249987602234,143,11550,normally,,
33978,junk,,Unknow,2/21/2022 10:26:16 AM,1,1972.52491501255,11389.8550043702,0,6872.59765625,2290.0888671875,0.627853989601135,1.5900000333786,2.09999990463257,141,11650,normally,,
33979,junk,,Unknow,2/21/2022 10:29:59 AM,1,1976.84548640572,11399.7494968176,0,6872.59765625,2290.0888671875,0.627853989601135,1.53799998760223,2.12750005722046,142,11660,normally,,
33980,junk,,Unknow,2/21/2022 10:33:40 AM,1,1977.20421155061,11400.5710092783,0,6872.59765625,2290.0888671875,0.627853989601135,1.53799998760223,1.99999988079071,141,11650,normally,,
33981,ESL09a_17,,Neglect,2/21/2022 10:39:54 AM,1.4,2912.45433894808,16210.2886171937,0,6872.59765625,2290.0888671875,0.627853989601135,1.43799996376038,2.0475001335144,160.5,16490,normally,,
33982,ESL09a_17,,Out of d,2/21/2022 10:43:53 AM,1.4,2940.39769963126,16299.878508091,0,6872.59765625,2290.0888671875,0.627853989601135,1.5220000743866,2.43999981880188,151.5,16600,normally,,
33983,ESL09a_17,,Valid,2/21/2022 10:47:58 AM,1.4,2950.41181266445,16331.9850003719,0,6872.59765625,2290.0888671875,0.627853989601135,1.53000009059906,2.16249990463257,156,16620,normally,,
33984,ESL09a_17,,Out of d,2/21/2022 10:52:03 AM,1.4,2955.91043032173,16349.6142526865,0,6872.59765625,2290.0888671875,0.627853989601135,1.5460000038147,2.16499996185303,156.5,16640,normally,,
33985,ESL09a_17,,Valid,2/21/2022 10:56:09 AM,1.4,2948.85990072945,16327.0093776286,0,6872.59765625,2290.0888671875,0.627853989601135,1.61000001430511,2.23749995231628,157.5,16630,normally,,
33986,ESL09a_17,,Valid,2/21/2022 11:00:10 AM,1.4,2950.58765018658,16332.5487573445,0,6872.59765625,2290.0888671875,0.627853989601135,1.66600000858307,2.23499989509583,152.5,16630,normally,,
33987,ESL09a_17,,Neglect,2/21/2022 11:03:50 AM,1.2,2592.93679597445,13998.2644839883,0,6872.59765625,2290.0888671875,0.627853989601135,1.64600014686584,2.42000007629395,143.5,14290,normally,,
33988,ESL09a_17,,Unknow,2/21/2022 11:07:37 AM,1.2,2601.84493573916,14022.7450020313,0,6872.59765625,2290.0888671875,0.627853989601135,1.71000003814697,2.1949999332428,142,14300,normally,,
33989,ESL09a_17,,Unknow,2/21/2022 11:11:25 AM,1.2,2603.97403678866,14028.595998764,0,6872.59765625,2290.0888671875,0.627853989601135,1.60199999809265,2.16750001907349,144,14300,normally,,
33990,ESL09a_17,,Neglect,2/21/2022 11:15:05 AM,1,2116.94146683181,11720.5817419291,0,6872.59765625,2290.0888671875,0.627853989601135,1.49600005149841,2.3050000667572,136.5,11980,normally,,
33991,ESL09a_17,,Unknow,2/21/2022 11:18:47 AM,1,2112.52220977567,11710.4612505436,0,6872.59765625,2290.0888671875,0.627853989601135,1.58800005912781,2.1949999332428,142.5,11980,normally,,
33992,ESL09a_17,,Unknow,2/21/2022 11:22:25 AM,1,2112.63847596626,11710.7275104523,0,6872.59765625,2290.0888671875,0.627853989601135,1.61999988555908,2.16499996185303,137,11970,normally,,
33993,ESL09a_17,,Neglect,2/21/2022 11:25:43 AM,0.8,1390.2788607366,9419.68736925721,0,6872.59765625,2290.0888671875,0.627853989601135,1.59200012683868,2.22749996185303,129.5,9667,normally,,
33994,ESL09a_17,,Out of d,2/21/2022 11:29:10 AM,0.8,1380.32755532674,9401.45587027073,0,6872.59765625,2290.0888671875,0.627853989601135,1.60400009155273,2.08249998092651,130.5,9642,normally,,
33995,ESL09a_17,,Valid,2/21/2022 11:32:36 AM,0.8,1374.98735485778,9391.67224335671,0,6872.59765625,2290.0888671875,0.627853989601135,1.5220000743866,2.15750002861023,129,9629,normally,,
33996,ESL09a_17,,Out of d,2/21/2022 11:36:00 AM,0.8,1369.10099200002,9380.88800811768,0,6872.59765625,2290.0888671875,0.627853989601135,1.57799994945526,2.32999992370605,128,9631,normally,,
33997,ESL09a_17,,Valid,2/21/2022 11:39:23 AM,0.8,1376.27592307824,9394.03299194574,0,6872.59765625,2290.0888671875,0.627853989601135,1.65200006961822,2.19000005722046,127,9638,normally,,
33998,ESL09a_17,,Valid,2/21/2022 11:42:47 AM,0.8,1377.48589498559,9396.24974650145,0,6872.59765625,2290.0888671875,0.627853989601135,1.66199994087219,2.25500011444092,126.5,9644,normally,,
33999,ESL09a_17,,Neglect,2/21/2022 11:45:50 AM,0.6,155.717370355343,7086.56162601709,0,6872.59765625,2290.0888671875,0.627853989601135,1.70799994468689,2.14750003814697,118.5,7315,normally,,
