ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer
29961,junk,,Neglect,11/4/21 10:11,1,17.66649122,6913.055491,0,6872.597656,2290.088867,0.62785399,1.846000075,2.460000038,156.5,7250,normally,
29962,junk,,Unknow,11/4/21 10:15,1,1850.098437,11109.48749,0,6872.597656,2290.088867,0.62785399,1.753999949,2.560000181,162.5,11460,normally,
29963,junk,,Unknow,11/4/21 10:19,1,1906.529005,11238.71851,0,6872.597656,2290.088867,0.62785399,1.613999963,2.539999962,159.5,11570,normally,
29964,junk,,Unknow,11/4/21 10:23,1,1899.471638,11222.55651,0,6872.597656,2290.088867,0.62785399,1.64199996,2.694999933,151,11550,normally,
29965,junk,,Unknow,11/4/21 10:27,1,1920.466129,11270.63576,0,6872.597656,2290.088867,0.62785399,1.84799993,2.602499962,157,11620,normally,
29966,junk,,Unknow,11/4/21 10:31,1,1904.627439,11234.36375,0,6872.597656,2290.088867,0.62785399,1.755999923,2.795000076,147.5,11570,normally,
29967,junk,,Unknow,11/4/21 10:34,1,1907.362595,11240.6275,0,6872.597656,2290.088867,0.62785399,1.780000091,2.714999914,151,11580,normally,
29968,junk,,Unknow,11/4/21 10:38,1,1915.990209,11260.3855,0,6872.597656,2290.088867,0.62785399,1.762000084,2.379999876,149.5,11570,normally,
29969,junk,,Unknow,11/4/21 10:42,1,1905.434289,11236.21151,0,6872.597656,2290.088867,0.62785399,1.542000055,2.482499838,146,11530,normally,
29970,ESL_08b_15,,Neglect,11/4/21 10:50,1.4,2721.861776,15599.22515,0,6872.597656,2290.088867,0.62785399,1.695999861,2.472499847,163.5,15940,normally,
29971,ESL_08b_15,,Unknow,11/4/21 10:54,1.4,2721.545459,15598.211,0,6872.597656,2290.088867,0.62785399,1.675999999,2.720000029,155.5,15940,normally,
29972,ESL_08b_15,,Unknow,11/4/21 10:58,1.4,2729.607608,15624.05925,0,6872.597656,2290.088867,0.62785399,1.64199996,2.637500048,157,15960,normally,
29973,ESL_08b_15,,Unknow,11/4/21 11:02,1.4,2730.806717,15627.90374,0,6872.597656,2290.088867,0.62785399,1.649999976,2.547500134,163,15970,normally,
29974,ESL_08b_15,,Neglect,11/4/21 11:06,1.2,2380.652737,13414.88525,0,6872.597656,2290.088867,0.62785399,1.628000021,2.467499971,149,13720,normally,
29975,ESL_08b_15,,Valid,11/4/21 11:10,1.2,2374.001523,13396.60701,0,6872.597656,2290.088867,0.62785399,1.575999975,2.309999943,151,13690,normally,
29976,ESL_08b_15,,Valid,11/4/21 11:14,1.2,2377.33672,13405.77248,0,6872.597656,2290.088867,0.62785399,1.540000081,2.370000124,150.5,13700,normally,
29977,ESL_08b_15,,Valid,11/4/21 11:18,1.2,2375.957238,13401.98152,0,6872.597656,2290.088867,0.62785399,1.507999897,2.232499838,154,13690,normally,
29978,ESL_08b_15,,Neglect,11/4/21 11:22,1,1898.493178,11220.31575,0,6872.597656,2290.088867,0.62785399,1.441999912,2.265000105,145.5,11490,normally,
29979,ESL_08b_15,,Out of d,11/4/21 11:25,1,1891.713643,11204.79001,0,6872.597656,2290.088867,0.62785399,1.4799999,2.289999962,146,11480,normally,
29980,ESL_08b_15,,Out of d,11/4/21 11:29,1,1893.832497,11209.64237,0,6872.597656,2290.088867,0.62785399,1.414000034,2.092499971,148.5,11470,normally,
29981,ESL_08b_15,,Valid,11/4/21 11:33,1,1885.991259,11191.68524,0,6872.597656,2290.088867,0.62785399,1.407999992,2.255000114,146.5,11460,normally,
29982,ESL_08b_15,,Valid,11/4/21 11:37,1,1882.272415,11183.16876,0,6872.597656,2290.088867,0.62785399,1.49000001,2.254999876,142.5,11450,normally,
29983,ESL_08b_15,,Valid,11/4/21 11:40,1,1885.431787,11190.404,0,6872.597656,2290.088867,0.62785399,1.35800004,2.247499943,144,11450,normally,
29984,ESL_08b_15,,Neglect,11/4/21 11:48,0.8,1166.508951,9009.724987,0,6872.597656,2290.088867,0.62785399,1.390000105,2.160000086,141,9260,normally,
29985,ESL_08b_15,,Out of d,11/4/21 11:52,0.8,1167.743633,9011.987012,0,6872.597656,2290.088867,0.62785399,1.45599997,2.139999866,143.5,9270,normally,
29986,ESL_08b_15,,Valid,11/4/21 11:55,0.8,1157.809104,8993.786248,0,6872.597656,2290.088867,0.62785399,1.453999996,2.282500029,135,9246,normally,
29987,ESL_08b_15,,Out of d,11/4/21 11:59,0.8,1164.491293,9006.028493,0,6872.597656,2290.088867,0.62785399,1.583999991,2.255000114,137,9269,normally,
29988,ESL_08b_15,,Out of d,11/4/21 12:02,0.8,1146.642908,8973.328983,0,6872.597656,2290.088867,0.62785399,1.526000142,2.317500114,132,9227,normally,
29989,ESL_08b_15,,Valid,11/4/21 12:06,0.8,1159.711934,8997.272368,0,6872.597656,2290.088867,0.62785399,1.364000082,2.167500019,133.5,9233,normally,
29990,ESL_08b_15,,Valid,11/4/21 12:09,0.8,1159.498045,8996.880508,0,6872.597656,2290.088867,0.62785399,1.417999983,2.047499895,138,9236,normally,
29991,ESL_08b_15,,Neglect,11/4/21 12:13,0.6,-69.80090429,6776.687492,0,6872.597656,2290.088867,0.62785399,1.360000014,2.005000114,125,6987,normally,
29992,ESL_08b_15,,Unknow,11/4/21 12:16,0.6,-82.12756392,6759.750004,0,6872.597656,2290.088867,0.62785399,1.277999997,2.069999933,125,6969,normally,
29993,ESL_08b_15,,Unknow,11/4/21 12:19,0.6,-76.14617369,6767.968753,0,6872.597656,2290.088867,0.62785399,1.34800005,2.172499895,125,6988,normally,
29994,ESL_08b_15,,Unknow,11/4/21 12:23,0.6,-77.65266328,6765.898756,0,6872.597656,2290.088867,0.62785399,1.405999899,2.125,127.5,6991,normally,
29995,RSA_106A,,Neglect,11/4/21 12:28,1,2169.212916,11840.288,0,6872.597656,2290.088867,0.62785399,1.45599997,2.289999962,144,12110,normally,
29996,RSA_106A,,Out of d,11/4/21 12:32,1,2354.006674,12263.48213,0,6872.597656,2290.088867,0.62785399,1.453999877,2.19749999,140.5,12520,normally,
29997,RSA_106A,,Valid,11/4/21 12:35,1,2366.681453,12292.5085,0,6872.597656,2290.088867,0.62785399,1.373999953,2.38499999,137,12550,normally,
29998,RSA_106A,,Valid,11/4/21 12:39,1,2371.509534,12303.56524,0,6872.597656,2290.088867,0.62785399,1.453999996,2.132500172,143,12560,normally,
29999,RSA_106A,,Out of d,11/4/21 12:43,1,2375.951721,12313.73824,0,6872.597656,2290.088867,0.62785399,1.35800004,1.992500067,147,12560,normally,
30000,RSA_106A,,Valid,11/4/21 12:46,1,2366.697397,12292.54502,0,6872.597656,2290.088867,0.62785399,1.299999952,2.2099998,141,12540,normally,
30001,RSA_106B,,Neglect,11/4/21 12:51,1,2345.145554,12243.18938,0,6872.597656,2290.088867,0.62785399,1.419999957,2.247499943,145.5,12510,normally,
30002,RSA_106B,,Valid,11/4/21 12:55,1,2329.991172,12208.4845,0,6872.597656,2290.088867,0.62785399,1.488000035,2.269999981,144.5,12480,normally,
30003,RSA_106B,,Valid,11/4/21 12:59,1,2331.240795,12211.34625,0,6872.597656,2290.088867,0.62785399,1.404000044,2.0625,155,12480,normally,
30004,RSA_106B,,Valid,11/4/21 13:03,1,2326.182422,12199.76212,0,6872.597656,2290.088867,0.62785399,1.315999985,2.147500038,144.5,12450,normally,
30005,RSA_107A,,Neglect,11/4/21 13:07,1,2320.414522,12186.55312,0,6872.597656,2290.088867,0.62785399,1.404000044,2.282500029,137.5,12440,normally,
30006,RSA_107A,,Unknow,11/4/21 13:11,1,2330.275438,12209.13549,0,6872.597656,2290.088867,0.62785399,1.424000025,2.012500048,146,12460,normally,
30007,RSA_107A,,Unknow,11/4/21 13:15,1,2320.942401,12187.76201,0,6872.597656,2290.088867,0.62785399,1.296000004,2.139999866,141,12430,normally,
