,X.x,X.y,DOI,EXPOCODE,Accession,Cruise_ID,Date,Year,Month,Day,Time_UTC,Latitude,Longitude,Depth_bottom,Depth,CASTNO_Original,CASTNO_Database_bot,Pressure,Salinity,Temperature,Oxygen,DIC,DIC_FLAG,TA,TA_FLAG,pH,pH_FLAG,pCO2_yearave,pCO2_monthave,bottom_depth,OmegaA,OmegaC,pCO2insitu,pHT,ADT,UGOS,VGOS,SLA,UGOSA,VGOSA,SST,SST_hires,Chl,KD490,outlier
10,37,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:15,35.0273,-73.4068,3991.0,50.7,1,2096,51.1,36.579,24.424,187.3,2048.2,2.0,2391.3,2.0,,,384.03,384.73,3984,3.79970897119357,5.76206575776993,450.585250541502,8.09062459754029,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
11,50,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:13,35.0273,-73.4068,3991.0,73.9,1,2096,74.5,36.685,23.283,189.2,2063.9,2.0,2397.8,2.0,,,384.03,384.73,3984,3.68089785350274,5.60011104307435,504.307312602985,8.0912811840745,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
12,53,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:12,35.0273,-73.4068,3991.0,99.6,1,2096,100.3,36.731,21.8,189.0,2078.4,2.0,2400.6,2.0,,,384.03,384.73,3984,3.53275471258447,5.39720433607107,569.173191386649,8.0942537474197,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
13,49,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:09,35.0273,-73.4068,3991.0,198.3,1,2096,199.9,36.67,19.115,189.3,2098.5,2.0,2396.4,2.0,,,384.03,384.73,3984,3.24222225353995,4.98922925968738,921.938073600562,8.09662529625713,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
14,44,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:07,35.0273,-73.4068,3991.0,297.6,1,2096,299.9,36.628,18.503,192.1,2102.5,2.0,2394.3,2.0,,,384.03,384.73,3984,3.17235958858914,4.88946435425114,1497.89912973449,8.09645950304255,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
15,36,1425,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,,,,2007-07-25,2007,7,25,5:03,35.0273,-73.4068,3991.0,496.3,1,2096,500.5,36.577,18.033,193.7,2103.2,2.0,2390.9,2.0,,,384.03,384.73,3984,3.12448965719512,4.82153173428461,3947.40413153298,8.09773672070622,0.8123468853996275,0.3422550529761399,-0.1063477739509325,0.0375062046242576,0.2747195342258146,-0.224895820143672,27.164997177817938,27.2543662200386,0.059454946822361,0.0286092405666407,False
16,8,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,10.7,1,700,9.0,35.81,28.771,195.98,1989.33,2.0,2343.58,2.0,8.1087,2.0,394.06,392.59,3381,4.02704779214046,6.02906786049447,398.533085068322,8.05930418722091,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
17,10,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,25.1,1,700,24.0,35.873,28.338,197.1,1996.98,2.0,2351.06,2.0,8.1036,2.0,394.06,392.59,3381,4.01578595438388,6.02032545582731,421.193331158726,8.06354552154586,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
18,19,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,49.7,1,700,48.0,36.104,26.772,204.27,2020.2,2.0,2366.04,2.0,8.0862,2.0,394.06,392.59,3381,3.88950891630191,5.85890435613511,467.73222057849,8.06920831345338,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
19,33,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,74.7,1,700,74.0,36.547,24.956,198.66,2053.15,2.0,2386.83,2.0,8.0655,2.0,394.06,392.59,3381,3.71476639868248,5.62439519577814,532.010971751396,8.06898315494078,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
