BottleID,Temp,Salinity,DIC_avg,DIC_stdev,TA_avg,TA_stdev,TA_flag,CTD_depth
RSA_033A,7.888549805,32.954,2069.7,0.4,2221.3,0.3,,43.1050542
RSA_033B,7.934476725,32.977,2070.8,1.1,2220,1.4,,43.1050542
RSA_034A,7.955181885,32.911,2065.1,1.1,2215.4,0.3,,34.9766456
RSA_034B,7.960989102,32.922,2065.7,1.2,2218.5,0.4,,34.9766456
RSA_035A,7.806011963,32.925,2071.7,1.2,2227.5,0.3,,50.9368561
RSA_035B,7.821582709,32.921,2063,1.3,2220.6,1,,50.9368561
RSA_036A,7.673400879,32.927,2052.3,1.1,2226.9,0.7,,56.8581375
RSA_036B,7.877237956,32.981,2048.8,1,2227,0.5,,56.8581375
RSA_037A,7.453430176,32.837,2054.5,0.3,2220.2,0.3,,64.2358516
RSA_037B,7.760122342,32.75,2056.9,0.5,2220.5,1,,64.2358516
RSA_038A,7.624829102,32.887,2050.3,0.8,2219.5,1.3,,61.7551126
RSA_038B,7.97030131,33.039,2052.2,0.4,2219.8,0.2,,61.7551126
RSA_039A,7.3640625,32.74,2059.9,0.3,2215.6,0.5,,70.2718021
RSA_039B,7.181237793,32.67,2070.7,0.7,2208.5,0.2,,70.2718021
RSA_040A,6.885205078,32.843,2086.1,0.9,2219.2,1.1,,77.096619
RSA_040B,7.681356376,32.838,2072.3,1.1,2215,0.9,,77.096619
RSA_041A,7.002502441,32.816,2081.8,0.4,2215.4,0.1,,85.2034783
RSA_041B,7.674394008,32.735,2070.1,0.1,2214.9,0.2,,85.2034783
RSA_042A,6.879077147,32.973,2095,0.2,2227.8,0.7,,91.7883715
RSA_042B,7.649547682,33.057,2076.4,0.7,2219.9,1.6,,91.7883715
RSA_043A,8.324635315,33.65,2108.6,1.1,2247.6,1.5,,93.7882888
RSA_043B,7.672115072,32.869,2075.3,0.8,2220.8,0,,93.7882888
RSA_044A,6.843389893,32.927,2092.6,1,2222.8,0.2,,89.0346503
RSA_044B,7.562691825,32.777,2069.9,0.4,2214.7,0.4,,89.0346503
RSA_045A,6.882751465,32.681,2074.9,0.5,2214.5,0.1,,72.2834586
RSA_045B,7.469469198,32.641,2072,0.1,2216.8,1.4,,72.2834586
RSA_046A,6.788006592,32.951,2097.6,0.5,2225.4,0.3,,78.8469061
RSA_046B,7.498149414,32.69,2072.5,1,2215.4,0.6,,78.8469061
RSA_047A,8.326690674,33.668,2098.1,1.1,2258.1,0.9,,85.7361042
RSA_047B,7.085714722,32.505,2053.9,0.7,2214.6,0.2,,85.7361042
RSA_048A,6.862652588,33.001,2103.8,0.8,2228.5,0.6,,76.9328298
RSA_048B,7.424626576,32.872,2080.7,0.7,2218.2,0.7,,76.9328298
RSA_049A,7.417047119,33.303,2115.7,0.1,2243.8,0,,90.9081151
RSA_049B,7.340887451,32.732,2018.2,0.2,2195.4,0.6,,90.9081151
RSA_050A,6.812060547,32.689,2085.4,1.1,2217.7,1.1,,71.6188218
RSA_050B,7.352009277,32.684,2075,1.2,2215.3,0.6,,71.6188218
RSA_051A,7.634979248,32.855,2060.7,0.4,2226.3,0.9,,68.0286459
RSA_051B,7.694557953,32.894,2053.6,1.3,2222.9,0.9,,68.0286459
RSA_052A,6.7480896,32.811,2096.7,1,2223.7,1.1,,71.43365
RSA_052B,7.620625814,32.744,2041.7,0.3,2189.8,0.7,,71.43365
RSA_053A,9.112054443,34.007,2114.1,0.8,2276.9,0.9,,99.1620802
RSA_053B,7.846874128,32.819,2033.7,0.7,2181.3,1.5,,99.1620802
RSA_054A,7.151025391,33.109,2108.7,1.6,2237,1.5,,84.8841956
RSA_054B,7.556919556,32.562,2069.5,0.6,2206.3,0.7,,84.8841956
RSA_055A,6.844537354,32.635,2076,0.4,2217.3,0.3,,66.2302511
RSA_055B,7.433327811,32.608,2056.5,0.6,2199.9,1.3,,66.2302511
RSA_056A,7.557580566,32.771,2055.9,0.7,2224,0.1,,59.1829398
RSA_056B,7.598726807,32.709,2056.7,0.3,2220.8,0.1,,59.1829398
RSA_057A,6.871026611,32.594,2055.2,0.1,2216.5,1,,69.2796968
RSA_057B,7.590714333,32.431,2054.4,0.4,2202.4,0.2,high drift,69.2796968
RSA_058A,7.488242013,33.315,2117.9,0.2,2243.3,0.6,high drift,94.725966
RSA_058B,7.683195801,32.63,2053.8,0.1,2215.8,1.2,high drift,94.725966
