Station,Cast,Bottle_ID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Notes,Depth_m_CTD,Salinity,Pres_Vol_ug,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,DIC,DIC_FLAG,TA,TA_FLAG
56,Bottom,RSA_056A,20210504,41°12.24',67°12.50',41°12.36',67°12.57',31.8,58.2,8:14,8:14,8:15,8:18,8:20,NA,Benzalkonium and mercuric,7:53,8:08,41°12.09,67°10.43,41°12.05,67°12.27,6,Mainly sand dollars,59.67392,32.77058838,250,2,7.55758057,2,313.1977471,2055.9,2,2224,
56,Surface,RSA_056B,20210504,41°12.24',67°12.50',41°12.36',67°12.57',31.8,58.2,NA,8:14,NA,NA,NA,NA,Benzalkonium and mercuric,7:53,8:08,41°12.09,67°10.43,41°12.05,67°12.27,6,Mainly sand dollars,59.67392,32.70945187,250,2,7.59872681,2,313.7368067,2056.7,2,2220.8,
57,Bottom,RSA_057A,20210504,41°00.25',67°12.42',41°00.25',67°12.52',39.9,73,14:25,14:26,14:27,14:33,14:34,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,74.61543,32.59434125,250,2,6.87102661,2,306.6981942,2055.2,2,2216.5,
57,Surface,RSA_057B,20210504,41°00.25',67°12.42',41°00.25',67°12.52',39.9,73,NA,14:26,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,74.61543,32.43080529,250,2,7.59071433,2,311.2323621,2054.4,2,2202.4,999
58,Bottom,RSA_058A,20210504,40°47.05',67°12.16',40°47.40',67°12.05',51.4,94,23:02,23:02,23:03,23:05,23:06,L19,Mercuric,NA,NA,NA,NA,NA,NA,NA,,95.52681,33.315,100,2,7.48824201,2,265.2321,2117.9,2,2243.3,999
58,Surface,RSA_058B,20210504,40°47.05',67°12.16',40°47.40',67°12.05',51.4,94,NA,23:02,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,95.52681,32.63,100,2,7.6831958,2,303.7041408,2053.8,2,2215.8,999
59,Bottom,RSA_059A,20210504,40°42.04',67°17.56',40°42.04',67°17.52',52,95.1,23:53,23:53,23:54,23:55,23:56,L14,Mercuric,NA,NA,NA,NA,NA,NA,NA,,97.01632,34.3967,100,2,10.0800049,2,236.4022369,2137.4,2,2291.8,999
59,Surface,RSA_059B,20210504,40°42.04',67°17.56',40°42.04',67°17.52',52,95.1,NA,23:53,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,97.01632,32.52099483,100,2,8.53503495,2,320.0494756,2043.2,2,2211,999
60,Bottom,RSA_060A,20210504,40°53.68',67°17.78',NA,NA,45.5,83.2,20:09,20:09,20:11,20:13,20:14,NA,Mercuric,19:26,19:44,40°55.73,67°19.86,40°54.39,67°19.89,6475,Bags labelled 62,85.08312,33.32384569,100,2,7.54481812,2,267.5179,2114.5,2,2241.4,999
60,Surface,RSA_060B,20210504,40°53.68',67°17.78',NA,NA,45.5,83.2,NA,20:09,NA,NA,NA,NA,Mercuric,19:26,19:44,40°55.73,67°19.86,40°54.39,67°19.89,6475,Bags labelled 62,85.08312,32.5089385,100,2,7.85505737,2,307.1349527,2062.5,2,2202,999
61,Bottom,RSA_061A,20210504,41°05.89',67°17.58',41°05.91',67°17.65',33.1,60.5,15:21,15:21,15:22,15:24,15:25,NA,Mercuric,15:30,15:45,41°05.91,67°17.92,41°05.80,67°19.95,0,All sand dollars,62.02333,32.72807183,100,2,7.46427612,2,309.9009423,2057.7,2,2217.2,999
61,Surface,RSA_061B,20210504,41°05.89',67°17.58',41°05.91',67°17.65',33.1,60.5,NA,15:21,NA,NA,NA,NA,Mercuric,15:30,15:45,41°05.91,67°17.92,41°05.80,67°19.95,0,All sand dollars,62.02333,32.54809324,100,2,7.6267707,2,308.10672,2050.9,2,2209.8,999
62,Bottom,RSA_062A,20210504,41°00.10',67°23.92',40°59.78',67°23.32',38.2,69.9,18:44,18:45,18:45,18:47,18:48,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,71.08583,32.57618146,100,2,6.93952026,2,308.2521771,2064.2,2,2210.5,999
62,Surface,RSA_062B,20210504,41°00.10',67°23.92',40°59.78',67°23.32',38.2,69.9,NA,18:45,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,71.08583,32.40225422,100,2,7.88798752,2,314.675752,2041.5,2,2202.1,999
63,Bottom,RSA_063A,20210504,40°47.82',67°24.31',40°47.78',67°24.25',48,87.8,22:02,22:02,22:03,22:05,22:06,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,89.6314,33.87664197,100,2,8.83589478,2,251.2976703,2119.4,2,2273.1,
63,Surface,RSA_063B,20210504,40°47.82',67°24.31',40°47.78',67°24.25',48,87.8,NA,22:02,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,89.6314,32.55866019,100,2,8.15367432,2,317.0228333,2050,2,2212.9,
64,Bottom,RSA_064A,20210505,40°42.08',67°29.87',40°42.06',67°29.87',47.9,87.6,1:01,1:01,1:02,1:04,1:05,L15,Mercuric,NA,NA,NA,NA,NA,NA,NA,,89.97548,34.2395,100,2,9.67473145,2,238.6605065,2130.3,2,2286.4,
64,Surface,RSA_064B,20210505,40°42.08',67°29.87',40°42.06',67°29.87',47.9,87.6,NA,1:01,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,89.97548,32.45734949,100,2,7.99818604,2,307.0271357,2048.9,2,2211.8,
65,Bottom,RSA_065A,20210504,40°53.06',67°30.01',40°53.08',67°30.02',41.6,76.1,21:17,21:17,21:18,21:19,21:20,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,72.56203,33.11678029,100,2,7.24367803,2,275.5266066,2103.4,2,2238,
65,Surface,RSA_065B,20210504,40°53.06',67°30.01',40°53.08',67°30.02',41.6,76.1,NA,21:17,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,72.56203,32.33322027,100,2,7.73899623,2,310.0028851,2051.2,2,2206.5,
66,Bottom,RSA_066A,20210504,41°00.07',67°30.12',41°00.08',67°30.11',35.9,65.7,17:57,17:57,17:58,17:59,18:01,NA,Mercuric,18:04,18:19,41°00.09,67°29.67,41°00.09,67°28.30,59,"Light rain, mainly sand dollars, bags labelled 61",67.31399,32.62320077,100,2,6.99905396,2,304.448797,2070.4,2,2218.3,
66,Surface,RSA_066B,20210504,41°00.07',67°30.12',41°00.08',67°30.11',35.9,65.7,NA,17:57,NA,NA,NA,NA,Mercuric,18:04,18:19,41°00.09,67°29.67,41°00.09,67°28.30,59,"Light rain, mainly sand dollars, bags labelled 61",67.31399,32.48202836,100,2,7.55127055,2,307.0260212,2059.3,2,2205.3,
67,Bottom,RSA_067A,20210504,41°06.06',67°29.65',41°06.10',67°29.74',31,56.7,16:34,16:34,16:35,16:36,16:37,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,Light rain,57.4551,32.75767321,100,2,7.58035889,2,308.5666173,2058.5,2,2222.5,
67,Surface,RSA_067B,20210504,41°06.06',67°29.65',41°06.10',67°29.74',31,56.7,NA,16:34,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,Light rain,57.4551,32.5853,100,2,7.76781616,2,306.5085302,2055.1,2,2210.9,
68,Bottom,RSA_068A,20210504,41°00.07',67°35.65,41°00.10,67°38.70',35,64,17:25,17:26,17:26,17:28,17:29,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,Light rain,65.58011,32.69920885,100,2,7.22938232,2,302.6880493,2069.7,2,2222,
68,Surface,RSA_068B,20210504,41°00.07',67°35.65,41°00.10,67°38.70',35,64,NA,17:26,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,Light rain,65.58011,32.50546095,100,2,7.4926355,2,303.59945,2060.1,2,2206,
69,Bottom,RSA_069A,20210505,40°47.44',67°35.50',40°47.42',67°35.51',41.6,76.1,1:55,1:55,1:56,1:57,1:59,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,78.78655,33.25853596,100,2,7.53684692,2,270.299802,2102,2,2240.5,
69,Surface,RSA_069B,20210505,40°47.44',67°35.50',40°47.42',67°35.51',41.6,76.1,NA,1:55,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,78.78655,32.42482909,100,2,7.95936802,2,308.5102561,2047.7,2,2211.1,
70,Bottom,RSA_070A,20210505,40°47.51',67°42.15',40°47.31',67°42.18',37.7,68.9,2:32,2:32,2:35,2:35,2:36,NA,Mercuric,2:32,2:51,40°47.51,67°42.15,40°47.28,67°42.18,325,,70.96207,32.8420567,100,2,6.80091553,2,287.705616,2080.2,2,2225.7,
70,Surface,RSA_070B,20210505,40°47.51',67°42.15',40°47.31',67°42.18',37.7,68.9,NA,2:32,NA,NA,NA,NA,Mercuric,2:32,2:51,40°47.51,67°42.15,40°47.28,67°42.18,325,,70.96207,32.52936412,100,2,7.68930741,2,303.209,2058.8,2,2212.5,
71,Bottom,RSA_071A,20210505,40°41.94',67°42.07',40°41.90',67°42.06',41.6,76.1,3:21,3:21,3:23,3:25,3:26,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,77.59865,32.91692769,100,2,6.90574341,2,283.72622,2083.8,,2228.2,
71,Surface,RSA_071B,20210505,40°41.94',67°42.07',40°41.90',67°42.06',41.6,76.1,NA,3:21,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,77.59865,32.30230654,100,2,7.95139404,2,312.6345422,2038.2,,2205.7,
72,Bottom,RSA_072A,20210505,40°35.97',67°47.50',40°35.93',67°47.52',46.6,85.2,4:49,4:50,4:51,4:52,4:54,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,87.0952,33.28234028,250,2,7.58662109,2,270.5083243,2096.3,,2253.7,
72,Surface,RSA_072B,20210505,40°35.97',67°47.50',40°35.93',67°47.52',46.6,85.2,NA,4:50,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,87.0952,32.29758459,250,2,8.19380319,2,309.8289762,2034.4,,2206.1,
73,Bottom,RSA_073A,20210505,40°47.67',67°47.74',40°47.71',67°47.79',36.8,67.3,8:17,8:17,8:18,8:21,8:22,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,68.78495,32.71451581,250,2,6.85730868,2,295.9814155,2070.9,,2218.8,
73,Surface,RSA_073B,20210505,40°47.67',67°47.74',40°47.71',67°47.79',36.8,67.3,NA,8:17,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,68.78495,32.49725627,250,2,7.46658351,2,308.092166,2048,,2207.8,
74,Bottom,RSA_074A,20210505,40°53.71',67°54.20',40°53.77',67°54.29',32.6,59.6,9:08,9:08,9:09,9:12,9:13,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,61.3717,32.82889688,250,2,7.61743556,2,299.1906428,2066.2,,2221,
74,Surface,RSA_074B,20210505,40°53.71',67°54.20',40°53.77',67°54.29',32.6,59.6,NA,9:08,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,61.3717,32.73110506,250,2,7.86698783,2,300.6695592,2060,,2215.1,
75,Bottom,RSA_075A,20210505,40°47.46',68°00.01',40°47.28',68°00.02',37.5,68.6,11:07,11:07,11:08,11:11,11:12,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,70.57275,32.83728651,250,2,7.40865479,2,297.6388258,2070.5,,2225.8,
75,Surface,RSA_075B,20210505,40°47.46',68°00.01',40°47.28',68°00.02',37.5,68.6,NA,11:07,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,70.57275,32.70773413,250,2,7.678759,2,298.9276706,2062.5,,2214.9,
76,Bottom,RSA_076A,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,5:26,5:26,5:28,5:30,5:31,L16,Benzalkonium and mercuric,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,,89.22034,33.5182,250,2,8.04718018,2,261.6622854,2104.5,,2253.1,
76,Surface,RSA_076B,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,NA,5:26,NA,NA,NA,NA,Benzalkonium and mercuric,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,,89.22034,32.3286677,250,2,8.10741672,2,313.8122429,2032.1,,2201.3,
77,Bottom,RSA_077A,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,6:21,6:21,6:22,6:25,6:26,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,92.75003,33.49717802,250,2,8.10759277,2,263.7739906,2100.9,,2254.1,
77,Surface,RSA_077B,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,92.75003,32.2979,250,2,8.08452637,2,311.8405152,2028.8,,2204.1,
78,Bottom,RSA_078A,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,7:19,7:19,7:21,7:24,7:25,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,81.37396,33.28352742,250,2,7.59550171,2,272.0535215,2095.6,,2242.4,
78,Surface,RSA_078B,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,NA,7:19,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,81.37396,32.47894985,250,2,7.75631963,2,305.1628269,2045.5,,2205.9,
79,Bottom,RSA_079A,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,10:08,10:08,10:09,10:12,10:13,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,61.57066,32.9350409,250,2,8.13104858,2,298.707806,2057.2,,2230.5,-999
79,Surface,RSA_079B,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,NA,10:08,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,61.57066,32.9169655,250,2,8.09702759,2,298.4386111,2058.5,,2231,-999
80,Bottom,RSA_080A,20210505,40°41.75',68°05.87',40°41.76',68°05.87',42.7,78.1,12:02,12:03,12:04,12:07,12:09,L17,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,79.58556,32.912,250,2,7.30308838,2,291.3109858,2076.8,,2231.3,-999
80,Surface,RSA_080B,20210505,40°41.75',68°05.87',40°41.76',68°05.87',42.7,78.1,NA,12:03,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,79.58556,32.46768794,250,2,7.83291355,2,306.204731,2041.4,,2212.4,-999
81,Bottom,RSA_081A,20210505,40°36.00',68°11.23',40°35.97',68°12.24',50.8,92.9,NA,13:00,13:01,13:03,13:05,L8,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,CTD off,92.9,33.5081,250,-999,NA,-999,,2100,,2256.3,-999
81,Surface,RSA_081B,20210505,40°36.00',68°11.23',40°35.97',68°12.24',50.8,92.9,NA,13:00,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,92.9,32.7014,250,-999,NA,-999,,2055.9,,2218.6,-999
82,Bottom,RSA_082A,20210505,40°42.21,68°11.91',40°42.24',68°11.90',39.8,72.8,13:49,13:49,13:51,13:54,13:55,L20,Benzalkonium and mercuric,6:03,6:18,40°42.23,68°12.60,40°42.12,68°14.46,32,,74.76045,32.9299,250,2,7.46755981,2,293.8869842,2071.4,,2244.2,-999
82,Surface,RSA_082B,20210505,40°42.21,68°11.91',40°42.24',68°11.90',39.8,72.8,NA,13:49,NA,NA,NA,NA,Benzalkonium and mercuric,6:03,6:18,40°42.23,68°12.60,40°42.12,68°14.46,32,,74.76045,32.79383935,250,2,8.12141113,2,299.2419889,2053.4,,2219.6,-999
83,Bottom,RSA_083A,20210505,40°41.86',68°17.79',40°41.83',68°17.82',35.7,65.3,14:43,14:44,14:45,14:47,14:48,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,67.11761,32.90884508,250,2,7.62090454,2,298.5679009,2037,,2234.1,-999
83,Surface,RSA_083B,20210505,40°41.86',68°17.79',40°41.83',68°17.82',35.7,65.3,NA,14:44,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,67.11761,32.9032,250,2,8.17983754,2,303.8712283,2035.8,,2224.5,-999
84,Bottom,RSA_084A,20210505,40°35.96',68°24.04',40°35.91',68°24.11',43.2,79,15:34,15:34,15:36,15:39,15:40,L21,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,80.42122,33.0463,250,2,7.54157715,2,288.8720814,2078.7,,2234.2,-999
84,Surface,RSA_084B,20210505,40°35.96',68°24.04',40°35.91',68°24.11',43.2,79,NA,15:34,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,80.42122,32.77106292,250,2,8.13554321,2,304.9584829,2056.7,,2219.2,-999
85,Bottom,RSA_085A,20210505,40°36.03',68°35.00',40°36.10',68°34.95',35.9,65.7,20:23,20:23,20:24,20:26,20:27,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.19234,32.89689589,100,2,7.68737183,2,304.1545683,2058,,2228.9,
85,Surface,RSA_085B,20210505,40°36.03',68°35.00',40°36.10',68°34.95',35.9,65.7,NA,20:23,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.19234,32.80840206,100,2,8.19693832,2,316.9550125,2039.5,,2226.1,
86,Bottom,RSA_086A,20210505,40°30.14',68°29.90',40°30.04',68°29.97',48.8,89.2,16:26,16:26,16:27,16:29,16:30,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,90.89623,33.88626673,100,2,9.02385254,2,253.8818814,2111.9,,2278,
86,Surface,RSA_086B,20210505,40°30.14',68°29.90',40°30.04',68°29.97',48.8,89.2,NA,16:26,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,90.89623,32.71164388,100,2,8.19057983,2,305.0561054,2052.5,,2221.8,
87,Bottom,RSA_234,20210505,40°23.50',68°35.59',40°23.51',68°35.56',49.1,89.8,17:19,17:20,17:21,17:22,17:24,D1,Mercuric,NA,NA,NA,NA,NA,NA,NA,,91.39427,34.0456,100,2,9.50950317,2,250.9812816,2113.7,,2277.6,
87,Surface,RSA_087B,20210505,40°23.50',68°35.59',40°23.51',68°35.56',49.1,89.8,NA,17:20,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,91.39427,32.63517357,100,2,8.23672587,2,306.808004,2047.1,,2221.8,
88,Bottom,RSA_088A,20210505,40°30.06',68°42.05',40°30.15',68°42.06',40,73.2,19:13,19:13,19:14,19:15,19:17,D2,Mercuric,19:19,19:37,40°30.00,68°42.05,40°31.53,68°40.54,88,,74.41311,33.0089,100,2,7.62132568,2,294.8890456,2074.8,,2237.9,
88,Surface,RSA_088B,20210505,40°30.06',68°42.05',40°30.15',68°42.06',40,73.2,NA,19:13,NA,NA,NA,NA,Mercuric,19:19,19:37,40°30.00,68°42.05,40°31.53,68°40.54,88,,74.41311,32.86575239,100,2,8.08653259,2,318.1513183,2028.2,,2234.9,
89,Bottom,RSA_089A,20210505,40°42.01',68°35.00',40°36.10',68°34.95',34.5,63.1,21:11,21:12,21:13,21:14,21:16,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,63.20583,32.81230097,100,2,7.81204834,2,314.913202,2041.4,,2224.6,
89,Surface,RSA_089B,20210505,40°42.01',68°35.00',40°36.10',68°34.95',34.5,63.1,NA,21:12,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,63.20583,32.88180097,100,2,8.05110677,2,321.7030333,2030.7,,2227.5,
90,Bottom,RSA_090A,20210505,40°47.67',68°42.08',40°47.81',68°42.28',33.4,61.1,21:45,21:46,21:47,21:48,21:49,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,61.91129,32.8192949,100,2,7.82734578,2,318.1678868,2036,,2226.6,
90,Surface,RSA_090B,20210505,40°47.67',68°42.08',40°47.81',68°42.28',33.4,61.1,NA,21:46,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,61.91129,32.81130684,100,2,7.86888428,2,319.9026943,2035.3,,2223.4,
91,Bottom,RSA_091A,20210505,40°47.59',68°47.59',40°47.61',68°47.58',36.1,66,22:18,22:18,22:19,22:20,22:21,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.62432,32.81772681,100,2,7.70199585,2,315.7556808,2041,,2228.8,
91,Surface,RSA_091B,20210505,40°47.59',68°47.59',40°47.61',68°47.58',36.1,66,NA,22:18,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.62432,32.78527407,100,2,7.82814941,2,317.2253327,2037.1,,2226.2,
92,Bottom,RSA_092A,20210506,40°36.09',68°47.57',40°36.03',68°47.43',36,65.8,0:38,0:38,0:41,0:42,0:43,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.32213,32.80678405,100,2,7.53734741,2,310.7506075,2053.8,,2226.4,
92,Surface,RSA_092B,20210506,40°36.09',68°47.57',40°36.03',68°47.43',36,65.8,NA,0:38,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,67.32213,32.76367541,100,2,7.9516394,2,321.2512,2029.8,,2218.9,
93,Bottom,RSA_093A,20210505,40°23.54',68°47.55',40°23.52',68°47.61',46.4,84.9,18:17,18:18,18:19,18:21,18:22,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,86.50687,33.24067843,100,2,7.92980957,2,280.9184578,2084.8,,2246.2,
93,Surface,RSA_093B,20210505,40°23.54',68°47.55',40°23.52',68°47.61',46.4,84.9,NA,18:18,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,86.50687,32.89611356,100,2,8.13331095,2,317.2542551,2042.4,,2232.7,
94,Bottom,RSA_094A,20210506,40°23.63',68°59.97',40°23.53',68°59.93',45.1,82.5,2:22,2:23,2:24,2:26,2:27,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,84.6853,33.04403441,100,2,7.63187256,2,288.2568465,2074.8,,2241.1,
94,Surface,RSA_094B,20210506,40°23.63',68°59.97',40°23.53',68°59.93',45.1,82.5,NA,2:23,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,84.6853,32.83065896,100,2,8.18744263,2,316.5423714,2039.5,,2224,
95,Bottom,RSA_095A,20210506,40°29.99',68°53.96',40°29.77',68°54.08',39.3,71.9,1:33,1:33,1:34,1:36,1:37,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,73.71127,32.90009962,100,2,7.5934082,2,300.8743153,2059.7,,2234.2,
95,Surface,RSA_095B,20210506,40°29.99',68°53.96',40°29.77',68°54.08',39.3,71.9,NA,1:33,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,73.71127,32.84513035,100,2,8.08646118,2,316.0622957,2035.1,,2230.6,
96,Bottom,RSA_096A,20210505,40°42.15',68°53.98',40°42.11',68°53.91',36,65.8,23:48,23:49,23:50,23:51,23:52,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,68.36497,32.87858819,100,2,7.59363403,2,315.0729743,2051.7,,2234.8,
96,Surface,RSA_096B,20210505,40°42.15',68°53.98',40°42.11',68°53.91',36,65.8,NA,23:49,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,68.36497,32.77925094,100,2,8.07717773,2,336.323356,2011.3,,2221.7,
97,Bottom,RSA_097A,20210505,40°47.50',68°53.82',40°47.66',68°53.84',34.3,62.7,22:54,22:55,22:56,22:58,22:58,D3,Mercuric,23:05,23:20,40°47.66,68°53.84,40°46.14,68°53.89,17,,65.75124,32.8549,100,2,7.62947998,2,317.3294602,2040.5,,2220.3,
97,Surface,RSA_097B,20210505,40°47.50',68°53.82',40°47.66',68°53.84',34.3,62.7,NA,22:55,NA,NA,NA,NA,Mercuric,23:05,23:20,40°47.66,68°53.84,40°46.14,68°53.89,17,,65.75124,32.74811551,100,2,7.73247811,2,322.1824051,2039.4,,2233.9,
98,Bottom,RSA_098A,20210506,40°47.58',69°05.54',40°47.55',69°05.53',35.9,65.7,7:00,7:00,7:02,7:05,7:06,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,66.73785,32.88618743,250,2,7.43977051,2,306.9779419,2064.4,,2219.4,
98,Surface,RSA_098B,20210506,40°47.58',69°05.54',40°47.55',69°05.53',35.9,65.7,NA,7:00,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,66.73785,32.87774697,250,2,7.40685832,2,306.4367306,2062.3,,2217.5,
99,Bottom,RSA_099A,20210506,40°41.20',69°12.64',40°41.22',69°12.62',31.2,57.1,9:17,9:17,9:18,9:21,9:21,D6,Benzalkonium and mercuric,8:56,9:11,40°41.78,69°13.04,40°41.23,69°12.57,125,,59.19469,32.8145,250,2,7.28869019,2,307.675372,2060.9,,2219.7,
99,Surface,RSA_099B,20210506,40°41.20',69°12.64',40°41.22',69°12.62',31.2,57.1,NA,9:17,NA,NA,NA,NA,Benzalkonium and mercuric,8:56,9:11,40°41.78,69°13.04,40°41.23,69°12.57,125,,59.19469,32.79598101,250,2,7.30566493,2,308.32582,2060.2,,2219.6,
100,Bottom,RSA_100A,20210506,40°47.49',69°17.51',40°47.48',69°17.51',31.4,57.4,8:04,8:04,8:05,8:08,8:09,D5,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,58.89424,32.9174,250,2,7.30593262,2,306.6316067,2059.7,,2229.2,
100,Surface,RSA_100B,20210506,40°47.49',69°17.51',40°47.48',69°17.51',31.4,57.4,NA,8:04,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,58.89424,32.91948416,250,2,7.30204306,2,306.8802068,2058.8,,2227.1,
101,Bottom,RSA_101A,20210506,40°35.80',69°17.74',40°35.81',69°17.71',30.4,55.6,10:09,10:09,10:10,10:13,10:14,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,56.99459,32.8774616,250,2,7.51598339,2,306.7255531,2055.6,,2220.9,
101,Surface,RSA_101B,20210506,40°35.80',69°17.74',40°35.81',69°17.71',30.4,55.6,NA,10:09,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,56.99459,32.85437443,250,2,7.51411194,2,305.4726725,2055.6,,2224.5,
102,Bottom,RSA_102A,20210506,40°36.24',69°05.68',40°36.21',69°05.70',39.9,73,5:34,5:35,5:36,5:37,5:38,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,74.53312,32.92490923,250,2,7.6029663,2,310.687889,2056.6,,2226.9,
102,Surface,RSA_235,20210506,40°36.24',69°05.68',40°36.21',69°05.70',39.9,73,NA,5:35,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,74.53312,32.85987242,250,2,7.42962821,2,308.6148784,2058.2,,2222.9,
