BottleID,TA_avg,TA_stdev,Salinity,Flag
RSA_077A,2254.1,0.3,33.497,
RSA_077B,2204.1,0.8,32.298,
RSA_078A,2242.4,0.7,33.284,
RSA_078B,2205.9,0.7,32.479,
RSA_079A,2230.5,4.2,32.935,very high drift
RSA_079B,2231,0.2,32.917,very high drift
RSA_080A,2231.3,1.4,32.912,very high drift
RSA_080B,2212.4,0.8,32.468,very high drift
RSA_081A,2256.3,0.5,33.508,very high drift
RSA_081B,2218.6,0.1,32.701,very high drift
RSA_082A,2244.2,0.9,32.93,very high drift
RSA_082B,2219.6,0.1,32.794,very high drift
RSA_083A,2234.1,1.4,32.909,very high drift
RSA_083B,2224.5,0.2,32.903,very high drift
RSA_084A,2234.2,1.3,33.046,very high drift
RSA_084B,2219.2,0.7,32.771,very high drift
RSA_085A,2228.9,0.3,32.897,
RSA_085B,2226.1,1.4,32.808,
RSA_086A,2278,0.4,33.886,
RSA_086B,2221.8,0.2,32.712,
RSA_087A,2277.6,0.5,34.046,
RSA_087B,2221.8,0.5,32.635,
RSA_088A,2237.9,0.8,33.009,
RSA_088B,2234.9,1.2,32.866,
RSA_089A,2224.6,0.9,32.812,
RSA_089B,2227.5,0.7,32.882,
RSA_090A,2226.6,0.5,32.819,
RSA_090B,2223.4,1.7,32.811,
RSA_091A,2228.8,0.8,32.818,
RSA_091B,2226.2,0.7,32.785,
RSA_092A,2226.4,0,32.807,
RSA_092B,2218.9,0.5,32.764,
RSA_093A,2246.2,1.5,33.241,
RSA_093B,2232.7,0.1,32.896,
RSA_094A,2241.1,2.5,33.044,
RSA_094B,2224,0.4,32.831,
RSA_095A,2234.2,0.6,32.9,
RSA_095B,2230.6,0.5,32.845,
RSA_096A,2234.8,0.2,32.879,
RSA_096B,2221.7,0.1,32.779,
RSA_097A,2220.3,0.1,32.855,
RSA_097B,2233.9,2.2,32.748,
RSA_098A,2219.4,9.9,32.886,
RSA_098B,2217.5,6.4,32.878,
RSA_099A,2219.7,1.5,32.815,
RSA_099B,2219.6,3.6,32.796,
