BottleID,Temp,Salinity,DIC_avg,TA_avg,TA_flag,CTD_depth
RSA_049A,7.417047119,33.303,2115.7,2243.8,,90.9081151
RSA_049B,7.340887451,32.732,2018.2,2195.4,,90.9081151
RSA_050A,6.812060547,32.689,2085.4,2217.7,,71.6188218
RSA_050B,7.352009277,32.684,2075,2215.3,,71.6188218
RSA_051A,7.634979248,32.855,2060.7,2226.3,,68.0286459
RSA_051B,7.694557953,32.894,2053.6,2222.9,,68.0286459
RSA_052A,6.7480896,32.811,2096.7,2223.7,,71.43365
RSA_052B,7.620625814,32.744,2041.7,2189.8,,71.43365
RSA_053A,9.112054443,34.007,2114.1,2276.9,,99.1620802
RSA_053B,7.846874128,32.819,2033.7,2181.3,,99.1620802
RSA_054A,7.151025391,33.109,2108.7,2237,,84.8841956
RSA_054B,7.556919556,32.562,2069.5,2206.3,,84.8841956
RSA_055A,6.844537354,32.635,2076,2217.3,,66.2302511
RSA_055B,7.433327811,32.608,2056.5,2199.9,,66.2302511
RSA_056A,7.557580566,32.771,2055.9,2224,,59.1829398
RSA_056B,7.598726807,32.709,2056.7,2220.8,,59.1829398
RSA_057A,6.871026611,32.594,2055.2,2216.5,,69.2796968
RSA_057B,7.590714333,32.431,2054.4,2202.4,3,69.2796968
RSA_058A,7.488242013,33.315,2117.9,2243.3,3,94.725966
RSA_058B,7.683195801,32.63,2053.8,2215.8,3,94.725966
RSA_059A,10.08000488,34.397,2137.4,2291.8,3,96.219179
RSA_059B,8.53503495,32.521,2043.2,2211,3,96.219179
RSA_060A,7.544818115,33.324,2114.5,2241.4,3,84.4056223
RSA_060B,7.855057373,32.509,2062.5,2202,3,84.4056223
RSA_061A,7.464276123,32.728,2057.7,2217.2,3,61.5239052
RSA_061B,7.626770698,32.548,2050.9,2209.8,3,61.5239052
RSA_062A,6.939520264,32.576,2064.2,2210.5,3,70.4939899
RSA_062B,7.887987518,32.402,2041.5,2202.1,3,70.4939899
RSA_063A,8.835894775,33.877,2119.4,2273.1,,88.8879581
RSA_063B,8.153674316,32.559,2050,2212.9,,88.8879581
RSA_064A,9.674731445,34.24,2130.3,2286.4,,89.2297153
RSA_064B,7.998186035,32.457,2048.9,2211.8,,89.2297153
RSA_065A,7.243678029,33.117,2103.4,2238,,71.976562
RSA_065B,7.738996233,32.333,2051.2,2206.5,,71.976562
RSA_066A,6.999053955,32.623,2070.4,2218.3,,66.7598852
RSA_066B,7.551270549,32.482,2059.3,2205.3,,66.7598852
RSA_067A,7.580358887,32.758,2058.5,2222.5,,57.0033094
RSA_067B,7.767816162,32.585,2055.1,2210.9,,57.0033094
RSA_068A,7.229382324,32.699,2069.7,2222,,65.0170901
RSA_068B,7.492635498,32.505,2060.1,2206,,65.0170901
RSA_069A,7.536846924,33.259,2102,2240.5,,78.1390439
RSA_069B,7.959368025,32.425,2047.7,2211.1,,78.1390439
RSA_070A,6.800915527,32.842,2080.2,2225.7,,70.3653191
RSA_070B,7.689307405,32.529,2058.8,2212.5,,70.3653191
RSA_071A,6.905743408,32.917,2083.8,2228.2,,76.9589353
RSA_071B,7.951394043,32.302,2038.2,2205.7,,76.9589353
RSA_072A,7.586621094,33.282,2096.3,2253.7,,86.3872155
RSA_072B,8.193803188,32.298,2034.4,2206.1,,86.3872155
RSA_073A,6.857308683,32.715,2070.9,2218.8,,68.2275739
RSA_073B,7.466583506,32.497,2048,2207.8,,68.2275739
RSA_074A,7.617435564,32.829,2066.2,2221,,60.873335
RSA_074B,7.866987828,32.731,2060,2215.1,,60.873335
RSA_075A,7.408654785,32.837,2070.5,2225.8,,69.9643276
RSA_075B,7.678759003,32.708,2062.5,2214.9,,69.9643276
RSA_076A,8.047180176,33.518,2104.5,2253.1,,88.4802405
RSA_076B,8.107416725,32.329,2032.1,2201.3,,88.4802405
RSA_077A,8.107592773,33.497,2100.9,2254.1,,91.981505
RSA_077B,8.084526367,32.298,2028.8,2204.1,,91.981505
RSA_078A,7.595501709,33.284,2095.6,2242.4,,80.6930278
RSA_078B,7.756319635,32.479,2045.5,2205.9,,80.6930278
RSA_079A,8.131048584,32.935,2057.2,2230.5,3,61.0904416
RSA_079B,8.097027588,32.917,2058.5,2231,3,61.0904416
RSA_080A,7.303088379,32.912,2076.8,2231.3,3,78.9254791
RSA_080B,7.832913547,32.468,2041.4,2212.4,3,78.9254791
RSA_081A,NA,33.508,2100,2256.3,3,NA
RSA_081B,NA,32.701,2055.9,2218.6,3,NA
RSA_082A,7.467559814,32.93,2071.4,2244.2,3,74.028083
RSA_082B,8.121411133,32.794,2053.4,2219.6,3,74.028083
RSA_083A,7.620904541,32.909,2037,2234.1,3,66.5681199
RSA_083B,8.179837545,32.903,2035.8,2224.5,3,66.5681199
