DateProcessed,ScallopID,ShellHt_mm,Sex,Mus_Boat1_g,Boat+WetMus_g,WetMus_g,Boat+DryMus_g,DryMus_g,Gon_Boat1_g,Boat+WetGon_g,WetGon_g,Boat+DryGon_g,DryGon_g,Man_Boat1_g,Boat+WetMan_g,WetMan_g,Boat+DryMan_g,DryMan_g,ShellWt_g,Notes
20211018,017_65,122,F,0.82,32.50,31.68,8.29,7.47,8.00,3.28,-4.72,1.09,-6.91,0.79,15.01,14.22,2.63,1.84,132.87,
20211018,017_52,135,M,0.82,43.41,42.59,11.02,10.20,0.78,13.03,12.25,3.59,2.81,0.79,20.14,19.35,3.27,2.48,208.50,
20211018,017_71,117,F,0.78,21.91,21.13,5.04,4.26,0.80,2.21,1.41,0.99,0.19,0.80,11.06,10.26,2.16,1.36,123.20,
20211018,017_67,112,M,0.79,23.82,23.03,5.82,5.03,0.80,5.59,4.79,1.70,0.90,0.81,10.18,9.37,2.07,1.26,127.28,
20211018,017_64,144,M,0.79,45.93,45.14,10.09,9.30,0.80,5.47,4.67,1.29,0.49,0.79,17.98,17.19,2.95,2.16,195.09,polychaetes
20211018,017_51,143,F,0.79,58.02,57.23,14.06,13.27,0.77,8.90,8.13,1.86,1.09,0.80,25.52,24.72,3.85,3.05,236.17,
20211018,017_60,152,F,0.79,60.30,59.51,16.62,15.83,0.81,7.66,6.85,1.67,0.86,0.81,29.14,28.33,4.46,3.65,278.48,polychaetes
20211018,017_53,111,F,0.79,28.83,28.04,6.65,5.86,0.81,3.84,3.03,1.06,0.25,0.81,15.56,14.75,2.39,1.58,170.57,
20211018,017_55,111,M,0.82,21.31,20.49,5.22,4.40,0.81,6.43,5.62,2.05,1.24,0.80,10.94,10.14,2.08,1.28,111.22,
20211018,017_61,130,F,0.79,39.51,38.72,9.07,8.28,0.79,7.10,6.31,1.80,1.01,0.81,15.50,14.69,2.56,1.75,173.83,polychaetes
20211018,017_56,137,M,0.80,51.05,50.25,12.20,11.40,0.79,4.40,3.61,1.19,0.40,0.81,21.41,20.60,3.51,2.70,228.02,polychaetes
20211018,017_68,101,F,0.80,14.23,13.43,3.28,2.48,0.80,2.05,1.25,0.92,0.12,0.80,8.55,7.75,1.88,1.08,117.96,
20211018,017_54,120,M,0.79,27.10,26.31,6.39,5.60,0.78,8.39,7.61,2.39,1.61,0.79,14.50,13.71,2.16,1.37,138.18,
20211018,017_58,141,F,0.80,43.05,42.25,10.20,9.40,0.79,4.52,3.73,1.24,0.45,0.81,18.79,17.98,3.06,2.25,218.67,polychaetes
20211018,017_73,117,F,0.80,25.08,24.28,6.38,5.58,0.80,2.30,1.50,0.97,0.17,0.80,9.79,8.99,1.84,1.04,123.82,
20211018,017_74,113,M,0.81,18.48,17.67,4.56,3.75,0.80,3.56,2.76,1.22,0.42,0.80,7.94,7.14,1.53,0.73,107.66,
20211018,017_59,118,M,0.79,29.40,28.61,6.92,6.13,0.79,8.15,7.36,2.21,1.42,0.79,11.56,10.77,2.11,1.32,152.57,
20211018,017_62,138,M,0.82,42.03,41.21,9.28,8.46,0.79,10.07,9.28,2.33,1.54,0.80,16.84,16.04,2.88,2.08,230.98,polychaetes
20211018,017_57,116,M,0.81,25.94,25.13,5.83,5.02,0.80,5.71,4.91,1.63,0.83,0.80,12.11,11.31,2.08,1.28,139.08,polychaetes
20211018,017_72,133,M,0.80,34.88,34.08,7.88,7.08,0.80,13.14,12.34,3.50,2.70,0.80,16.73,15.93,2.72,1.92,199.99,
20211018,017_69,136,F,0.80,44.22,43.42,11.01,10.21,0.79,4.87,4.08,1.30,0.51,0.81,20.62,19.81,3.38,2.57,225.28,
20211018,017_66,134,M,0.81,37.86,37.05,8.06,7.25,0.82,3.68,2.86,1.13,0.31,0.80,16.95,16.15,2.71,1.91,207.23,polychaetes
20211018,017_76,131,M,0.81,37.24,36.43,8.33,7.52,0.82,19.09,18.27,5.10,4.28,0.81,17.10,16.29,2.69,1.88,169.54,
20211018,017_63,84,M,0.82,10.80,9.98,2.76,1.94,0.81,3.55,2.74,1.38,0.57,0.81,5.31,4.50,1.38,0.57,55.46,
20211018,021_89,85,F,0.80,11.32,10.52,2.98,2.18,0.79,2.96,2.17,1.10,0.31,0.79,5.86,5.07,1.52,0.73,34.56,
20211018,021_77,90,M,0.79,13.65,12.86,3.45,2.66,0.80,3.55,2.75,1.29,0.49,0.80,4.78,3.98,1.28,0.48,51.93,
20211018,021_85,92,F,0.80,11.37,10.57,3.02,2.22,0.80,2.41,1.61,1.04,0.24,0.81,4.29,3.48,1.23,0.42,53.86,
20211018,021_87,57,F,0.81,3.62,2.81,1.35,0.54,0.79,0.98,0.19,0.81,0.02,0.82,1.78,0.96,0.95,0.13,19.18,
20211018,021_96,68,M,0.79,5.02,4.23,1.65,0.86,0.78,1.19,0.41,0.82,0.04,0.80,2.88,2.08,1.05,0.25,29.85,
20211018,021_91,150,M,0.78,54.39,53.61,12.94,12.16,0.80,10.72,9.92,2.12,1.32,0.81,23.22,22.41,3.68,2.87,182.48,polychaetes (put in oven to dry more)
20211018,021_98,146,F,0.80,49.10,48.30,11.49,10.69,0.79,8.71,7.92,1.79,1.00,0.82,16.98,16.16,2.86,2.04,238.26,
20211018,021_94,83,M,0.81,9.99,9.18,2.81,2.00,0.79,1.79,1.00,0.94,0.15,0.80,4.98,4.18,1.33,0.53,50.45,
20211018,021_99,135,F,0.81,31.39,30.58,7.44,6.63,0.80,6.37,5.57,1.41,0.61,0.80,17.92,17.12,2.64,1.84,153.23,
20211018,021_63,126,M,0.79,28.30,27.51,7.06,6.27,0.81,13.43,12.62,3.39,2.58,0.81,14.34,13.53,2.29,1.48,154.89,
