DateProcessed,ScallopID,ShellHt_mm,Sex,Mus_Boat1_g,Boat+WetMus_g,WetMus_g,Mus_Boat2_g,Boat+DryMus_g,DryMus_g,Gon_Boat1_g,Boat+WetGon_g,WetGon_g,Gon_Boat2_g,Boat+DryGon_g,DryGon_g,Man_Boat1_g,Boat+WetMan_g,WetMan_g,Man_Boat2_g,Boat+DryMan_g,DryMan_g,ShellWt_g,Notes
7/23/21,030_23,123,F,3.69,52.3,48.61,3.75,13.75,10,3.69,38.42,34.73,3.75,9.57,5.82,3.69,27.19,23.5,3.75,5.74,1.99,171.47,
7/23/21,099_39,105,F,3.69,31.84,28.15,3.75,9.08,5.33,3.69,11.26,7.57,3.75,4.73,0.98,3.69,16.71,13.02,3.75,6.45,2.7,71.47,
7/23/21,099_29,102,M,3.69,34.6,30.91,3.75,10.41,6.66,3.69,12.55,8.86,3.75,5.07,1.32,3.69,18.78,15.09,3.75,5.11,1.36,67.06,
7/23/21,030_49,127,F,3.69,44.63,40.94,3.75,11.31,7.56,3.69,18.63,14.94,3.75,5.77,2.02,3.69,27.66,23.97,3.75,5.55,1.8,204.72,
7/23/21,054_19,92,F,3.69,16.87,13.18,3.75,6.24,2.49,3.69,10.13,6.44,3.75,4.76,1.01,3.69,10.44,6.75,3.75,4.46,0.71,34.6,
7/23/21,088_21,121,F,3.69,44.31,40.62,3.75,11.12,7.37,3.69,7.8,4.11,3.75,4.02,0.27,3.69,21.96,18.27,3.75,5.86,2.11,120.29,
7/23/21,088_36,113,M,3.69,32.64,28.95,3.75,8.95,5.2,3.69,7.91,4.22,3.75,4.03,0.28,3.69,15.97,12.28,3.75,5.21,1.46,74.54,
7/23/21,099_26,113,F,3.69,43.89,40.2,3.75,11.18,7.43,3.69,13.25,9.56,3.75,4.64,0.89,3.69,43.86,40.17,3.75,5.53,1.78,111.12,
7/26/21,088_04,137,F,1.29,51.07,49.78,,11.7,10.41,2.02,7.66,5.64,,2.67,0.65,2.05,30.03,27.98,,6.89,4.84,180.89,
7/26/21,030_21,110,M,2.03,32.34,30.31,,9.61,7.58,2.08,20.27,18.19,,6.49,4.41,2.02,21.96,19.94,,4.14,2.12,129.08,
7/26/21,028_43,83,M,2.07,14.99,12.92,,5.07,3,2.08,7.14,5.06,,3.3,1.22,2.08,9.21,7.13,,2.95,0.87,36.88,
7/26/21,109_14,97,M,2.05,19.22,17.17,,5.75,3.7,2.02,3.97,1.95,,2.35,0.33,2.06,12.74,10.68,,3.63,1.57,66.74,
7/26/21,088_49,106,F,2.06,30.88,28.82,,9.19,7.13,2.08,5.48,3.4,,2.46,0.38,2.04,17.11,15.07,,4.08,2.04,63.74,
7/26/21,088_02,130,M,2.06,42.96,40.9,,11.47,9.41,2.03,9.57,7.54,,2.92,0.89,2.04,27.91,25.87,,5.27,3.23,122.32,
7/26/21,109_06,100,M,2.07,23.03,20.96,,6.74,4.67,2.06,3.44,1.38,,2.25,0.19,2.08,11.53,9.45,,3.51,1.43,61.52,calcification on muscle
7/26/21,054_33,89,M,2.03,13.3,11.27,,4.53,2.5,2.04,3.12,1.08,,2.2,0.16,2.07,7.33,5.26,,2.78,0.71,27.71,
7/26/21,030_20,69,M,2.04,9.19,7.15,,3.63,1.59,2.05,6.82,4.77,,3.17,1.12,2.04,6.84,4.8,,2.56,0.52,31.89,
7/26/21,030_43,121,F,1.28,44.01,42.73,,11.28,10,1.98,32.37,30.39,,8.73,6.75,2.06,25.89,23.83,,4.7,2.64,187.1,
7/26/21,070_32,88,F,2.03,18.85,16.82,,5.7,3.67,2.03,3.93,1.9,,2.38,0.35,2.05,9.42,7.37,,3.78,1.73,40.12,
7/26/21,030_11,129,M,1.29,52.97,51.68,,13.53,12.24,2.01,24.86,22.85,,7.5,5.49,2.06,28.34,26.28,,5.15,3.09,193.95,
8/3/21,030_46,119,M,1.3,36.61,35.31,,10.22,8.92,1.29,19.88,18.59,,6.13,4.84,1.3,126.58,125.28,,3.68,2.38,165.86,
8/3/21,088_22,114,F,1.28,30.48,29.2,,8.43,7.15,0.79,4.03,3.24,,1.11,0.32,1.28,15.89,14.61,,3.24,1.96,105.97,
8/3/21,030_12,127,M,1.29,51.77,50.48,,17.07,15.78,1.28,25.66,24.38,,7.14,5.86,0.97,21.51,20.54,,3.27,2.3,189.03,
