Station,Cast,Bottle_ID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Notes,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Salinity,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,Depth_meters_CTD,TA,TA_FLAG,DIC,DIC_FLAG
68,Bottom,RSA_367,,20211008,41°00.15',67°35.86',41°00.15',67°35.87',34.5,63.1,3:39,3:39,3:41,3:43,3:44,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
68,Surface,RSA_368,,20211008,41°00.15',67°35.86',41°00.15',67°35.87',34.5,63.1,NA,3:39,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
66,Bottom,RSA_369,,20211008,41°00.00',67°30.22',40°59.99',67°30.16',35.4,64.7,4:12,4:13,4:14,4:16,4:17,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
66,Surface,RSA_370,,20211008,41°00.00',67°30.22',40°59.99',67°30.16',35.4,64.7,NA,4:13,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
62,Bottom,RSA_372,,20211008,41°00.03',67°23.94',41°00.05',67°23.91',36.7,67.1,5:00,5:00,5:01,5:03,5:04,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
62,Surface,RSA_373,,20211008,41°00.03',67°23.94',41°00.05',67°23.91',36.7,67.1,NA,5:01,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
60,Bottom,RSA_371,,20211008,40°54.05',67°18.04',40°53.94',67°18.09',43.9,80.3,5:50,5:50,5:52,5:54,5:55,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
60,Surface,RSA_374,Y,20211008,40°54.05',67°18.04',40°53.94',67°18.09',43.9,80.3,NA,5:51,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
60,Surface,RSA_375,,20211008,40°54.05',67°18.04',40°53.94',67°18.09',43.9,80.3,NA,5:51,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
65,Bottom,RSA_377,,20211008,40°53.97',67°29.94',40°53.85',67°29.90',39.9,73.0,7:17,7:17,7:18,7:21,7:22,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
65,Bottom,RSA_376,Y,20211008,40°53.97',67°29.94',40°53.85',67°29.90',39.9,73.0,7:17,7:17,7:18,7:21,7:22,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
65,Surface,RSA_378,,20211008,40°53.97',67°29.94',40°53.85',67°29.90',39.9,73.0,NA,7:18,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
63,Bottom,RSA_379,,20211008,40°47.78',67°23.85',40°47.62',67°23.81',47.3,86.5,8:07,8:07,8:08,8:10,8:11,D17?,delay in poisoning; sal bottle recorded as D18,Mercuric,,,,,,,,,,,,,,,,,
63,Surface,RSA_380,,20211008,40°47.78',67°23.85',40°47.62',67°23.81',47.3,86.5,NA,8:07,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
58,Bottom,RSA_381,,20211008,40°47.99',67°12.08',40°47.87',67°11.96',50.4,92.2,9:10,9:10,9:12,9:14,9:15,D18?,delay in poisoning; sal bottle recorded as D19,Mercuric,,,,,,,,,,,,,,,,,
58,Surface,RSA_382,,20211008,40°47.99',67°12.08',40°47.87',67°11.96',50.4,92.2,NA,9:11,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
59,Bottom,RSA_383,Y,20211008,40°41.99',67°18.06',40°41.96',67°18.15',52.2,95.5,10:00,10:01,10:02,10:04,10:05,D19?,sal bottle recorded as D20,Mercuric,,,,,,,,,,,,,,,,,
59,Bottom,RSA_384,,20211008,40°41.99',67°18.06',40°41.96',67°18.15',52.2,95.5,10:00,10:01,10:02,10:04,10:05,D19?,sal bottle recorded as D20,Mercuric,,,,,,,,,,,,,,,,,
59,Surface,RSA_385,,20211008,40°41.99',67°18.06',40°41.96',67°18.15',52.2,95.5,NA,10:01,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
64,Bottom,RSA_386,,20211008,40°41.99',67°30.09',40°42.01',67°30.16',48.2,88.1,10:59,11:00,11:01,11:02,11:03,D20?,sal bottle recorded as D21,Mercuric,,,,,,,,,,,,,,,,,
64,Surface,RSA_387,,20211008,40°41.99',67°30.09',40°42.01',67°30.16',48.2,88.1,NA,11:00,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
69,Bottom,RSA_388,,20211008,40°48.13',67°36.06',40°48.22',67°36.16',42.1,77.0,11:53,11:53,11:54,11:56,11:57,,,Mercuric,,,,,,,,,,,,,,,,,
69,Surface,RSA_389,,20211008,40°48.13',67°36.06',40°48.22',67°36.16',42.1,77.0,NA,11:53,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
70,Bottom,RSA_390,Y,20211008,40°48.02',67°42.02',40°48.10',67°42.22',38,69.5,12:25,12:25,12:26,12:28,12:29,,,Mercuric,,,,,,,,,,,,,,,,,
70,Bottom,RSA_391,,20211008,40°48.02',67°42.02',40°48.10',67°42.22',38,69.5,12:25,12:25,12:26,12:28,12:29,,,Mercuric,,,,,,,,,,,,,,,,,
70,Surface,RSA_392,,20211008,40°48.02',67°42.02',40°48.10',67°42.22',38,69.5,NA,12:25,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
71,Bottom,RSA_393,,20211008,40°42.05',67°42.00',40°42.02',67°42.02',41.5,75.9,13:28,13:29,13:30,13:31,13:32,,,Mercuric,,,,,,,,,,,,,,,,,
71,Surface,RSA_394,,20211008,40°42.05',67°42.00',40°42.02',67°42.02',41.5,75.9,NA,13:29,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
72,Bottom,RSA_395,,20211008,40°36.05',67°48.00',40°36.19',67°48.10',45.8,83.8,14:25,14:25,14:26,14:28,14:30,,,Mercuric,,,,,,,,,,,,,,,,,
72,Surface,RSA_396,,20211008,40°36.05',67°48.00',40°36.19',67°48.10',45.8,83.8,NA,14:26,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
76,Bottom,RSA_397,Y,20211008,40°36.05',67°53.94',40°36.16',67°54.00',47,86.0,14:59,14:59,15:01,15:02,15:03,D21?,sal bottle recorded as D22,Mercuric,,,,,,,,,,,,,,,,,
76,Bottom,RSA_398,,20211008,40°36.05',67°53.94',40°36.16',67°54.00',47,86.0,14:59,14:59,15:01,15:02,15:03,D21?,sal bottle recorded as D22,Mercuric,,,,,,,,,,,,,,,,,
76,Surface,RSA_399,,20211008,40°36.05',67°53.94',40°36.16',67°54.00',47,86.0,NA,15:00,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
77,Bottom,RSA_400,Y,20211008,40°36.13',68°00.48',40°36.24',68°00.38',48.4,88.5,16:04,16:04,16:06,16:07,16:08,D22?,sal bottle recorded as D23,Mercuric,,,,,,,,,,,,,,,,,
77,Bottom,RSA_401,,20211008,40°36.13',68°00.48',40°36.24',68°00.38',48.4,88.5,16:04,16:04,16:06,16:07,16:08,D22?,sal bottle recorded as D23,Mercuric,,,,,,,,,,,,,,,,,
77,Surface,RSA_402,,20211008,40°36.13',68°00.48',40°36.24',68°00.38',48.4,88.5,NA,16:05,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
78,Bottom,RSA_403,Y,20211008,40°42.14',67°53.84',40°42.17',67°53.77',42.3,77.4,16:56,16:56,16:58,17:00,17:01,,,Mercuric,,,,,,,,,,,,,,,,,
78,Bottom,RSA_404,,20211008,40°42.14',67°53.84',40°42.17',67°53.77',42.3,77.4,16:56,16:56,16:58,17:00,17:01,,,Mercuric,,,,,,,,,,,,,,,,,
78,Surface,RSA_405,,20211008,40°42.14',67°53.84',40°42.17',67°53.77',42.3,77.4,NA,16:57,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
73,Bottom,RSA_407,,20211008,40°47.88',67°48.07',40°47.89',67°47.99',36,65.8,17:46,17:48,17:49,17:50,17:51,,,Mercuric,,,,,,,,,,,,,,,,,
73,Surface,RSA_406,,20211008,40°47.88',67°48.07',40°47.89',67°47.99',36,65.8,NA,17:48,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
74,Bottom,RSA_408,,20211008,40°53.90',67°53.87',40°53.89',67°53.79',31.4,57.4,18:49,18:49,18:50,18:51,18:52,,,Mercuric,,,,,,,,,,,,,,,,,
74,Surface,RSA_409,,20211008,40°53.90',67°53.87',40°53.89',67°53.79',31.4,57.4,NA,18:50,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
79,Bottom,RSA_410,,20211008,40°53.95',68°05.75',40°53.82',68°05.74',31,56.7,19:56,19:57,19:58,19:59,20:00,,,Mercuric,,,,,,,,,,,,,,,,,
79,Surface,RSA_411,,20211008,40°53.95',68°05.75',40°53.82',68°05.74',31,56.7,NA,19:57,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
75,Bottom,RSA_412,,20211008,40°47.89',68°00.01',40°47.82',68°00.02',35.7,65.3,20:40,20:41,20:42,20:43,20:44,,,Mercuric,,,,,,,,,,,,,,,,,
75,Surface,RSA_413,Y,20211008,40°47.89',68°00.01',40°47.82',68°00.02',35.7,65.3,NA,20:41,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
75,Surface,RSA_414,,20211008,40°47.89',68°00.01',40°47.82',68°00.02',35.7,65.3,NA,20:41,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
80,Bottom,RSA_415,,20211008,40°41.99',68°06.02',40°41.96',68°06.10',41.8,76.4,21:25,21:26,21:27,21:28,21:29,D23?,sal bottle recorded as D24,Mercuric,,,,,,,,,,,,,,,,,
80,Surface,RSA_416,,20211008,40°41.99',68°06.02',40°41.96',68°06.10',41.8,76.4,NA,21:26,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
81,Bottom,RSA_417,,20211008,40°35.98',68°12.04',40°35.91',68°12.19',50.3,92.0,22:10,22:11,22:12,22:13,22:15,D24?,sal bottle recorded as L1,Mercuric,,,,,,,,,,,,,,,,,
81,Surface,RSA_418,,20211008,40°35.98',68°12.04',40°35.91',68°12.19',50.3,92.0,NA,22:11,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
82,Bottom,RSA_419,Y,20211008,40°41.94',68°12.02',40°41.92',68°12.05',39.8,72.8,23:02,23:02,23:03,23:04,23:05,L1?,sal bottle recorded as L2,Mercuric,,,,,,,,,,,,,,,,,
82,Bottom,RSA_420,,20211008,40°41.94',68°12.02',40°41.92',68°12.05',39.8,72.8,23:02,23:02,23:03,23:04,23:05,L1?,,Mercuric,,,,,,,,,,,,,,,,,
82,Surface,RSA_421,,20211008,40°41.94',68°12.02',40°41.92',68°12.05',39.8,72.8,NA,23:02,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
83,Bottom,RSA_422,,20211008,40°41.97',68°18.04',40°41.88',68°18.29',34.9,63.8,23:46,23:46,23:47,23:49,23:50,,,Mercuric,,,,,,,,,,,,,,,,,
83,Surface,RSA_423,,20211008,40°41.97',68°18.04',40°41.88',68°18.29',34.9,63.8,NA,23:46,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
84,Bottom,RSA_424,,20211009,40°36.00',68°24.10',40°36.01',68°24.21',42.6,77.9,0:30,0:31,0:32,0:33,0:34,L2?,sal bottle recorded as L3,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
84,Surface,RSA_425,,20211009,40°36.00',68°24.10',40°36.01',68°24.21',42.6,77.9,NA,0:32,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
86,Bottom,RSA_426,,20211009,40°29.99',68°30.03',40°30.01',68°30.18',48,87.8,1:19,1:20,1:22,1:23,1:24,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
86,Surface,RSA_427,,20211009,40°29.99',68°30.03',40°30.01',68°30.18',48,87.8,NA,1:21,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
87,Bottom,RSA_428,,20211009,40°24.02',68°36.02',40°24.06',68°36.12',48.6,88.9,2:14,2:15,2:16,2:17,2:18,L3?,sal bottle recorded as L4,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
87,Surface,RSA_429,,20211009,40°24.02',68°36.02',40°24.06',68°36.12',48.6,88.9,NA,2:15,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
93,Bottom,RSA_430,,20211009,40°24.02',68°47.99',40°24.11',68°48.07',43.9,80.3,3:11,3:12,3:13,3:14,3:16,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
93,Surface,RSA_431,,20211009,40°24.02',68°47.99',40°24.11',68°48.07',43.9,80.3,NA,3:12,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
88,Bottom,RSA_432,,20211009,40°30.03',68°42.02',40°30.07',68°42.06',39.3,71.9,4:06,4:07,4:08,4:09,4:10,L4?,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
88,Surface,RSA_433,,20211009,40°30.03',68°42.02',40°30.07',68°42.06',39.3,71.9,NA,4:07,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
85,Bottom,RSA_434,,20211009,40°36.04',68°36.08',40°36.08',68°36.13',34.9,63.8,5:16,5:16,5:18,5:19,5:20,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
85,Surface,RSA_435,,20211009,40°36.04',68°36.08',40°36.08',68°36.13',34.9,63.8,NA,5:16,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
89,Bottom,RSA_436,,20211009,40°42.04',68°42.02',40°42.04',68°42.04',32.7,59.8,6:07,6:08,6:09,6:10,6:11,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
89,Surface,RSA_437,,20211009,40°42.04',68°42.02',40°42.04',68°42.04',32.7,59.8,NA,6:08,NA,NA,NA,,delay in poisoning,Mercuric,,,,,,,,,,,,,,,,,
90,Bottom,RSA_438,Y,20211009,40°47.79',68°42.00',40°47.74',68°42.09',32.5,59.4,6:51,6:52,6:54,6:55,6:56,,,Mercuric,,,,,,,,,,,,,,,,,
90,Bottom,RSA_439,,20211009,40°47.79',68°42.00',40°47.74',68°42.09',32.5,59.4,6:51,6:52,6:54,6:55,6:56,,,Mercuric,,,,,,,,,,,,,,,,,
90,Surface,RSA_440,,20211009,40°47.79',68°42.00',40°47.74',68°42.09',32.5,59.4,NA,6:53,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
91,Bottom,RSA_441,,20211009,40°47.99',68°48.12',40°47.95',68°48.25',35,64.0,7:27,7:28,7:29,7:30,7:31,,,Mercuric,,,,,,,,,,,,,,,,,
91,Surface,RSA_442,,20211009,40°47.99',68°48.12',40°47.95',68°48.25',35,64.0,NA,7:28,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
97,Bottom,RSA_443,,20211009,40°47.98',68°53.66',40°47.89',68°53.73',36.3,66.4,8:03,8:03,8:04,8:06,8:07,L5?,,Mercuric,,,,,,,,,,,,,,,,,
97,Surface,RSA_444,,20211009,40°47.98',68°53.66',40°47.89',68°53.73',36.3,66.4,NA,8:03,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
96,Bottom,RSA_445,,20211009,40°42.17',68°54.00',40°41.88',68°54.02',35,64.0,8:57,8:57,8:59,9:00,9:01,,,Mercuric,,,,,,,,,,,,,,,,,
96,Surface,RSA_446,,20211009,40°42.17',68°54.00',40°41.88',68°54.02',35,64.0,NA,8:58,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
92,Bottom,RSA_447,,20211009,40°36.08',68°48.21',40°35.86',68°48.38',33.9,62.0,9:52,9:53,9:54,9:55,9:56,,,Mercuric,,,,,,,,,,,,,,,,,
92,Surface,RSA_448,,20211009,40°36.08',68°48.21',40°35.86',68°48.38',33.9,62.0,NA,9:53,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
95,Bottom,RSA_449,,20211009,40°30.06',68°53.95',40°29.91',68°54.11',38.9,71.1,10:39,10:39,10:40,10:42,10:43,,,Mercuric,,,,,,,,,,,,,,,,,
95,Surface,RSA_450,,20211009,40°30.06',68°53.95',40°29.91',68°54.11',38.9,71.1,NA,10:40,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
94,Bottom,RSA_451,,20211009,40°24.09',68°59.95',40°24.06',69°00.19',44.5,81.4,11:29,11:29,11:31,11:32,11:33,,,Mercuric,,,,,,,,,,,,,,,,,
94,Surface,RSA_452,,20211009,40°24.09',68°59.95',40°24.06',69°00.19',44.5,81.4,NA,11:30,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
104,Bottom,RSA_453,,20211009,40°24.01',69°11.89',40°23.99',69°12.03',43.3,79.2,NA,12:30,12:31,12:32,12:33,,CTD off,Mercuric,,,,,,,,,,,,,,,,,
104,Surface,RSA_454,,20211009,40°24.01',69°11.89',40°23.99',69°12.03',43.3,79.2,NA,12:30,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
103,Bottom,RSA_455,,20211009,40°29.96',69°06.12',40°30.07',69°06.27',42.1,77.0,13:39,13:39,13:40,13:41,13:42,L6,,Mercuric,,,,,,,,,,,,,,,,,
103,Surface,RSA_456,,20211009,40°29.96',69°06.12',40°30.07',69°06.27',42.1,77.0,NA,13:39,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
102,Bottom,RSA_457,,20211009,40°36.01',69°06.14',40°36.07',69°06.24',40.3,73.7,14:39,14:40,14:41,14:43,14:44,,,Mercuric,,,,,,,,,,,,,,,,,
102,Surface,RSA_458,,20211009,40°36.01',69°06.14',40°36.07',69°06.24',40.3,73.7,NA,14:41,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
98,Bottom,RSA_459,,20211009,40°48.03',69°06.01',40°48.18',69°06.07',35,64.0,15:59,15:59,16:01,16:03,16:04,,,Mercuric,,,,,,,,,,,,,,,,,
98,Surface,RSA_460,,20211009,40°48.03',69°06.01',40°48.18',69°06.07',35,64.0,NA,16:00,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
100,Bottom,RSA_461,Y,20211009,40°48.02',69°18.00',40°48.09',69°17.99',29.5,53.9,17:14,17:15,17:15,17:17,17:17,L7,,Mercuric,,,,,,,,,,,,,,,,,
100,Bottom,RSA_462,,20211009,40°48.02',69°18.00',40°48.09',69°17.99',29.5,53.9,17:14,17:15,17:15,17:17,17:17,L7,,Mercuric,,,,,,,,,,,,,,,,,
100,Surface,RSA_463,,20211009,40°48.02',69°18.00',40°48.09',69°17.99',29.5,53.9,NA,17:15,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
99,Bottom,RSA_464,,20211009,40°42.05',69°12.05',40°42.05',69°12.06',33.3,60.9,18:19,18:20,18:20,18:21,18:22,L8,,Mercuric,,,,,,,,,,,,,,,,,
99,Surface,RSA_465,,20211009,40°42.05',69°12.05',40°42.05',69°12.06',33.3,60.9,NA,18:20,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
101,Bottom,RSA_466,,20211009,40°36.01',69°17.97',40°35.98',69°18.01',29.8,54.5,19:33,19:33,19:34,19:35,19:37,,,Mercuric,,,,,,,,,,,,,,,,,
101,Surface,RSA_467,,20211009,40°36.01',69°17.97',40°35.98',69°18.01',29.8,54.5,NA,19:33,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
105,Bottom,RSA_468,,20211009,40°29.99',69°24.02',40°29.92',69°24.03',31.8,58.2,20:29,20:29,20:30,20:31,20:32,L9,,Mercuric,,,,,,,,,,,,,,,,,
105,Surface,RSA_469,,20211009,40°29.99',69°24.02',40°29.92',69°24.03',31.8,58.2,NA,20:29,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
106,Bottom,RSA_470,,20211009,40°27.04',69°24.04',40°27.01',69°24.09',33.8,61.8,20:55,20:56,20:56,20:58,20:58,L10,,Mercuric,,,,,,,,,,,,,,,,,
106,Surface,RSA_471,,20211009,40°27.04',69°24.04',40°27.01',69°24.09',33.8,61.8,NA,20:56,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
109,Bottom,RSA_472,,20211009,40°23.98',69°36.32',40°23.98',69°36.53',35.1,64.2,22:32,22:32,22:34,22:35,22:36,L11,,Mercuric,,,,,,,,,,,,,,,,,
109,Surface,RSA_473,,20211009,40°23.98',69°36.32',40°23.98',69°36.53',35.1,64.2,NA,22:32,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
110,Bottom,RSA_474,,20211009,40°23.98',69°41.54',40°23.99',69°41.61',36.5,66.8,23:16,23:16,23:17,23:19,23:20,,,Mercuric,,,,,,,,,,,,,,,,,
110,Surface,RSA_475,Y,20211009,40°23.98',69°41.54',40°23.99',69°41.61',36.5,66.8,NA,23:16,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
110,Surface,RSA_476,,20211009,40°23.98',69°41.54',40°23.99',69°41.61',36.5,66.8,NA,23:16,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
108,Bottom,RSA_477,,20211010,40°29.65',69°36.38',40°29.64',69°36.49',35.3,64.6,0:18,0:19,0:20,0:21,0:22,,,Mercuric,,,,,,,,,,,,,,,,,
108,Surface,RSA_478,,20211010,40°29.65',69°36.38',40°29.64',69°36.49',35.3,64.6,NA,0:19,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
107,Bottom,RSA_479,Y,20211010,40°35.97',69°30.07',40°36.01',69°30.16',38,69.5,1:26,1:26,1:27,1:28,1:29,,,Mercuric,,,,,,,,,,,,,,,,,
107,Bottom,RSA_480,,20211010,40°35.97',69°30.07',40°36.01',69°30.16',38,69.5,1:26,1:26,1:27,1:28,1:29,,,Mercuric,,,,,,,,,,,,,,,,,
107,Surface,RSA_481,,20211010,40°35.97',69°30.07',40°36.01',69°30.16',38,69.5,NA,1:26,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
111,Bottom,RSA_482,,20211010,40°36.03',69°41.96',40°36.09',69°42.06',32.1,58.7,2:26,2:27,2:28,2:29,2:30,,,Mercuric,,,,,,,,,,,,,,,,,
111,Surface,RSA_483,,20211010,40°36.03',69°41.96',40°36.09',69°42.06',32.1,58.7,NA,2:27,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
112,Bottom,RSA_484,,20211010,40°30.21',69°47.85',40°30.32',69°47.98',37.4,68.4,3:27,3:28,3:29,3:30,3:31,,,Mercuric,,,,,,,,,,,,,,,,,
112,Surface,RSA_485,,20211010,40°30.21',69°47.85',40°30.32',69°47.98',37.4,68.4,NA,3:28,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
113,Bottom,RSA_486,,20211010,40°36.04',69°54.01',40°36.05',69°54.01',31.4,57.4,4:20,4:21,4:22,4:23,4:24,,,Mercuric,,,,,,,,,,,,,,,,,
113,Surface,RSA_487,,20211010,40°36.04',69°54.01',40°36.05',69°54.01',31.4,57.4,NA,4:22,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
114,Bottom,RSA_489,,20211010,40°42.02',69°47.99',40°42.06',69°42.00',26.7,48.8,5:17,5:17,5:18,5:19,5:20,,,Mercuric,,,,,,,,,,,,,,,,,
114,Bottom,RSA_488,Y,20211010,40°42.02',69°47.99',40°42.06',69°42.00',26.7,48.8,5:17,5:17,5:18,5:19,5:20,,,Mercuric,,,,,,,,,,,,,,,,,
114,Surface,RSA_490,,20211010,40°42.02',69°47.99',40°42.06',69°42.00',26.7,48.8,NA,5:17,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
