Station,Cast,Bottle_ID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Notes,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Salinity,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,Depth_meters_CTD,TA,TA_FLAG,DIC,DIC_FLAG
14,Bottom,RSA_262?,,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,21:42,21:43,21:45,21:48,21:49,,"labeled 261 on datasheet; suspect the second ""261"" is correct",Mercuric,,,,,,,,,,,,,,,,,
14,Surface,RSA_263?,,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,NA,21:46,NA,NA,NA,,labeled 262 on datasheet; suspect 262 is Bottom & 263 is Surface,Mercuric,,,,,,,,,,,,,,,,,
15,Bottom,RSA_261,,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,22:46,22:47,22:49,22:52,22:53,D7,,Mercuric,,,,,,,,,,,,,,,,,
15,Surface,RSA_264,,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,NA,22:49,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
16,Bottom,RSA_265,,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79.0,22:46,23:43,23:44,23:47,23:49,,CTD on from site 15,Mercuric,,,,,,,,,,,,,,,,,
16,Surface,RSA_266,,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79.0,NA,23:46,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
17,Bottom,RSA_267,,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,0:35,0:36,0:36,0:39,0:41,D8,top of niskin closed during cast,Mercuric,,,,,,,,,,,,,,,,,
17,Surface,RSA_268,,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,NA,0:35,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
18,Bottom,RSA_270,,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,1:39,1:40,1:41,1:44,1:45,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
18,Surface,RSA_271,,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,NA,1:41,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
19,Bottom,RSA_272,,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,2:36,2:36,2:37,2:40,2:41,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
19,Surface,RSA_273,,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,NA,2:38,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
20,Bottom,RSA_275,,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,3:57,3:57,3:59,4:02,4:05,D9,,Mercuric,,,,,,,,,,,,,,,,,
20,Surface,RSA_277,,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,NA,3:59,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
21,Bottom,RSA_278,,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,5:00,5:00,5:02,5:05,5:06,D10,,Mercuric,,,,,,,,,,,,,,,,,
21,Surface,RSA_279,,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,NA,5:02,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
22,Bottom,RSA_276,,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,6:31,6:32,6:33,6:36,6:37,,no CTD data,Mercuric,,,,,,,,,,,,,,,,,
22,Bottom,RSA_274,Y,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,6:31,6:32,6:33,6:36,6:37,,no CTD data,Mercuric,,,,,,,,,,,,,,,,,
22,Surface,RSA_269,,20211006,41°23.95',68°24.00',41°23.84',68°23.99',33.2,60.7,NA,6:32,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
23,Bottom,RSA_280,,20211006,41°29.93',68°30.04',41°29.89',68°30.09',50.8,92.9,7:40,7:49,7:51,7:53,7:54,,recast (messenger caught by tape); no CTD data,Mercuric,,,,,,,,,,,,,,,,,
23,Surface,RSA_281,,20211006,41°29.93',68°30.04',41°29.89',68°30.09',50.8,92.9,NA,7:42,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
24,Bottom,RSA_284,Y,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,8:54,8:55,8:56,8:59,9:00,D11,,Mercuric,,,,,,,,,,,,,,,,,
24,Bottom,RSA_285,,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,8:54,8:55,8:56,8:59,9:00,D11,,Mercuric,,,,,,,,,,,,,,,,,
24,Surface,RSA_286,,20211006,41°35.96',68°24.04',41°35.96',68°24.08',12.9,23.6,NA,8:56,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
25,Bottom,RSA_287,,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,10:55,10:55,10:57,11:00,11:01,D12??,"petcock, valve, foundation lost; no salinity sample recorded, unsure if one taken",Mercuric,,,,,,,,,,,,,,,,,
25,Surface,RSA_283,,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,NA,10:56,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
26,Bottom,RSA_282,,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,12:33,12:33,12:35,12:38,12:39,,,Mercuric,,,,,,,,,,,,,,,,,
26,Surface,RSA_288,Y?,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,filtered sample not labeled on datasheet,Mercuric,,,,,,,,,,,,,,,,,
26,Surface,RSA_289,,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,filtered sample not labeled on datasheet,Mercuric,,,,,,,,,,,,,,,,,
27,Bottom,RSA_290,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,13:28,13:29,13:30,13:34,13:36,,,Mercuric,,,,,,,,,,,,,,,,,
27,Surface,RSA_291,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,NA,13:29,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
28,Bottom,RSA_293,,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,,Mercuric,,,,,,,,,,,,,,,,,
28,Surface,RSA_294,,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,NA,15:45,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
28,Bottom,RSA_292,Y,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,,Mercuric,,,,,,,,,,,,,,,,,
29,Bottom,RSA_296?,,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,16:56,16:58,16:59,17:01,17:02,,,Mercuric,,,,,,,,,,,,,,,,,
29,Surface,RSA_297?,,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,NA,16:58,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
30,Bottom,RSA_295?,,20211006,42°05.94',67°12.04',42°05.56',67°11.82',28.7,52.5,17:55,17:56,17:57,18:00,18:02,,labeled 297 on datasheet; think this might be 295,Mercuric,,,,,,,,,,,,,,,,,
30,Surface,RSA_298,Y,20211006,42°05.94',67°12.04',42°05.56',67°11.82',28.7,52.5,NA,17:57,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
30,Surface,RSA_299,,20211006,42°05.94',67°12.04',42°05.56',67°11.82',28.7,52.5,NA,17:57,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
31,Bottom,RSA_300,,20211006,41°59.96',67°11.98',41°59.81',67°11.96',28.5,52.1,18:47,18:49,18:49,18:52,18:53,,,Mercuric,,,,,,,,,,,,,,,,,
31,Surface,RSA_301,,20211006,41°59.96',67°11.98',41°59.81',67°11.96',28.5,52.1,NA,18:49,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
32,Bottom,RSA_302,,20211006,41°54.05',67°23.89',41°53.15',67°23.70',27,49.4,19:58,19:58,20:00,20:03,20:05,,,Mercuric,,,,,,,,,,,,,,,,,
32,Surface,RSA_303,,20211006,41°54.05',67°23.89',41°53.15',67°23.70',27,49.4,NA,19:59,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
35,Bottom,RSA_304,,20211006,41°41.96',67°17.99',41°41.81',67°17.99',25.7,47.0,21:21,21:21,21:22,21:25,21:26,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
35,Surface,RSA_305,Y,20211006,41°41.96',67°17.99',41°41.81',67°17.99',25.7,47.0,NA,21:22,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
35,Surface,RSA_306,,20211006,41°41.96',67°17.99',41°41.81',67°17.99',25.7,47.0,NA,21:22,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
