DIC_avg,SD,n,BottleID,,,,
1978.7,0.7,3,RSA_385,,,,
2109.1,0.7,2,RSA_386,,,,
1981.7,0.7,2,RSA_387,,,,
2070.8,1.3,2,RSA_388,,,,
2002.2,0.1,2,RSA_389,,,,
2056.9,0.6,2,RSA_390,,,,
2053.2,0.9,2,RSA_391,,,,
1990.7,0.1,2,RSA_392,,,,
2093.2,0.8,2,RSA_393,,,,
1978.2,1.1,2,RSA_394,,,,
2138.8,1,2,RSA_395,,,,
1978.4,0.2,2,RSA_396,,,,
2145.6,0.2,2,RSA_397,,,,
2148.3,0.1,2,RSA_398,,,,
1977.1,1,3,RSA_399,,,,
2138.5,0.6,2,RSA_400,,,,
2141.4,0.8,2,RSA_401,,,,
1987.5,0.7,2,RSA_402,,,,
2098,0.4,2,RSA_403,,,,
2099.9,0.4,2,RSA_404,,,,
1984.3,0.6,2,RSA_405,,,,
1988.6,0.4,2,RSA_406,,,,
2076.1,0.3,2,RSA_407,,,,
2049.4,0.5,2,RSA_408,,,,
1991.6,0.1,2,RSA_409,,,,
2036.9,0,2,RSA_410,,,,
2008.8,0.9,2,RSA_411,,,,
2070.1,0.7,3,RSA_412,,,,
1979.1,0.8,2,RSA_413,,,,
1978.7,0.1,3,RSA_414,,,,
2076.9,0.7,2,RSA_415,,,,
1989,0.3,2,RSA_416,,,,
2107.4,0.5,3,RSA_417,,,,
2003.9,0.4,2,RSA_418,,,,
2068.6,0.3,3,RSA_419,,,,
2068.1,0.2,2,RSA_420,,,,
1974.9,0.9,3,RSA_421,,,,
2045,0.8,2,RSA_422,,,,
2009.6,0.3,2,RSA_423,,,,
2084.9,0.9,2,RSA_424,,,,
1976,0.8,3,RSA_425,,,,
2110.5,0,2,RSA_426,,,,
1985.4,0.7,3,RSA_427,,,,
2124.5,0,2,RSA_428,,,,
1989.7,0.2,2,RSA_429,,,,
2122.9,1,3,RSA_430,,,,
1989.8,1,2,RSA_431,,,,
2107,0.3,3,RSA_432,,,,
1992.7,0.8,3,RSA_433,,,,
2088.1,0.1,2,RSA_434,,,,
1988.4,1,2,RSA_435,,,,
2056.5,0.9,2,RSA_436,,,,
1989.5,0.1,2,RSA_437,,,,
2017.9,1.3,2,RSA_438,,,,
2023.4,0.9,2,RSA_439,,,,
2015.5,1,3,RSA_440,,,,
2026.9,1.4,2,RSA_441,,,,
2022.7,0.9,3,RSA_442,,,,
2032,0.9,2,RSA_443,,,,
2015.2,0.6,3,RSA_444,,,,
2032.5,0.7,2,RSA_445,,,,
1985.8,0.2,2,RSA_446,,,,
2057.4,0.7,3,RSA_447,,,,
1987.2,0.7,2,RSA_448,,,,
2068.1,1.1,2,RSA_449,,,,
1980.6,0.6,2,RSA_450,,,,
2127.3,0.4,2,RSA_451,,,,
1985.9,0.9,2,RSA_452,,,,
2099.9,0.8,3,RSA_453,,,,
1990.5,0.6,3,RSA_454,,,,
2119.3,0.2,2,RSA_455,,,,
2007,0,2,RSA_456,,,,
2069.1,0.7,2,RSA_457,,,,
1979.6,0.3,3,RSA_458,,,,
1994.4,0.7,2,RSA_459,,,,
2030.7,0.1,2,RSA_460,,,,
2059.5,1.1,2,RSA_461,,,,
2028.9,1.2,2,RSA_462,,,,
2035.2,0.1,2,RSA_463,,,,
2052.5,0.2,2,RSA_464,,,,
1981,0.5,2,RSA_465,,,,
2061.7,0,2,RSA_466,,,,
1986.4,1,2,RSA_467,,,,
2058.2,0.9,2,RSA_468,,,,
1997.4,0.6,2,RSA_469,,,,
2071.8,0.9,2,RSA_470,,,,
2000.4,1,3,RSA_471,,,,
2084.5,0.2,2,RSA_472,,,,
2003.3,0.8,2,RSA_473,,,,
2095.6,0,2,RSA_474,,,,
1994.4,0.6,2,RSA_475,,,,
2003.9,1.2,2,RSA_476,,,,
2068.6,0.2,2,RSA_477,,,,
1995.8,1.1,2,RSA_478,,,,
2037.9,1,2,RSA_479,,,,
2038.4,0,2,RSA_480,,,,
2011.7,0.9,2,RSA_481,,,,
2050.1,1.2,2,RSA_482,,,,
2015.4,1.2,2,RSA_483,,,,
2102.3,1.1,2,RSA_484,,,,
1986,0.3,2,RSA_485,,,,
2060.9,1,2,RSA_486,,,,
2013.8,0.3,2,RSA_487,,,,
2031,0.7,2,RSA_488,,,,
2030.1,0.3,3,RSA_489,,,,
2016.4,0.9,3,RSA_490,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
