V1,V2,V3,V4,V5
NA,NA,2.457356441,67°29.94',40°53.97'
NA,NA,83.02532087,67°23.85',40°47.78'
NA,NA,2.480341609,67°23.85',40°47.78'
NA,NA,72.11844492,67°12.08',40°47.99'
NA,NA,2.535064443,67°12.08',40°47.99'
NA,NA,91.17306939,67°18.06',40°41.99'
NA,NA,2.508292194,67°18.06',40°41.99'
NA,NA,88.02763424,67°30.09',40°41.99'
NA,NA,2.452630605,67°30.09',40°41.99'
NA,NA,71.76930637,67°36.06',40°48.13'
NA,NA,3.527785207,67°36.06',40°48.13'
NA,NA,58.87012663,67°42.02',40°48.02'
NA,NA,2.467438259,67°42.02',40°48.02'
NA,NA,69.98526743,67°42.00',40°42.05'
NA,NA,2.510840765,67°42.00',40°42.05'
NA,NA,78.98465852,67°48.00',40°36.05'
NA,NA,2.495047954,67°48.00',40°36.05'
NA,NA,79.88499918,67°53.94',40°36.05'
NA,NA,2.561678995,67°53.94',40°36.05'
NA,NA,85.09131755,68°00.48',40°36.13'
NA,NA,2.509155816,68°00.48',40°36.13'
NA,NA,78.77642152,67°53.84',40°42.14'
NA,NA,2.543497849,67°53.84',40°42.14'
NA,NA,2.476152236,67°48.07',40°47.88'
NA,NA,64.94181446,67°48.07',40°47.88'
NA,NA,53.59114815,67°53.87',40°53.90'
NA,NA,2.527210981,67°53.87',40°53.90'
NA,NA,54.77225885,68°05.75',40°53.95'
NA,NA,2.504946025,68°05.75',40°53.95'
NA,NA,61.01277652,68°00.01',40°47.89'
NA,NA,2.530080971,68°00.01',40°47.89'
NA,NA,73.8902452,68°06.02',40°41.99'
NA,NA,2.460526406,68°06.02',40°41.99'
NA,NA,82.78305671,68°12.04',40°35.98'
NA,NA,2.50789444,68°12.04',40°35.98'
NA,NA,72.83318124,68°12.02',40°41.94'
NA,NA,2.4481392,68°12.02',40°41.94'
NA,NA,45.4697978,68°18.04',40°41.97'
NA,NA,2.442714887,68°18.04',40°41.97'
NA,NA,66.0227426,68°24.10',40°36.00'
NA,NA,2.551547736,68°24.10',40°36.00'
NA,NA,79.04991248,68°30.03',40°29.99'
NA,NA,2.574104261,68°30.03',40°29.99'
NA,NA,77.89621933,68°36.02',40°24.02'
NA,NA,2.51157431,68°36.02',40°24.02'
NA,NA,76.84309348,68°47.99',40°24.02'
NA,NA,2.531170777,68°47.99',40°24.02'
NA,NA,70.71819513,68°42.02',40°30.03'
NA,NA,2.508583569,68°42.02',40°30.03'
NA,NA,55.61552348,68°36.08',40°36.04'
NA,NA,2.520459572,68°36.08',40°36.04'
NA,NA,60.81459878,68°42.02',40°42.04'
NA,NA,2.544814816,68°42.02',40°42.04'
NA,NA,58.87314559,68°42.00',40°47.79'
NA,NA,2.422528626,68°42.00',40°47.79'
NA,NA,65.66005715,68°48.12',40°47.99'
NA,NA,2.49275506,68°48.12',40°47.99'
NA,NA,61.91946383,68°53.66',40°47.98'
NA,NA,2.733215436,68°53.66',40°47.98'
NA,NA,63.71001452,68°54.00',40°42.17'
NA,NA,2.59666293,68°54.00',40°42.17'
NA,NA,56.23393453,68°48.21',40°36.08'
NA,NA,2.440353321,68°48.21',40°36.08'
NA,NA,60.2094833,68°53.95',40°30.06'
NA,NA,2.545874642,68°53.95',40°30.06'
NA,NA,71.05838579,68°59.95',40°24.09'
NA,NA,2.621076719,68°59.95',40°24.09'
NA,NA,79.2,69°11.89',40°24.01'
NA,NA,0,69°11.89',40°24.01'
NA,NA,74.17705864,69°06.12',40°29.96'
NA,NA,2.544010651,69°06.12',40°29.96'
NA,NA,70.06052812,69°06.14',40°36.01'
NA,NA,2.608236935,69°06.14',40°36.01'
NA,NA,2.489573327,69°06.01',40°48.03'
NA,NA,59.75698594,69°06.01',40°48.03'
NA,NA,46.59392382,69°18.00',40°48.02'
NA,NA,2.47011375,69°18.00',40°48.02'
NA,NA,61.64977407,69°12.05',40°42.05'
NA,NA,2.342712742,69°12.05',40°42.05'
NA,NA,53.70956496,69°17.97',40°36.01'
NA,NA,2.435967013,69°17.97',40°36.01'
NA,NA,55.82128001,69°24.02',40°29.99'
NA,NA,2.560832986,69°24.02',40°29.99'
NA,NA,62.69671985,69°24.04',40°27.04'
NA,NA,2.480128962,69°24.04',40°27.04'
NA,NA,56.02657134,69°36.32',40°23.98'
NA,NA,2.551523123,69°36.32',40°23.98'
NA,NA,64.92765235,69°41.54',40°23.98'
NA,NA,2.571271604,69°41.54',40°23.98'
NA,NA,64.9218218,69°36.38',40°29.65'
NA,NA,2.505758824,69°36.38',40°29.65'
NA,NA,50.48605183,69°30.07',40°35.97'
NA,NA,2.483746041,69°30.07',40°35.97'
NA,NA,56.66120587,69°41.96',40°36.03'
NA,NA,2.500574902,69°41.96',40°36.03'
NA,NA,60.68948066,69°47.85',40°30.21'
NA,NA,2.567347457,69°47.85',40°30.21'
NA,NA,52.49248281,69°54.01',40°36.04'
NA,NA,2.504285981,69°54.01',40°36.04'
NA,NA,45.08648185,69°47.99',40°42.02'
NA,NA,2.501783217,69°47.99',40°42.02'
