ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer
25199,JunkSW,,Neglect,5/20/21 6:14,1,500.9855113,8019.898998,0,6872.597656,2290.088867,0.62785399,1.398000002,2.230000019,171.5,8331,normally,
25200,JunkSW,,Out of d,5/20/21 6:18,1,1844.795372,11097.343,0,6872.597656,2290.088867,0.62785399,1.467999935,2.045000076,178,11410,normally,
25201,JunkSW,,Out of d,5/20/21 6:23,1,1893.479944,11208.835,0,6872.597656,2290.088867,0.62785399,1.476000071,2.092499971,180,11530,normally,
25202,JunkSW,,Out of d,5/20/21 6:27,1,1903.808146,11232.4875,0,6872.597656,2290.088867,0.62785399,1.467999935,2.275000095,175,11560,normally,
25203,JunkSW,,Out of d,5/20/21 6:31,1,1914.249774,11256.39975,0,6872.597656,2290.088867,0.62785399,1.494000077,2.162499905,177,11580,normally,
25204,JunkSW,,Out of d,5/20/21 6:35,1,1916.240194,11260.95799,0,6872.597656,2290.088867,0.62785399,1.431999922,2.060000181,177,11570,normally,
25205,JunkSW,,Out of d,5/20/21 6:40,1,1899.166351,11221.85737,0,6872.597656,2290.088867,0.62785399,1.376000047,2.217499971,171.5,11530,normally,
25206,JunkSW,,Out of d,5/20/21 6:44,1,1906.588342,11238.85439,0,6872.597656,2290.088867,0.62785399,1.379999876,2.152499914,170.5,11540,normally,
25207,JunkSW,,Out of d,5/20/21 6:48,1,1909.469013,11245.45139,0,6872.597656,2290.088867,0.62785399,1.417999983,2.057499886,169.5,11540,normally,
25208,JunkSW,,Out of d,5/20/21 6:52,1,1916.037588,11260.494,0,6872.597656,2290.088867,0.62785399,1.353999972,2.092499971,168,11550,normally,
25209,ESL06b_01,,Neglect,5/20/21 6:59,0.6,-9.159501559,6860.012013,0,6872.597656,2290.088867,0.62785399,1.385999918,1.959999919,156,7121,normally,
25210,ESL06b_01,,Unknow,5/20/21 7:03,0.6,32.13273913,6916.749753,0,6872.597656,2290.088867,0.62785399,1.457999945,1.985000014,153.5,7181,normally,
25211,ESL06b_01,,Unknow,5/20/21 7:06,0.6,35.77560967,6921.755251,0,6872.597656,2290.088867,0.62785399,1.356000066,1.964999914,149.5,7170,normally,
25212,ESL06b_01,,Unknow,5/20/21 7:10,0.6,19.43327578,6899.300013,0,6872.597656,2290.088867,0.62785399,1.309999943,2.129999876,147.5,7153,normally,
25213,ESL06b_01,,Neglect,5/20/21 7:15,0.8,1315.812662,9283.259999,0,6872.597656,2290.088867,0.62785399,1.50999999,2.355000019,152,9577,normally,
25214,ESL06b_01,,Valid,5/20/21 7:19,0.8,1261.851464,9184.399248,0,6872.597656,2290.088867,0.62785399,1.404000044,1.957499981,161,9455,normally,
25215,ESL06b_01,,Out of d,5/20/21 7:23,0.8,1266.739644,9193.354742,0,6872.597656,2290.088867,0.62785399,1.39199996,2.037500143,159,9466,normally,
25216,ESL06b_01,,Valid,5/20/21 7:27,0.8,1256.601265,9174.78051,0,6872.597656,2290.088867,0.62785399,1.373999953,1.959999919,158.5,9439,normally,
25217,ESL06b_01,,Valid,5/20/21 7:31,0.8,1258.729725,9178.68,0,6872.597656,2290.088867,0.62785399,1.354000092,1.974999905,160,9445,normally,
25218,ESL06b_01,,Neglect,5/20/21 7:35,1,1988.698191,11426.89324,0,6872.597656,2290.088867,0.62785399,1.378000021,2.012500048,167,11710,normally,
25219,ESL06b_01,,Valid,5/20/21 7:39,1,1987.651508,11424.49625,0,6872.597656,2290.088867,0.62785399,1.324000001,2.085000038,167.5,11710,normally,
25220,ESL06b_01,,Valid,5/20/21 7:43,1,1986.256203,11421.30087,0,6872.597656,2290.088867,0.62785399,1.404000044,1.982499957,170.5,11710,normally,
25221,ESL06b_01,,Valid,5/20/21 7:47,1,1988.877168,11427.30312,0,6872.597656,2290.088867,0.62785399,1.407999992,2.317500114,162.5,11730,normally,
25222,ESL06b_01,,Neglect,5/20/21 7:52,1.2,2471.467355,13664.45351,0,6872.597656,2290.088867,0.62785399,1.453999877,2.325000048,167,13980,normally,
25223,ESL06b_01,,Valid,5/20/21 7:56,1.2,2478.336718,13683.33125,0,6872.597656,2290.088867,0.62785399,1.379999995,2.095000029,176.5,13990,normally,
25224,ESL06b_01,,Valid,5/20/21 8:00,1.2,2475.830536,13676.44399,0,6872.597656,2290.088867,0.62785399,1.381999969,2.067500114,176,13980,normally,
25225,ESL06b_01,,Valid,5/20/21 8:05,1.2,2472.913398,13668.42739,0,6872.597656,2290.088867,0.62785399,1.395999908,2.237499952,171.5,13980,normally,
25226,ESL06b_01,,Neglect,5/20/21 8:09,1.4,2827.122191,15936.70314,0,6872.597656,2290.088867,0.62785399,1.360000014,2.202499866,181.5,16260,normally,
25227,ESL06b_01,,Valid,5/20/21 8:14,1.4,2829.770986,15945.1955,0,6872.597656,2290.088867,0.62785399,1.424000025,2.164999962,181,16270,normally,
25228,ESL06b_01,,Valid,5/20/21 8:18,1.4,2826.694683,15935.33249,0,6872.597656,2290.088867,0.62785399,1.35800004,2.200000048,182.5,16260,normally,
25229,ESL06b_01,,Valid,5/20/21 8:23,1.4,2831.609657,15951.09051,0,6872.597656,2290.088867,0.62785399,1.381999969,2.122499943,182,16270,normally,
25230,RSA_011a,,Neglect,5/20/21 8:29,1,2223.566587,11964.76274,0,6872.597656,2290.088867,0.62785399,1.427999973,2.015000105,171.5,12260,normally,
25231,RSA_011a,,Out of d,5/20/21 8:33,1,2304.991493,12151.23301,0,6872.597656,2290.088867,0.62785399,1.43599987,2.207499981,164,12450,normally,
25232,RSA_011a,,Out of d,5/20/21 8:38,1,2322.02609,12190.24375,0,6872.597656,2290.088867,0.62785399,1.333999991,1.977499962,175,12480,normally,
25233,RSA_011a,,Out of d,5/20/21 8:42,1,2315.545448,12175.40251,0,6872.597656,2290.088867,0.62785399,1.385999918,2.19749999,170,12480,normally,
25234,RSA_011a,,Out of d,5/20/21 8:46,1,2278.688468,12090.99675,0,6872.597656,2290.088867,0.62785399,1.434000015,2.11500001,168.5,12390,normally,
