Station,Cast,CTD_depth,Temp,Salinity_Corr
59,Surface,96.21917897,8.53503495,32.52099483
60,Bottom,84.40562233,7.544818115,33.32384569
60,Surface,84.40562233,7.855057373,32.5089385
61,Bottom,61.52390517,7.464276123,32.72807183
61,Surface,61.52390517,7.626770698,32.54809324
62,Bottom,70.49398991,6.939520264,32.57618146
62,Surface,70.49398991,7.887987518,32.40225422
63,Bottom,88.88795808,8.835894775,33.87664197
63,Surface,88.88795808,8.153674316,32.55866019
64,Bottom,89.22971525,9.674731445,34.2395
64,Surface,89.22971525,7.998186035,32.45734949
65,Bottom,71.97656202,7.243678029,33.11678029
65,Surface,71.97656202,7.738996233,32.33322027
66,Bottom,66.75988523,6.999053955,32.62320077
66,Surface,66.75988523,7.551270549,32.48202836
67,Bottom,57.00330935,7.580358887,32.75767321
67,Surface,57.00330935,7.767816162,32.5853
68,Bottom,65.01709009,7.229382324,32.69920885
68,Surface,65.01709009,7.492635498,32.50546095
69,Bottom,78.1390439,7.536846924,33.25853596
69,Surface,78.1390439,7.959368025,32.42482909
70,Bottom,70.36531907,6.800915527,32.8420567
70,Surface,70.36531907,7.689307405,32.52936412
71,Bottom,76.95893532,6.905743408,32.91692769
71,Surface,76.95893532,7.951394043,32.30230654
72,Bottom,86.38721553,7.586621094,33.28234028
72,Surface,86.38721553,8.193803188,32.29758459
73,Bottom,68.22757389,6.857308683,32.71451581
73,Surface,68.22757389,7.466583506,32.49725627
74,Bottom,60.87333499,7.617435564,32.82889688
74,Surface,60.87333499,7.866987828,32.73110506
75,Bottom,69.9643276,7.408654785,32.83728651
75,Surface,69.9643276,7.678759003,32.70773413
76,Bottom,88.48024051,8.047180176,33.5182
76,Surface,88.48024051,8.107416725,32.3286677
77,Bottom,91.98150498,8.107592773,33.49717802
77,Surface,91.98150498,8.084526367,32.2979
78,Bottom,80.6930278,7.595501709,33.28352742
78,Surface,80.6930278,7.756319635,32.47894985
79,Bottom,61.0904416,8.131048584,32.9350409
79,Surface,61.0904416,8.097027588,32.9169655
80,Bottom,78.92547912,7.303088379,32.912
80,Surface,78.92547912,7.832913547,32.46768794
81,Bottom,NA,NA,33.5081
81,Surface,NA,NA,32.7014
82,Bottom,74.02808301,7.467559814,32.9299
82,Surface,74.02808301,8.121411133,32.79383935
83,Bottom,66.56811987,7.620904541,32.90884508
83,Surface,66.56811987,8.179837545,32.9032
84,Bottom,79.75688997,7.541577148,33.0463
84,Surface,79.75688997,8.135543213,32.77106292
85,Bottom,66.63734727,7.687371826,32.89689589
85,Surface,66.63734727,8.196938324,32.80840206
86,Bottom,90.13301164,9.023852539,33.88626673
86,Surface,90.13301164,8.190579834,32.71164388
87,Bottom,90.64472503,9.509503174,34.0456
87,Surface,90.64472503,8.236725871,32.63517357
88,Bottom,73.79727526,7.621325684,33.0089
88,Surface,73.79727526,8.086532593,32.86575239
89,Bottom,62.6885186,7.81204834,32.81230097
89,Surface,62.6885186,8.051106771,32.88180097
90,Bottom,61.42154803,7.827345784,32.8192949
90,Surface,61.42154803,7.868884277,32.81130684
91,Bottom,67.0768889,7.70199585,32.81772681
91,Surface,67.0768889,7.828149414,32.78527407
92,Bottom,66.76833534,7.537347412,32.80678405
92,Surface,66.76833534,7.951639404,32.76367541
93,Bottom,85.80774564,7.92980957,33.24067843
93,Surface,85.80774564,8.133310954,32.89611356
94,Bottom,83.98949938,7.631872557,33.04403441
94,Surface,83.98949938,8.187442627,32.83065896
95,Bottom,73.10297436,7.593408203,32.90009962
95,Surface,73.10297436,8.086461182,32.84513035
96,Bottom,67.7989888,7.593634035,32.87858819
96,Surface,67.7989888,8.077177734,32.77925094
97,Bottom,65.20824414,7.62947998,32.8549
97,Surface,65.20824414,7.732478114,32.74811551
98,Bottom,66.20453756,7.439770508,32.88618743
98,Surface,66.20453756,7.406858318,32.87774697
99,Bottom,58.75128694,7.288690186,32.8145
99,Surface,58.75128694,7.305664934,32.79598101
100,Bottom,58.41139286,7.305932617,32.9174
100,Surface,58.41139286,7.302043062,32.91948416
101,Bottom,56.53160833,7.515983391,32.8774616
101,Surface,56.53160833,7.514111939,32.85437443
102,Bottom,73.91780428,7.602966304,32.92490923
102,Surface,73.91780428,7.429628209,32.85987242
103,Bottom,77.07444713,7.689931234,32.9416
103,Surface,77.07444713,7.945914633,32.85531358
104,Bottom,81.48486935,7.714544678,33.14530314
104,Surface,81.48486935,8.276765137,32.85284957
105,Bottom,58.52969162,7.422235107,32.7982
105,Surface,58.52969162,7.598145403,32.72174817
106,Bottom,71.12576112,7.563647461,32.9513
106,Surface,71.12576112,8.027908936,32.83466983
107,Bottom,54.86119541,7.635540771,32.6939006
107,Surface,54.86119541,7.947431641,32.70429148
108,Bottom,66.38779262,7.56315714,32.87101048
108,Surface,66.38779262,7.961608887,32.74194131
109,Bottom,67.4741792,7.783728027,32.9457
109,Surface,67.4741792,8.622790222,32.92036772
110,Bottom,69.66043837,7.687597656,32.90720744
110,Surface,69.66043837,8.615737479,32.88762235
111,Bottom,NA,NA,33.0237
111,Surface,NA,NA,32.775
112,Bottom,70.40499681,7.912475586,32.94823991
112,Surface,70.40499681,8.874117432,32.86363551
113,Bottom,60.07424179,8.28354187,32.81506934
113,Surface,60.07424179,8.862426758,32.79171777
114,Bottom,NA,NA,32.7195
114,Surface,NA,NA,32.6981
