Station,Cast,CTD_depth,Temp,Salinity_Corr
58,Bottom,71.99278948,11.04208159,33.27376456
58,Surface,71.99278948,17.66334709,32.69124306
59,Bottom,91.47859902,15.33791104,35.20571882
59,Surface,91.47859902,17.12382927,32.47153765
60,Bottom,76.89863592,12.67249247,33.5667711
60,Surface,76.89863592,17.44018959,32.55939336
61,Bottom,57.31368245,14.84795192,32.63312058
61,Surface,57.31368245,17.76704926,32.47382673
62,Bottom,65.20438175,13.13260408,32.73513579
62,Surface,65.20438175,17.57703039,32.48873928
63,Bottom,82.96016831,12.24579002,32.90293562
63,Surface,82.96016831,17.32107618,32.48834996
64,Bottom,87.47210204,13.59712192,34.11270698
64,Surface,87.47210204,17.36109574,32.48852294
65,Bottom,71.77032242,12.36468926,32.83104204
65,Surface,71.77032242,16.88922052,32.49580663
66,Bottom,65.5147222,13.29435059,32.73136852
66,Surface,65.5147222,17.20815377,32.53506006
67,Bottom,53.56448916,14.90192007,32.63680895
67,Surface,53.56448916,17.1403721,32.5585635
68,Bottom,64.33934601,13.12341028,32.73935021
68,Surface,64.33934601,17.24999478,32.52332319
69,Bottom,71.31871226,12.50233576,32.82075685
69,Surface,71.31871226,16.57307869,32.56831493
70,Bottom,58.70328584,12.90737509,32.77913952
70,Surface,58.70328584,16.98163486,32.55875824
71,Bottom,69.86636656,12.47421147,33.22807502
71,Surface,69.86636656,17.2630918,32.47950354
72,Bottom,78.87088816,16.16240672,35.39281217
72,Surface,78.87088816,17.53309414,32.52043136
73,Bottom,64.99222021,12.65477722,32.89135638
73,Surface,64.99222021,17.48297633,32.54283561
74,Bottom,53.25393006,13.87159877,32.7078439
74,Surface,53.25393006,17.07523842,32.57473402
75,Bottom,60.5898235,13.20178431,32.77300515
75,Surface,60.5898235,17.55884155,32.55471955
76,Bottom,79.38737685,15.68407769,35.47135807
76,Surface,79.38737685,17.3753717,32.51354919
77,Bottom,84.67502753,15.25679185,35.18552847
77,Surface,84.67502753,17.82813442,32.74335998
78,Bottom,78.3402916,12.83526391,33.44487475
78,Surface,78.3402916,17.69217707,32.74334341
79,Bottom,54.43810503,15.31024977,32.63558837
79,Surface,54.43810503,16.81009575,32.59460576
80,Bottom,73.85477341,12.77872559,32.87102551
80,Surface,73.85477341,18.22170725,32.88768485
81,Bottom,82.13353419,12.2829219,33.56958588
81,Surface,82.13353419,20.30520453,33.67955309
82,Bottom,72.47624094,13.44456646,32.769312
82,Surface,72.47624094,17.5852988,32.54811056
83,Bottom,45.13059687,14.70554199,32.71152691
83,Surface,45.13059687,16.85934627,32.5725132
84,Bottom,65.66502762,12.39875324,32.92341467
84,Surface,65.66502762,17.59101291,32.5281052
85,Bottom,55.23834691,12.34618114,33.10115621
85,Surface,55.23834691,17.38296124,32.56771229
86,Bottom,78.58824833,12.5449077,33.95082946
86,Surface,78.58824833,18.29564884,32.7762329
87,Bottom,77.41731884,12.85698678,34.13173659
87,Surface,77.41731884,17.92521751,32.77011759
88,Bottom,70.1811343,12.15255933,33.51226117
88,Surface,70.1811343,17.43399959,32.69500872
89,Bottom,60.45846485,14.44117518,32.75177161
89,Surface,60.45846485,17.10158163,32.53046863
90,Bottom,58.99553435,16.2785123,32.60863997
90,Surface,58.99553435,16.48273221,32.58960193
91,Bottom,65.18468418,15.69346215,32.65645568
91,Surface,65.18468418,16.22054728,32.58398026
92,Bottom,56.07606512,14.61481951,32.74587159
92,Surface,56.07606512,17.20623149,32.52705901
93,Bottom,76.43883726,13.35309278,34.27180196
93,Surface,76.43883726,18.64426463,33.05761557
94,Bottom,70.78314767,13.23891163,34.07081585
94,Surface,70.78314767,17.99671311,32.7683904
95,Bottom,59.94804471,13.09365836,33.18916793
95,Surface,59.94804471,17.45049197,32.51900806
96,Bottom,63.25940016,14.55990882,32.79300855
96,Surface,63.25940016,17.42740504,32.54865681
97,Bottom,61.89688831,15.96662019,32.63517798
97,Surface,61.89688831,16.47115526,32.5728753
98,Bottom,59.92870079,14.92724184,32.75779269
98,Surface,59.92870079,17.15473438,32.59355227
99,Bottom,61.21019811,15.39209997,32.97762062
99,Surface,61.21019811,17.58619976,32.61457737
100,Bottom,46.32335775,16.08329146,32.81124202
100,Surface,46.32335775,16.52273209,32.83502058
101,Bottom,53.550834,15.1362925,33.07730287
101,Surface,53.550834,17.73403062,32.65125048
102,Bottom,69.58315629,14.14463583,32.80977945
102,Surface,69.58315629,17.84530771,32.7185466
103,Bottom,73.75558982,13.02304734,33.43090497
103,Surface,73.75558982,18.54830762,33.05236003
104,Bottom,NA,NA,NA
104,Surface,NA,NA,NA
105,Bottom,55.5416847,15.79552873,33.30150522
105,Surface,55.5416847,19.80164346,33.44715643
106,Bottom,62.34769015,15.02232945,33.27755824
106,Surface,62.34769015,19.90327694,33.50961658
107,Bottom,50.11464197,16.19790242,32.78639043
107,Surface,50.11464197,17.82278027,33.06984569
108,Bottom,64.90846246,15.20019871,33.34547487
108,Surface,64.90846246,18.98071978,33.1312802
109,Bottom,56.01322544,12.98598534,33.11919584
109,Surface,56.01322544,19.31311536,33.22735031
110,Bottom,64.730486,12.74844332,33.19643091
110,Surface,64.730486,18.68485713,33.01093611
111,Bottom,56.37717034,16.71482881,33.18037962
111,Surface,56.37717034,19.65174754,33.55547282
112,Bottom,60.26479212,13.82601408,33.28009798
112,Surface,60.26479212,19.01151205,33.04400392
113,Bottom,52.08276505,16.00813889,33.40995127
113,Surface,52.08276505,20.12419697,33.71577634
114,Bottom,44.99443776,17.11797827,33.18073385
114,Surface,44.99443776,18.62032334,33.53258341
