"EM","MeanTemp","SDTemp","MeanSalinity","SDSalinity","n"
"EM1","7.2206277215","0.0713079958246434","33.02325","0.0463989631212541","4"
"EM2","8.12858209333333","0.0596310290944103","32.3080666666667","0.0208696204026072","3"
"EM3","8.868272095","0.0102665548620416","32.8277","0.0539116882454334","2"
