Station,CTDDepth,BottomDepth,BottomTemp,BottomPress,BottomSeaPress,BottomSalinity,SurfaceDepth,SurfaceTemp,SurfacePress,SurfaceSeaPress,SurfaceSalinity
1,46.0193557739258,45.5,6.98634643554688,55.9028460184733,45.7703463236491,32.4687937467539,2.5,7.53583811796592,12.7852908372879,2.65279114246368,32.4285890447616
2,37.3164176940918,37.5,6.95853271484375,47.6340341567993,37.5015344619751,32.5577807367942,2.5,6.96279166085379,12.6612569945199,2.5287572996957,32.5256183766716
3,76.2700347900391,76.5,6.79247436523437,86.764045715332,76.6315460205078,33.0200292978605,2.5,7.23677177338647,12.7084797620773,2.57598006725311,32.8970156827312
5,67.3219146728516,66.5,7.16627197265625,77.1392981789329,67.0067984841087,33.0100948613107,2.5,7.39813517252604,12.632291730245,2.49979203542074,32.9737163200535
4,106.529151916504,106.5,6.71748657226563,117.328243255615,107.195743560791,33.0493240358988,2.5,7.16204020182292,12.5369875851799,2.40448789035573,33.0994484235286
7,53.4733505249023,53.5,7.00753304623008,63.8211031374724,53.6886034426482,32.9604559115195,2.5,7.00104827880859,12.6414959430695,2.50899624824524,32.9501436198922
8,58.2840995788574,58.5,7.03772989908854,68.8168781825474,58.6843784877232,32.8695902660927,2.5,7.02982788085937,12.6234114510672,2.49091175624302,32.8619841169795
9,97.7927398681641,97.5,6.92109375,108.189531598772,98.0570319039481,33.0384188778752,2.5,7.0447780057158,12.6510019302368,2.5185022354126,32.9282038421196
10,75.1477127075195,75.5,7.04284057617187,85.8391708374023,75.7066711425781,32.9106020075062,2.5,7.02938079833984,12.6156444549561,2.48314476013184,32.9104387929832
11,72.4168853759766,72.5,7.36880493164062,82.7756233215332,72.643123626709,32.9837134507442,2.5,7.36874593098958,12.6429755952623,2.5104759004381,32.9788577050021
13,63.0784759521484,63.5,7.52862548828125,73.7069129943848,63.5744132995605,32.8738710972736,2.5,7.54690726143973,12.8437258720398,2.71122617721558,32.8748619011554
14,65.4869995117188,65.5,7.37963693011824,75.8569731939407,65.7244734991164,32.9221452436487,2.5,7.42815773703835,12.6090957468206,2.4765960519964,32.9146415646156
15,58.5189933776855,58.5,7.32071228407969,68.9912948608398,58.8587951660156,32.9561632405725,2.5,7.42574288504464,12.7337489809309,2.60124928610665,32.955216811024
17,65.8579788208008,65.5,7.21304321289062,76.0648923601423,65.9323926653181,32.9860018172939,2.5,7.35696838636749,12.6134395599365,2.4809398651123,32.9820594018159
18,59.9671020507812,59.5,7.42696533203125,70.3039894104004,60.1714897155762,32.9832177545769,2.5,7.46755218505859,12.6567214727402,2.52422177791595,32.979001504899
19,59.099910736084,59.5,7.4291259765625,69.6770884195964,59.5445887247721,33.0352710968783,2.5,7.466015625,12.646512045351,2.51401235052674,33.0262162680134
20,93.9672927856445,93.5,7.00376586914062,104.22084197998,94.0883422851562,33.0240862254694,2.5,7.16027831969859,12.62153784434,2.48903814951579,33.0090100660337
21,77.0030670166016,76.5,7.10857543945313,87.2783500671387,77.1458503723145,33.003542746868,2.5,7.26862335419947,12.6006520589193,2.46815236409505,33.0095186574339
23,95.62060546875,95.5,7.22284952799479,106.113683700562,95.9811840057373,33.0588242545161,2.5,7.29156901041667,12.6277799606323,2.49528026580811,33.0548773947395
24,27.3170166015625,26.5,7.7100830078125,36.927985055106,26.7954853602818,32.9402919286243,2.5,7.71810302734375,12.5241430460825,2.39164335125827,32.9423040531983
25,74.0811157226562,73.5,7.183447265625,84.2821502685547,74.1496505737305,33.120701428369,2.5,7.87506307015259,12.6001219219632,2.46762222713894,32.6690922472954
26,43.5785293579102,43.5,7.60558471679687,53.7016548156738,43.5691551208496,33.0386608979608,2.5,7.61656188964844,12.6071054935455,2.47460579872131,33.0010103786153
27,55.5244407653809,55.5,7.2250244140625,65.8897647857666,55.7572650909424,33.1034538142005,2.5,7.60107828841526,12.7091205914815,2.57662089665731,32.8700115459992
28,43.3638572692871,43.5,7.36372767857143,53.6515937473463,43.5190940525221,32.8962688079532,2.5,7.36374562636632,12.7377963066101,2.60529661178589,32.895984293844
29,77.3904418945312,77.5,7.10543701171875,88.0505790710449,77.9180793762207,32.9756723188818,2.5,6.97355608258929,12.6127976008824,2.48029790605818,32.3174888734676
31,53.3156509399414,53.5,7.30414428725671,63.6700519214977,53.5375522266735,32.827818658289,2.5,7.22736293247768,12.5742401395525,2.44174044472831,32.767073999906
32,56.6582984924316,56.5,7.66953125,66.805513381958,56.6730136871338,32.9503322126692,2.5,7.66041259765625,12.6501792907715,2.51767959594727,32.9389402655479
35,50.9412117004395,50.5,7.80601196289062,61.0232177734375,50.8907180786133,32.9450035825918,2.5,7.8215827094184,12.647146013048,2.51464631822374,32.9411636525571
34,34.978271484375,34.5,7.95518188476562,44.8444589887347,34.7119592939104,32.9236487928285,2.5,7.96098910245028,12.5854677720503,2.45296807722612,32.9421540300725
33,43.1079139709473,43.5,7.8885498046875,53.5443935394287,43.4118938446045,32.9740840201414,2.5,7.93447672526042,12.5600055058797,2.4275058110555,32.9972631164112
