Station,MLD,MLtemp
1,36.2397766113281,7.0280029296875
2,37.2514610290527,6.95853271484375
3,76.0066375732422,6.79247436523437
5,66.9277648925781,7.16627197265625
4,93.0497665405273,6.72609252929688
7,53.4260749816895,7.00748291015625
8,58.2399978637695,7.03772989908854
9,97.4355545043945,6.92109375
10,75.0926055908203,7.04284057617187
11,72.002326965332,7.36880493164062
13,63.0255279541016,7.52862548828125
14,65.4527969360352,7.37945557008972
15,58.4696998596191,7.32071228407969
17,65.69140625,7.21304321289062
18,59.9260635375977,7.42696533203125
19,59.0577850341797,7.4291259765625
20,93.4368209838867,7.00376586914062
21,76.9267654418945,7.10857543945312
23,95.3280334472656,7.22274780273438
24,26.978271484375,7.7100830078125
25,29.1427955627441,7.37310791015625
26,43.3054847717285,7.60558471679687
27,55.5244407653809,7.2250244140625
28,43.3393936157227,7.36340942382813
29,77.2555541992188,7.10545043945312
31,53.1983604431152,7.30472106970429
32,56.3877944946289,7.66953125
35,50.7877960205078,7.80601196289062
34,34.8200607299805,7.95518188476562
33,43.0833396911621,7.8885498046875
36,56.6751594543457,7.67340087890625
37,63.9384422302246,7.45343017578125
38,61.6328659057617,7.6248291015625
39,70.0260238647461,7.3640625
40,34.8066635131836,6.97534790039063
41,7.8488974571228,7.1703125
42,11.488977432251,7.19649658203125
43,18.1869049072266,7.1777099609375
44,24.6316413879395,7.06451416015625
45,9.93118476867676,6.97467041015625
46,28.3368682861328,6.99384155273438
47,85.5137405395508,8.32669067382812
48,35.3455581665039,6.90852661132813
50,38.2769546508789,6.85830078125
51,67.7754974365234,7.63497924804688
56,58.9524726867676,7.55758056640625
55,9.07326507568359,6.95946044921875
52,10.7366123199463,7.1548583984375
49,90.3133392333984,7.41704711914062
53,9.30563259124756,7.37938232421875
54,12.3522682189941,7.06171264648438
57,7.43403291702271,7.09649047851562
61,61.1861381530762,7.46427612304687
67,56.6818809509277,7.58035888671875
68,64.4649810791016,7.22938232421875
66,6.05796194076538,7.03253173828125
62,7.47561979293823,7.35225830078125
60,7.64037275314331,7.36207275390625
65,11.3687858581543,7.22981567382813
63,12.6860885620117,7.64118041992188
58,17.9026527404785,7.18304443359375
59,7.08704137802124,8.01444702148438
64,13.1649465560913,7.47133178710938
69,8.70970439910889,7.42744750976563
70,16.6485729217529,7.184423828125
71,14.4540691375732,7.39965209960937
72,10.2531719207764,7.66238403320312
76,17.9657917022705,7.60670166015625
77,31.150297164917,7.58349609375
78,26.6720333099365,7.25505981445312
73,17.0832805633545,6.94547729492187
74,60.8382415771484,7.6176025390625
79,60.7699890136719,8.13104858398438
75,69.2653274536133,7.40865478515625
80,28.7345695495605,7.32171020507812
82,29.0780239105225,7.6248779296875
83,40.213550567627,7.7119140625
84,19.4214763641357,7.646875
86,24.0021228790283,7.689599609375
87,28.8843994140625,7.7343505859375
93,26.6422557830811,7.65795288085937
88,73.6078720092773,7.62132568359375
85,41.3697128295898,7.69436645507812
89,62.5727691650391,7.81204833984375
90,61.3766021728516,7.82734578439607
91,66.6556701660156,7.70199584960938
97,65.0964965820312,7.62947998046875
96,67.5222091674805,7.59363403492208
92,66.5063018798828,7.53734741210937
95,12.5500640869141,7.58695068359375
94,21.6871223449707,7.686767578125
104,24.574951171875,7.77581787109375
103,77.0313720703125,7.68993123372396
102,73.8537292480469,7.60296630368245
98,66.0117721557617,7.4397705078125
100,58.1371078491211,7.3059326171875
99,58.4600830078125,7.28869018628357
101,55.958927154541,7.5160858160436
105,58.5146293640137,7.42223510742187
106,21.5047340393066,7.52880249023437
109,20.9981880187988,8.11969604492188
110,16.3647747039795,8.11359252929688
108,66.2723770141602,7.56339111328125
107,54.7558746337891,7.63554077148437
112,17.7321109771729,8.3681640625
113,10.5950078964233,8.3691162109375
