Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr
41,Surface,2.5,7.674394008,12.6994885,2.566988809,32.73524705
42,Bottom,91.80539703,6.879077147,102.1956348,92.06313515,32.9726
42,Surface,2.5,7.649547682,12.60832755,2.475827853,33.05741007
43,Bottom,93.80614471,8.324635315,104.5703798,94.43788006,33.65040107
43,Surface,2.5,7.672115072,12.66261689,2.530117194,32.86947634
44,Bottom,89.05056,6.843389893,99.39611192,89.26361223,32.9272
44,Surface,2.5,7.562691825,12.69785282,2.565353121,32.77657584
45,Bottom,72.29341888,6.882751465,82.7726593,72.64015961,32.68099692
45,Surface,2.5,7.469469198,12.64469433,2.512194633,32.64138164
46,Bottom,78.85903168,6.788006592,89.15282549,79.0203258,32.95057082
46,Surface,2.5,7.498149414,12.61719818,2.484698486,32.68982311
47,Bottom,85.75074005,8.326690674,96.1541541,86.0216544,33.66734734
47,Surface,2.5,7.085714722,12.60330343,2.470803738,32.50533005
48,Bottom,76.94430542,6.862652588,87.18876495,77.05626526,33.00149831
48,Surface,2.5,7.424626576,12.69852101,2.566021312,32.87209917
49,Bottom,90.9247818,7.417047119,101.1056091,90.97310944,33.3029
49,Surface,2.5,7.340887451,12.66910589,2.536606193,32.73159776
50,Bottom,71.62857056,6.812060547,81.87382889,71.74132919,32.68881959
50,Surface,2.5,7.352009277,12.58567924,2.45317955,32.68368276
51,Bottom,68.03730774,7.634976366,78.11783659,67.98533689,32.85546322
51,Surface,2.5,7.694557953,12.64096415,2.508464456,32.89362538
52,Bottom,71.44334412,6.7480896,81.95462799,71.8221283,32.81061943
52,Surface,2.5,7.620625814,12.69408067,2.561580976,32.74424691
53,Bottom,99.18225861,9.112054443,109.4612325,99.32873281,34.00596218
53,Surface,2.5,7.846874128,12.72372082,2.591221128,32.81912985
54,Bottom,84.89850616,7.151025391,95.14910671,85.01660701,33.10923277
54,Surface,2.5,7.556919556,12.68705349,2.554553795,32.56229373
55,Bottom,66.23839569,6.844537354,76.71004486,66.57754517,32.63504604
55,Surface,2.5,7.433327811,12.62896456,2.496464866,32.60828986
56,Bottom,59.18919754,7.557580566,69.14114634,59.00864665,32.77061788
56,Surface,2.5,7.598726807,12.72937126,2.596871567,32.7094821
57,Bottom,69.28873444,6.871026611,79.86160431,69.72910461,32.5942473
57,Surface,2.5,7.590714333,12.68438833,2.551888639,32.43083885
58,Bottom,94.74421692,7.488242013,105.4305364,95.29803668,33.315
58,Surface,2.5,7.683195801,12.609268,2.476768303,33.3611
59,Bottom,96.23806763,10.08000488,106.5098457,96.37734604,34.3967
59,Surface,2.5,8.53503495,12.65780115,2.525301456,32.52102731
60,Bottom,84.41975403,7.544818115,94.87190247,84.73940277,33.32386857
60,Surface,2.5,7.855057373,12.6666151,2.53411541,32.50897113
61,Bottom,61.53076172,7.464276123,71.78342247,61.65092278,32.72810184
61,Surface,2.5,7.626770698,12.6815958,2.549096107,32.5481254
62,Bottom,70.50339508,6.939520264,80.84662628,70.71412659,32.57621329
62,Surface,2.5,7.887987518,12.62080121,2.488301516,32.40228813
63,Bottom,88.90381622,8.835894775,99.38874817,89.25624847,33.87665825
63,Surface,2.5,8.153674316,12.65154584,2.519046148,32.55869222
64,Bottom,89.24570465,9.674731445,99.91883087,89.78633118,34.2395
64,Surface,2.5,7.998186035,12.60178146,2.469281769,32.45738274
65,Bottom,71.98642731,7.243678029,82.10168669,71.969187,33.11680565
65,Surface,2.5,7.738996233,12.78654902,2.654049328,32.333255
66,Bottom,66.76818085,6.999053955,76.94893265,66.81643295,32.62345172
66,Surface,2.5,7.551270549,12.65377871,2.521279017,32.48206131
67,Bottom,57.0090332,7.580358887,66.99744034,56.86494064,32.75770286
67,Surface,2.5,7.767816162,12.65927849,2.526778793,32.5853
68,Bottom,65.02489471,7.229382324,75.03056335,64.89806366,32.69923921
68,Surface,2.5,7.492635498,12.7189188,2.586419106,32.50549362
69,Bottom,78.15092468,7.536846924,88.33954511,78.20704542,33.25855963
69,Surface,2.5,7.959368025,12.72059236,2.588092668,32.42486272
70,Bottom,70.37467957,6.800915527,80.22525787,70.09275818,32.84208535
70,Surface,2.5,7.689307405,12.62750864,2.495008945,32.5293965
71,Bottom,76.97042084,6.905743408,87.19873619,77.0662365,32.91695544
71,Surface,2.5,7.951394043,12.72940426,2.596904564,32.30234164
72,Bottom,86.40209961,7.586621094,96.96437073,86.83187103,33.28236366
72,Surface,2.5,8.193803188,12.60595403,2.473454339,32.29761974
73,Bottom,68.23629761,6.857308683,78.1908741,68.0583744,32.71454598
73,Surface,2.5,7.466583506,12.70990729,2.577407598,32.49728905
74,Bottom,60.88002014,7.617435564,70.9599415,60.82744181,32.82892568
74,Surface,2.5,7.866987828,12.6366103,2.504110609,32.73113503
