Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr,O2,O2Sat
31,Bottom,53.71178552,16.15550234,64.07513252,53.94263252,32.70836079,267.1877707,106.2210912
31,Surface,2.5,17.05641527,12.69708675,2.564586749,32.65750119,272.8699779,110.373433
32,Bottom,52.04536427,17.71309721,62.13728774,52.00478774,32.59697149,280.0145733,114.6658543
32,Surface,2.5,17.70710289,13.59325548,3.460755483,32.60348765,282.2196741,115.5601288
33,Bottom,46.54272458,18.41819559,56.87457274,46.74207274,32.54704534,278.6013495,115.5980593
33,Surface,2.5,18.41139475,12.55266868,2.420168676,32.5441642,277.1373078,114.9737322
34,Bottom,27.32180531,18.20973841,37.47871961,27.34621961,32.5694,272.9287863,112.7936064
34,Surface,2.5,18.21356969,12.62967571,2.497175712,32.55010943,274.7737701,113.5693621
35,Bottom,49.01163014,17.78517792,59.09135251,48.95885251,32.58289793,280.5649198,115.0403775
35,Surface,2.5,17.78481122,12.67502759,2.542527587,32.57015352,280.3200724,114.9302489
36,Bottom,57.3782327,15.82991844,67.7256728,57.5931728,32.59569936,262.7809243,103.7271202
36,Surface,2.5,17.06776002,12.65617513,2.523675134,32.46521468,279.2085295,112.8293242
37,Bottom,60.04671335,13.76667097,70.66129211,60.52879211,32.8085,252.8948073,95.87502524
37,Surface,2.5,17.42198261,12.68494516,2.552445163,32.35763293,280.5164777,114.0627287
38,Bottom,55.58794501,14.73871254,65.80305864,55.67055864,32.69267748,255.4210555,98.70510487
38,Surface,2.5,17.20483546,12.63544886,2.502948858,32.39553174,278.482565,112.7873946
39,Bottom,65.17891803,11.51860491,75.79133742,65.65883742,32.98795745,253.5236472,91.81019636
39,Surface,2.5,17.51207773,12.63038749,2.497887493,32.39478863,278.6549364,113.5286068
40,Bottom,76.50113186,11.66261875,86.95287478,76.82037478,32.94091082,253.9997169,92.23760875
40,Surface,2.5,17.21475556,12.66425925,2.531759255,32.41461112,279.1013888,113.0729678
41,Bottom,86.21018471,11.79867162,96.99294801,86.86044801,32.91147595,251.911005,91.7268665
41,Surface,2.5,18.24582164,12.66619902,2.533699025,32.85893678,270.3517689,112.0200055
42,Bottom,91.69730312,12.33247535,102.2901307,92.15763067,34.4074,226.8996328,84.33721517
42,Surface,2.5,19.32319085,12.62234244,2.489842438,33.4362618,259.4575414,110.0939407
43,Bottom,94.09400322,14.01295908,104.9779712,94.84547121,35.1961796,210.2020738,81.30783113
43,Surface,2.5,20.69855059,12.63209697,2.499596968,34.0748,252.0790776,110.0835638
44,Bottom,82.63434821,11.09383443,93.28666658,83.15416658,33.1019,251.9752494,90.47991471
44,Surface,2.5,17.1511599,12.61241044,2.479910442,32.37875106,273.2074792,110.524538
45,Bottom,68.40490415,11.09058313,78.90574543,68.77324543,33.02135332,254.7717668,91.43983897
45,Surface,2.5,17.15932198,12.57361931,2.441119315,32.30970436,274.1341231,110.8701322
46,Bottom,67.54838383,10.93425234,77.94000274,67.80750274,33.36135614,248.8681123,89.21533036
