
#################################################################
# Summary Statistics
#################################################################

DIC = 740.8531

                   Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Station79.EM1  0.261 0.107 0.061 0.085 0.185 0.261 0.334 0.438 0.471
p.Station80.EM1  0.462 0.139 0.161 0.211 0.372 0.471 0.562 0.676 0.704
p.Station81.EM1  0.136 0.062 0.032 0.042 0.090 0.133 0.177 0.242 0.264
p.Station82.EM1  0.671 0.122 0.400 0.461 0.600 0.681 0.756 0.853 0.877
p.Station83.EM1  0.304 0.117 0.079 0.108 0.224 0.305 0.382 0.495 0.531
p.Station84.EM1  0.698 0.118 0.438 0.495 0.630 0.708 0.781 0.873 0.897
p.Station85.EM1  0.509 0.138 0.211 0.265 0.427 0.515 0.599 0.721 0.772
p.Station86.EM1  0.570 0.126 0.253 0.320 0.508 0.593 0.660 0.733 0.752
p.Station87.EM1  0.502 0.140 0.199 0.254 0.413 0.510 0.599 0.725 0.754
p.Station88.EM1  0.411 0.132 0.143 0.182 0.324 0.415 0.498 0.623 0.670
p.Station89.EM1  0.478 0.134 0.195 0.246 0.396 0.482 0.566 0.691 0.735
p.Station90.EM1  0.132 0.076 0.022 0.031 0.074 0.120 0.178 0.274 0.312
p.Station91.EM1  0.072 0.055 0.009 0.013 0.033 0.058 0.096 0.185 0.219
p.Station92.EM1  0.538 0.137 0.243 0.300 0.455 0.543 0.625 0.753 0.803
p.Station93.EM1  0.393 0.132 0.116 0.152 0.304 0.403 0.491 0.593 0.622
p.Station94.EM1  0.525 0.140 0.200 0.268 0.444 0.538 0.624 0.735 0.764
p.Station95.EM1  0.659 0.126 0.382 0.443 0.584 0.668 0.745 0.851 0.883
p.Station96.EM1  0.608 0.132 0.322 0.376 0.529 0.613 0.694 0.814 0.854
p.Station97.EM1  0.135 0.080 0.021 0.030 0.073 0.121 0.181 0.288 0.325
p.Station98.EM1  0.420 0.131 0.137 0.188 0.340 0.425 0.506 0.623 0.669
p.Station99.EM1  0.580 0.134 0.278 0.347 0.502 0.590 0.670 0.787 0.828
p.Station100.EM1 0.064 0.039 0.012 0.016 0.034 0.055 0.084 0.140 0.162
p.Station101.EM1 0.584 0.134 0.277 0.342 0.503 0.594 0.678 0.789 0.817
p.Station102.EM1 0.536 0.138 0.224 0.289 0.453 0.546 0.630 0.749 0.779
p.Station103.EM1 0.387 0.134 0.114 0.155 0.292 0.391 0.484 0.602 0.630
p.Station105.EM1 0.195 0.082 0.049 0.065 0.133 0.193 0.251 0.332 0.359
p.Station106.EM1 0.168 0.076 0.040 0.053 0.110 0.164 0.220 0.305 0.327
p.Station107.EM1 0.210 0.109 0.045 0.062 0.129 0.195 0.272 0.413 0.472
