Data,,,,,,,,,,,,
Time,Conductivity,Temperature,Pressure,Temperature,Dissolved O? concentration,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Dissolved O? saturation,Density anomaly
2021-10-05 05:54:25.625,0.015346845,15.25247358,10.13681263,15.5762,341.3536603,0.004312628,0.00427746,0.014028363,1466.842185,18.85611557,109.7476636,-0.926511731
2021-10-05 05:54:25.750,0.015489805,15.25513486,10.13941945,15.5762,341.3535411,0.006919448,0.006863023,0.014099355,1466.851572,19.03057735,109.7476728,-0.926853913
2021-10-05 05:54:25.875,0.015884682,15.25751738,10.14429074,15.5762,341.3531878,0.011790739,0.01169459,0.014294733,1466.860176,19.51462638,109.7476899,-0.927046135
2021-10-05 05:54:26.000,0.01577186,15.2599104,10.13081151,15.5762,341.3531555,-0.001688488,-0.001674719,0.014239502,1466.868213,19.37493456,109.7476425,
2021-10-05 05:54:26.125,0.015023599,15.26120421,10.13682709,15.5747,339.7791197,0.004327089,0.004291803,0.013871346,1466.872363,18.45517287,109.2378233,-0.927977168
2021-10-05 05:54:26.250,0.015745594,15.26158814,10.13193266,15.5747,339.7783302,-0.00056734,-0.000562714,0.014226885,1466.874051,19.34190608,109.2378062,
2021-10-05 05:54:26.375,0.015140005,15.26184585,10.13423521,15.5747,339.7789728,0.001735212,0.001721062,0.013928666,1466.874622,18.59788703,109.2378143,-0.928043531
2021-10-05 05:54:26.500,0.015534881,15.26269786,10.13594031,15.5747,339.7785885,0.003440313,0.003412258,0.014123185,1466.877849,19.08256957,109.2378202,-0.928015721
2021-10-05 05:54:26.625,0.01479769,15.2638181,10.14083281,15.5747,339.7793915,0.008332814,0.008264863,0.013761116,1466.881385,18.17654812,109.2378374,-0.928446508
2021-10-05 05:54:26.750,0.015516078,15.26506981,10.14171718,15.5747,339.7786695,0.00921718,0.009142017,0.014114424,1466.886182,19.05841081,109.2378404,-0.928360807
2021-10-05 05:54:26.875,0.016174205,15.26789405,10.13652957,15.5747,339.7779387,0.004029569,0.003996709,0.014440069,1466.896314,19.86547333,109.2378223,-0.928567116
2021-10-05 05:54:27.000,0.014805412,15.27003982,10.13049134,15.5747,339.7792684,-0.002008665,-0.001992285,0.013766301,1466.902859,18.18337867,109.2378012,
2021-10-05 05:54:27.125,0.015670379,15.27177537,10.13191049,15.583,340.4538458,-0.000589515,-0.000584707,0.014191916,1466.909434,19.24491144,109.4744178,
2021-10-05 05:54:27.250,0.014463399,15.27275358,10.12703919,15.583,340.4550218,-0.005460805,-0.005416274,0.013599574,1466.912036,17.7622018,109.4744007,
2021-10-05 05:54:27.375,0.015098813,15.27375283,10.13597213,15.583,340.4544728,0.003472128,0.003443814,0.013911049,1466.916034,18.54210679,109.474432,-0.929883043
2021-10-05 05:54:27.500,0.014869285,15.27424193,10.13337254,15.583,340.4546779,0.000872538,0.000865423,0.013798547,1466.917556,18.26002482,109.4744229,-0.930057883
2021-10-05 05:54:27.625,0.014462864,15.27401579,10.12964409,15.583,340.4550501,-0.002855912,-0.002832624,0.013599603,1466.916467,17.76101985,109.4744098,
2021-10-05 05:54:27.750,0.014876753,15.27346883,10.13940209,15.583,340.4547364,0.006902095,0.006845811,0.013802034,1466.91497,18.26952756,109.474444,-0.929907927
2021-10-05 05:54:27.875,0.014560964,15.27336891,10.13682227,15.583,340.4550291,0.004322269,0.004287022,0.013647402,1466.914393,17.88176195,109.474435,-0.93002462
2021-10-05 05:54:28.000,0.014248765,15.27436289,10.13193555,15.583,340.4552917,-0.000564448,-0.000559845,0.013495175,1466.917584,17.49795348,109.4744179,
2021-10-05 05:54:28.125,0.015207751,15.27502555,10.13278907,15.5903,339.5858021,0.000289067,0.00028671,0.013964845,1466.920473,18.67532969,109.2122144,-0.930052245
2021-10-05 05:54:28.250,0.014726649,15.27570398,10.12591033,15.5903,339.5862154,-0.006589666,-0.006535929,0.013729002,1466.922433,18.08424281,109.2121904,
2021-10-05 05:54:28.375,0.014557091,15.2764613,10.13278907,15.5903,339.5864615,0.000289067,0.00028671,0.013646217,1466.925077,17.87570875,109.2122144,-0.9305209
2021-10-05 05:54:28.500,0.014835562,15.27584598,10.1356722,15.5903,339.586211,0.003172198,0.00314633,0.013782379,1466.92315,18.2179267,109.2122245,-0.930306905
2021-10-05 05:54:28.625,0.015170143,15.27515703,10.13824045,15.5903,339.5858995,0.005740455,0.005693643,0.013946393,1466.920996,18.62908988,109.2122335,-0.93006141
2021-10-05 05:54:28.750,0.013898963,15.27541473,10.13881718,15.5903,339.5871915,0.006317177,0.006265663,0.013325087,1466.921146,17.06796475,109.2122355,-0.930580826
2021-10-05 05:54:28.875,0.01407207,15.2763719,10.13193507,15.5903,339.586942,-0.00056493,-0.000560323,0.013409543,1466.924465,17.28015168,109.2122114,
2021-10-05 05:54:29.000,0.014654982,15.27725017,10.13766952,15.5903,339.586415,0.005169517,0.005127361,0.013694274,1466.927958,17.99558341,109.2122315,-0.930582414
2021-10-05 05:54:29.125,0.012992806,15.27828622,10.12994546,15.5897,339.976171,-0.002554536,-0.002533704,0.012887051,1466.930453,15.9541264,109.3356358,
2021-10-05 05:54:29.250,0.014090873,15.27860177,10.13796414,15.5897,339.9751556,0.005464145,0.005419586,0.013419226,1466.932327,17.30233689,109.3356639,-0.931002926
2021-10-05 05:54:29.375,0.013978051,15.27776557,10.12993148,15.5897,339.9751824,-0.002568515,-0.00254757,0.013364114,1466.929222,17.16413848,109.3356358,
2021-10-05 05:54:29.500,0.01425265,15.27698196,10.13365126,15.5897,339.9749462,0.001151258,0.00114187,0.013497682,1466.926721,17.5016491,109.3356488,-0.930712451
