Data,,,,,,,,,,,,
Time,Conductivity,Temperature,Pressure,Temperature,Dissolved O? concentration,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Dissolved O? saturation,Density anomaly
2021-10-08 11:57:03.000,0.003716708,17.37872167,10.13540199,17.824,333.1136878,0.002901989,0.002878325,0.009590728,1474.033581,4.349502568,112.2777606,-1.283036945
2021-10-08 11:57:03.125,0.003942354,17.36161086,10.12911201,17.824,333.113478,-0.003387987,-0.003360359,0.009662216,1473.977225,4.615332275,112.277738,
2021-10-08 11:57:03.250,0.004991181,17.3398958,10.12911395,17.824,333.1127352,-0.003386052,-0.00335844,0.010034366,1473.906136,5.84603801,112.277738,
2021-10-08 11:57:03.375,0.003513336,17.31786597,10.13171866,17.824,333.1138338,-0.000781339,-0.000774967,0.00949786,1473.832924,4.117106964,112.2777474,
2021-10-08 11:57:03.500,0.003660296,17.29873593,10.12398092,17.824,333.1136666,-0.008519076,-0.008449605,0.009540309,1473.769759,4.291160297,112.2777196,
2021-10-08 11:57:03.625,0.003171396,17.28715191,10.13172108,17.824,333.1140843,-0.000778921,-0.000772569,0.009372369,1473.731467,3.718961334,112.2777474,
2021-10-08 11:57:03.750,0.00426549,17.2754787,10.12970282,17.824,333.1133214,-0.00279718,-0.00277437,0.009743849,1473.693354,5.003267183,112.2777402,
2021-10-08 11:57:03.875,0.00425435,17.25745488,10.12256605,17.824,333.113267,-0.009933954,-0.009852946,0.009732993,1473.633718,4.992217029,112.2777145,
2021-10-08 11:57:04.000,0.003694455,17.23867053,10.12401864,17.7958,332.2499359,-0.008481357,-0.008412195,0.009528622,1473.571451,4.33704116,111.9214236,
2021-10-08 11:57:04.125,0.004675704,17.22197847,10.12805032,17.7958,332.2492925,-0.004449676,-0.004413391,0.009873271,1473.516768,5.491017424,111.921438,
2021-10-08 11:57:04.250,0.003833001,17.20840657,10.13091635,17.7958,332.249937,-0.001583651,-0.001570737,0.009564875,1473.471578,4.502741392,111.9214483,
2021-10-08 11:57:04.375,0.004668035,17.19652848,10.12891405,17.7958,332.2493263,-0.003585952,-0.00355671,0.009860915,1473.432618,5.48514236,111.9214411,
2021-10-08 11:57:04.500,0.004690319,17.18601906,10.13006907,17.7958,332.24933,-0.002430934,-0.002411111,0.009865235,1473.397876,5.512628347,111.9214452,
2021-10-08 11:57:04.625,0.003885942,17.17596585,10.13495238,17.7958,332.2499681,0.002452382,0.002432384,0.009570828,1473.364339,4.568258859,111.9214627,-1.247177721
2021-10-08 11:57:04.750,0.004205608,17.16561367,10.13209071,17.7958,332.2497194,-0.000409291,-0.000405953,0.009680455,1473.330159,4.945202925,111.9214525,
2021-10-08 11:57:04.875,0.004818465,17.15640994,10.12865999,17.7958,332.249242,-0.00384001,-0.003808696,0.009901888,1473.299898,5.667008813,111.9214402,
2021-10-08 11:57:05.000,0.004130392,17.14928817,10.13067051,17.8317,333.0749279,-0.001829489,-0.00181457,0.009647213,1473.276043,4.858542005,112.2825728,
2021-10-08 11:57:05.125,0.003968833,17.13948651,10.12782334,17.8317,333.0750199,-0.004676655,-0.004638519,0.00958593,1473.243459,4.669529246,112.2825625,
2021-10-08 11:57:05.250,0.004382518,17.12285137,10.13154923,17.8317,333.0747756,-0.000950774,-0.000943021,0.009728247,1473.188574,5.158178902,112.2825759,
2021-10-08 11:57:05.375,0.004389458,17.11502672,10.13213471,17.8317,333.0747827,-0.000365287,-0.000362308,0.009727808,1473.16265,5.167256675,112.282578,
2021-10-08 11:57:05.500,0.003547473,17.11066337,10.13072225,17.8317,333.0753658,-0.001777748,-0.001763251,0.009428056,1473.147804,4.1764844,112.282573,
2021-10-08 11:57:05.625,0.004514145,17.11624343,10.12642829,17.8317,333.0746298,-0.006071708,-0.006022195,0.00977396,1473.166645,5.313892169,112.2825575,
2021-10-08 11:57:05.750,0.003814197,17.12451384,10.13100919,17.8317,333.075174,-0.001490807,-0.00147865,0.00952572,1473.193832,4.489103955,112.282574,
2021-10-08 11:57:05.875,0.00343465,17.13109553,10.12873736,17.8317,333.0754051,-0.00376264,-0.003731957,0.009397785,1473.21545,4.041798858,112.2825658,
2021-10-08 11:57:06.000,0.004126944,17.14193037,10.12472744,17.8561,333.4898521,-0.00777256,-0.007709178,0.009643156,1473.251572,4.855288256,112.4790458,
2021-10-08 11:57:06.125,0.004574015,17.14872702,10.13020978,17.8561,333.4895808,-0.002290218,-0.002271542,0.009808253,1473.27437,5.380439322,112.4790655,
2021-10-08 11:57:06.250,0.005028788,17.16133433,10.13620653,17.8561,333.4892962,0.003706529,0.003676304,0.00998277,1473.316422,5.913715799,112.4790871,-1.244282477
2021-10-08 11:57:06.375,0.003791923,17.18241103,10.12619067,17.8561,333.4900729,-0.006309325,-0.006257875,0.009540465,1473.385486,4.457085973,112.4790511,
2021-10-08 11:57:06.500,0.004777399,17.20084445,10.13080059,17.8561,333.4893976,-0.001699412,-0.001685553,0.009903112,1473.446974,5.613105996,112.4790677,
2021-10-08 11:57:06.625,0.003795393,17.22090341,10.13483033,17.8561,333.4901328,0.002330334,0.002311331,0.009556628,1473.512946,4.45731239,112.4790822,-1.25510119
2021-10-08 11:57:06.750,0.004371394,17.24417685,10.13078463,17.8561,333.489663,-0.001715369,-0.001701381,0.0097702,1473.590042,5.131088505,112.4790676,
2021-10-08 11:57:06.875,0.004683379,17.26556745,10.12793215,17.8561,333.4893884,-0.004567854,-0.004530605,0.009892391,1473.660784,5.494657284,112.4790573,
2021-10-08 11:57:07.000,0.004860295,17.28257912,10.12937797,17.8082,332.6180051,-0.003122027,-0.003096568,0.009964337,1473.717047,5.700045275,112.0743877,
2021-10-08 11:57:07.125,0.003825343,17.29436243,10.12853746,17.8082,332.6187313,-0.003962541,-0.003930227,0.009595512,1473.755472,4.485092559,112.0743847,
2021-10-08 11:57:07.250,0.004197938,17.31516009,10.13054411,17.8082,332.6184751,-0.001955888,-0.001939939,0.009734745,1473.824267,4.919657276,112.0743919,
2021-10-08 11:57:07.375,0.004998839,17.3394658,10.14319079,17.8082,332.6180071,0.01069079,0.01060361,0.010037075,1473.904953,5.855064951,112.0744373,-1.275674403
2021-10-08 11:57:07.500,0.005070585,17.35741574,10.13487144,17.8082,332.6178518,0.002371436,0.002352098,0.010070567,1473.963992,5.936715021,112.0744074,-1.278877421
2021-10-08 11:57:07.625,0.003829531,17.37348303,10.13029537,17.8082,332.6186861,-0.002204628,-0.00218665,0.009627552,1474.016296,4.482059573,112.074391,
2021-10-08 11:57:07.750,0.004487666,17.3900799,10.13315995,17.8082,332.6182386,0.000659945,0.000654564,0.009867356,1474.071259,5.250388272,112.0744013,-1.284857089
2021-10-08 11:57:07.875,0.004897902,17.40381355,10.13173685,17.8082,332.617913,-0.000763154,-0.000756931,0.010023109,1474.116609,5.728590154,112.0743962,
