05-22-2021,,07:58:27,ESL06b_01
05-22-2021,,08:30:42,RSA_012a
05-22-2021,,09:10:02,RSA_012b
05-22-2021,,10:01:17,RSA_013a
05-22-2021,,10:25:22,RSA_013b
05-22-2021,,11:05:52,RSA_014a
05-22-2021,,11:44:17,RSA_014b
05-22-2021,,12:11:02,RSA_015a
05-22-2021,,12:40:27,RSA_015b
05-22-2021,,13:25:07,RSA_016a
05-22-2021,,14:02:37,RSA_016b
05-22-2021,,14:56:12,RSA_017a
05-22-2021,,15:23:41,RSA_017b
05-22-2021,,16:00:41,RSA_018a
05-22-2021,,16:27:56,RSA_018b
05-22-2021,,17:01:11,RSA_019a
05-22-2021,,17:28:51,RSA_019b
05-22-2021,,17:56:11,RSA_020a
05-22-2021,,18:21:51,RSA_020b
05-22-2021,,18:48:21,RSA_021a
05-22-2021,,19:13:46,RSA_021b
05-22-2021,,19:53:06,RSA_022a
05-22-2021,,20:19:56,esl06b_01
