Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
15,Surface,RSA_015B,20210502,41°06.17',68°41.99',41°06.32',68°42.01',32.2,58.9,NA,15:40,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.425742885,2,12.73374898,2,2.601249286,2,32.9349,2,2056.9,2,2228,,308.4443399
16,Bottom,RSA_016A,20210502,41°12.08',68°47.56',41°12.23',68°47.55',40.8,74.6,NA,16:28,16:30,16:33,16:34,NA,Benzalkonium and mercuric,250,CTD off,NA,NA,NA,NA,NA,NA,NA,NA,,74.6,NA,-999,NA,-999,NA,-999,32.9734,-999,2066.3,2,2227.7,,
16,Surface,RSA_016B,20210502,41°12.08',68°47.56',41°12.23',68°47.55',40.8,74.6,NA,16:28,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,NA,-999,NA,-999,NA,-999,32.9757,-999,2073.2,2,2231.2,,
17,Bottom,RSA_017A,20210502,41°12.16',68°42.26',41°12.22',68°42.20',35,64,17:02,17:03,17:05,17:08,17:09,L12,Benzalkonium and mercuric,250,,17:12,17:27,41°12.30,68°42.16,41°12.27,68°40.26,53,50,,66.39179962,7.213043213,2,76.06489236,2,65.93239267,2,32.9656,2,2069.6,2,2226.6,,305.4301965
17,Surface,RSA_017B,20210502,41°12.16',68°42.26',41°12.22',68°42.20',35,64,NA,17:03,NA,NA,NA,NA,Benzalkonium and mercuric,250,,17:12,17:27,41°12.30,68°42.16,41°12.27,68°40.26,53,50,,2.5,7.356968386,2,12.61343956,2,2.480939865,2,32.9619,2,2069.8,2,2225.5,,307.7960381
18,Bottom,RSA_018A,20210502,41°12.04',68°35.71',41°12.17',NA,33,60.4,17:57,17:57,17:58,18:00,18:01,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,60.45032,7.426965332,2,70.30398941,2,60.17148972,2,32.963,2,2069.2,2,2224.6,,310.2296073
18,Surface,RSA_018B,20210502,41°12.04',68°35.71',41°12.17',NA,33,60.4,NA,17:57,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.467552185,2,12.65672147,2,2.524221778,2,32.9588,2,2057.6,2,2224.5,,309.8390143
19,Bottom,RSA_019A,20210502,41°17.50',68°30.16',41°17.69',68°30.09',31.9,58.3,18:38,18:38,18:40,18:42,18:44,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,59.58232,7.429125977,2,69.67708842,2,59.54458872,2,33.0153,2,2078.8,2,2225,,308.768
19,Surface,RSA_019B,20210502,41°17.50',68°30.16',41°17.69',68°30.09',31.9,58.3,NA,18:38,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.466015625,2,12.64651205,2,2.514012351,2,33.0062,2,2078.8,2,2227.2,,308.1073359
20,Bottom,RSA_020A,20210502,41°21.06',68°41.78',41°21.12',68°41.76',51.2,93.6,19:49,19:49,19:50,19:52,19:53,L11,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,94.73071,7.003765869,2,104.220842,2,94.08834229,2,33.0042,2,2073.9,2,2229,,303.8080718
20,Surface,RSA_020B,20210502,41°21.06',68°41.78',41°21.12',68°41.76',51.2,93.6,NA,19:49,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.16027832,2,12.62153784,2,2.48903815,2,32.9889,2,2079.4,2,2228,,305.7195915
21,Bottom,RSA_021A,20210502,41°21.16',68°35.29',41°21.21',68°35.12',41.4,75.7,20:23,20:23,20:25,20:27,20:28,L10,Benzalkonium and mercuric,250,,20:31,20:47,41°21.39,68°34.50,41°21.68,68°33.03,24,24,Abundance edited from 23 -- we physically have 24 samples,77.64481,7.108575439,2,87.27835007,2,77.14585037,2,32.9862,2,2072,2,2225.7,,304.7401471
21,Surface,RSA_021B,20210502,41°21.16',68°35.29',41°21.21',68°35.12',41.4,75.7,NA,20:23,NA,NA,NA,NA,Benzalkonium and mercuric,250,,20:31,20:47,41°21.39,68°34.50,41°21.68,68°33.03,24,24,,2.5,7.268623354,2,12.60065206,2,2.468152364,2,32.9894,2,2076.4,2,2224.2,,306.0326473
22,Bottom,RSA_022A,20210502,41°23.51',68°24.20',41°23.55',68°24.24',35.7,65.3,NA,21:29,21:30,21:35,21:37,NA,Benzalkonium and mercuric,250,CTD off,NA,NA,NA,NA,NA,NA,NA,NA,,65.3,NA,-999,NA,-999,NA,-999,32.989,-999,2078.1,2,2225.9,,
22,Surface,RSA_022B,20210502,41°23.51',68°24.20',41°23.55',68°24.24',35.7,65.3,NA,21:29,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,NA,-999,NA,-999,NA,-999,33.0566,-999,2066.4,2,2226.5,,
23,Bottom,RSA_023A,20210502,41°30.02',68°29.85',41°30.12',68°29.71',52.2,95.5,22:32,22:32,22:35,22:37,22:40,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,96.40216,7.222849528,2,106.1136837,2,95.98118401,2,33.0389,2,2081.7,2,2229.7,,299.8602469
23,Surface,RSA_023B,20210502,41°30.02',68°29.85',41°30.12',68°29.71',52.2,95.5,NA,22:32,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.29156901,2,12.62777996,2,2.495280266,2,33.035,2,2082,2,2229.5,,304.8688846
24,Bottom,RSA_024A,20210502,41°36.16',68°23.75',41°36.30',68°23.59',15,27.4,23:28,23:28,23:28,23:29,23:31,L18,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,27.53687,7.710083008,2,36.92798506,2,26.79548536,2,32.9299,2,2070,2,2224.6,,304.7659502
