Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
20,Bottom,RSA_020A,20210502,41°21.06',68°41.78',41°21.12',68°41.76',51.2,93.6,19:49,19:49,19:50,19:52,19:53,L11,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,94.73071,7.003765869,2,104.220842,2,94.08834229,2,33.0042,2,2073.9,2,2229,NA,303.8080718
21,Bottom,RSA_021A,20210502,41°21.16',68°35.29',41°21.21',68°35.12',41.4,75.7,20:23,20:23,20:25,20:27,20:28,L10,Benzalkonium and mercuric,250,,20:31,20:47,41°21.39,68°34.50,41°21.68,68°33.03,24,24,Abundance edited from 23 -- we physically have 24 samples,77.64481,7.108575439,2,87.27835007,2,77.14585037,2,32.9862,2,2072,2,2225.7,NA,304.7401471
23,Bottom,RSA_023A,20210502,41°30.02',68°29.85',41°30.12',68°29.71',52.2,95.5,22:32,22:32,22:35,22:37,22:40,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,96.40216,7.222849528,2,106.1136837,2,95.98118401,2,33.0389,2,2081.7,2,2229.7,NA,299.8602469
24,Bottom,RSA_024A,20210502,41°36.16',68°23.75',41°36.30',68°23.59',15,27.4,23:28,23:28,23:28,23:29,23:31,L18,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,27.53687,7.710083008,2,36.92798506,2,26.79548536,2,32.9299,2,2070,2,2224.6,NA,304.7659502
25,Bottom,RSA_025A,20210503,41°47.04',68°11.30',41°47.05',68°11.00',40,73.2,1:03,1:04,1:05,1:07,1:08,L9,Mercuric,100,,1:04,1:28,41°47.04,68°11.36,41°46.96,68°09.93,292,50,,74.68767,7.183447266,2,84.28215027,2,74.14965057,2,33.1154,2,2089.6,2,2232,NA,292.3669427
26,Bottom,RSA_026A,20210503,41°47.04',68°00.19',41°47.12',68°00.05',22.9,41.9,2:20,2:20,2:21,2:23,2:23,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,43.95594,7.605584717,2,53.70165482,2,43.56915512,2,33.0187,2,2072.2,2,2230.3,NA,299.8483633
27,Bottom,RSA_027A,20210503,41°53.08',67°54.19',41°53.16',67°54.18',30.4,55.6,3:12,3:12,3:14,3:14,3:16,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,55.95419,7.225024414,2,65.88976479,2,55.75726509,2,33.0837,2,2091.3,2,2232.1,NA,291.3312778
28,Bottom,RSA_028A,20210503,42°00.67',67°29.72',42°00.76',67°29.72',24.9,45.5,5:27,5:27,5:28,5:31,5:32,NA,Benzalkonium and mercuric,250,,6:00,6:15,42°03.93,67°26.05,42°04.98,67°25.22,2008,50,,43.69947,7.363727679,2,53.65159375,2,43.51909405,2,32.8758,2,2071.9,2,2221.5,NA,298.2713494
29,Bottom,RSA_029A,20210503,42°06.32',67°23.90',42°06.54',67°23.87',43.2,79,6:34,6:34,6:36,6:39,6:40,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,78.02595,7.105437012,2,88.05057907,2,77.91807938,2,32.9555,2,2082,2,2225,NA,293.2975351
31,Bottom,RSA_031A,20210503,42°01.69',67°11.98',42°01.67',67°11.93',28.7,52.5,8:35,8:35,8:36,8:38,8:39,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,53.74686,7.304144287,2,63.67005192,2,53.53755223,2,32.8071,2,2065.6,2,2212.7,NA,299.4034672
