Flag,TA_avg,TA_stdev,BottleID,Salinity
,2254.1,0.3,RSA_077A,33.497
,2204.1,0.8,RSA_077B,32.298
,2242.4,0.7,RSA_078A,33.284
,2205.9,0.7,RSA_078B,32.479
very high drift,2230.5,4.2,RSA_079A,32.935
very high drift,2231,0.2,RSA_079B,32.917
very high drift,2231.3,1.4,RSA_080A,32.912
very high drift,2212.4,0.8,RSA_080B,32.468
very high drift,2256.3,0.5,RSA_081A,33.508
very high drift,2218.6,0.1,RSA_081B,32.701
very high drift,2244.2,0.9,RSA_082A,32.930
very high drift,2219.6,0.1,RSA_082B,32.794
very high drift,2234.1,1.4,RSA_083A,32.909
very high drift,2224.5,0.2,RSA_083B,32.903
very high drift,2234.2,1.3,RSA_084A,33.046
very high drift,2219.2,0.7,RSA_084B,32.771
,2228.9,0.3,RSA_085A,32.897
,2226.1,1.4,RSA_085B,32.808
,2278,0.4,RSA_086A,33.886
,2221.8,0.2,RSA_086B,32.712
,2277.6,0.5,RSA_087A,34.046
,2221.8,0.5,RSA_087B,32.635
,2237.9,0.8,RSA_088A,33.009
,2234.9,1.2,RSA_088B,32.866
,2224.6,0.9,RSA_089A,32.812
,2227.5,0.7,RSA_089B,32.882
,2226.6,0.5,RSA_090A,32.819
,2223.4,1.7,RSA_090B,32.811
,2228.8,0.8,RSA_091A,32.818
,2226.2,0.7,RSA_091B,32.785
,2226.4,0,RSA_092A,32.807
,2218.9,0.5,RSA_092B,32.764
,2246.2,1.5,RSA_093A,33.241
,2232.7,0.1,RSA_093B,32.896
,2241.1,2.5,RSA_094A,33.044
,2224,0.4,RSA_094B,32.831
,2234.2,0.6,RSA_095A,32.900
,2230.6,0.5,RSA_095B,32.845
,2234.8,0.2,RSA_096A,32.879
,2221.7,0.1,RSA_096B,32.779
,2220.3,0.1,RSA_097A,32.855
,2233.9,2.2,RSA_097B,32.748
,2219.4,9.9,RSA_098A,32.886
,2217.5,6.4,RSA_098B,32.878
,2219.7,1.5,RSA_099A,32.815
,2219.6,3.6,RSA_099B,32.796
,2229.2,2.2,RSA_100A,32.917
,2227.1,4.3,RSA_100B,32.919
,2220.9,0.7,RSA_101A,32.877
,2224.5,1.1,RSA_101B,32.854
,2226.9,0.6,RSA_102A,32.925
,2222.9,0.9,RSA_102B,32.860
,2230.7,0.1,RSA_103A,32.942
,2224.6,1.3,RSA_103B,32.855
,2243.8,1.6,RSA_104A,33.145
,2223.1,1.3,RSA_104B,32.853
,2215.3,1.3,RSA_105A,32.798
,2210.5,1.3,RSA_105B,32.722
,2224.9,1,RSA_106A,32.951
,2214.2,0.6,RSA_106B,32.835
,2211.8,0.9,RSA_107A,32.694
,2210.1,0,RSA_107B,32.704
,2217.7,0.1,RSA_108A,32.871
,2212.8,0.1,RSA_108B,32.742
,2214.9,1.2,RSA_109A,32.946
,2218.8,0.6,RSA_109B,32.920
,2217,0.9,RSA_110A,32.907
,2213.6,0.2,RSA_110B,32.888
,2225.4,1.4,RSA_111A,33.024
,2210.3,0.9,RSA_111B,32.775
,2216.6,3.1,RSA_112A,32.948
,2211.7,0.4,RSA_112B,32.864
,2202.5,0.4,RSA_113A,32.815
,2198.1,1,RSA_113B,32.792
,2201.4,0.3,RSA_114A,32.720
,2208.3,0.4,RSA_114B,32.698
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
