,Accession,EXPOCODE,Cruise_ID,Observation_type,Station_ID,Cast_number,Niskin_ID,Sample_ID,Date,Latitude,Longitude,Season,Pressure,Depth,Temperature,Salinity,Oxygen,Oxygen_flag,DIC,TALK,TALK_flag,pCO2_atm,ADT,SLA,SST,SST_hires,Chl,KD490
3804,169111.0,33HH20170211,1701,Niskin,113,23.0,11.0,1132311.0,2017-02-22,42.3567,-70.465,winter,3.0,3.0,5.009,32.77,308.0,2.0,2065.0,2187.0,2,406.76,-0.1613150246770478,-0.06476492151128341,4.836534781488803,5.54126982539532,1.2490493082470875,0.10886563657496857
3805,169111.0,33HH20170211,1701,Niskin,114,24.0,1.0,1142401.0,2017-02-22,42.4167,-70.61,winter,82.0,81.3,5.332,32.87,288.0,2.0,2085.1,2211.4,2,406.76,-0.16471239351438527,-0.06915172242821463,4.991427769476114,5.543373100023413,1.4333407299286702,0.11786052326614846
3806,169111.0,33HH20170211,1701,Niskin,114,24.0,4.0,1142404.0,2017-02-22,42.4167,-70.61,winter,43.0,42.7,4.987,32.77,305.0,2.0,2073.5,2200.6,2,406.76,-0.16471239351438527,-0.06915172242821463,4.991427769476114,5.543373100023413,1.4333407299286702,0.11786052326614846
3807,169111.0,33HH20170211,1701,Niskin,114,24.0,11.0,1142411.0,2017-02-22,42.4167,-70.61,winter,3.0,3.0,5.187,32.76,310.0,2.0,2072.2,2194.6,2,406.76,-0.16471239351438527,-0.06915172242821463,4.991427769476114,5.543373100023413,1.4333407299286702,0.11786052326614846
3808,169111.0,33HH20170211,1701,Flow-through,114,,,1140000.0,2017-02-22,42.4167,-70.61,winter,3.0,3.0,5.202,32.766,,9.0,2071.8,2202.8,2,406.76,-0.16471239351438527,-0.06915172242821463,4.991427769476114,5.543373100023413,1.4333407299286702,0.11786052326614846
3809,,,AR18-A,,OSPM,9.0,1.0,,2017-06-01,39.92995,-70.89,summer,465.0785139,461.0,6.707,35.0803,168.730079,2.0,2191.892982,2313.299102,2,406.76,-0.12141286929232847,0.042372068601231425,14.5007107789125,15.193623151822676,0.5801976060634798,0.07080427242116705
3810,,,AR18-A,,OSPM,9.0,2.0,,2017-06-01,39.92995,-70.89,summer,465.0785139,461.0,6.6957,35.0795,189.2452638,2.0,2193.069741,2316.027575,2,406.76,-0.12141286929232847,0.042372068601231425,14.5007107789125,15.193623151822676,0.5801976060634798,0.07080427242116705
3811,,,AR18-A,,OSPM,9.0,3.0,,2017-06-01,39.92995,-70.89,summer,133.0610713,132.0,12.4073,35.5545,187.4390479,2.0,2167.033214,2336.116608,2,406.76,-0.12141286929232847,0.042372068601231425,14.5007107789125,15.193623151822676,0.5801976060634798,0.07080427242116705
3812,,,AR18-A,,OSPM,9.0,5.0,,2017-06-01,39.92995,-70.89,summer,29.22575463,29.0,13.2215,34.2279,267.9004502,2.0,2054.281982,2282.852001,2,406.76,-0.12141286929232847,0.042372068601231425,14.5007107789125,15.193623151822676,0.5801976060634798,0.07080427242116705
3813,,,AR18-A,,OSPM,9.0,7.0,,2017-06-01,39.92995,-70.89,summer,7.054112804,7.0,14.6564,33.991,271.2497926,2.0,2030.763423,2274.448058,2,406.76,-0.12141286929232847,0.042372068601231425,14.5007107789125,15.193623151822676,0.5801976060634798,0.07080427242116705
