Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC.TA.Ratio,Dissolved_oxygen,DO_sat
26,Surface,RSA_289,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,Mercuric,100,filtered sample not labeled on datasheet,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.39908421,NA,12.74795533,NA,2.615455327,NA,32.6397,NA,2005.4,NA,2192.5,NA,0.914663626,268.7600282,109.4224072
27,Surface,RSA_291,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,NA,13:29,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.04823961,NA,12.46057309,NA,2.328073092,NA,32.6736,NA,2008.4,NA,2196.3,NA,0.914447025,270.1503465,109.2668182
28,Surface,RSA_294,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,NA,15:45,NA,NA,NA,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,2.5,17.694766950000002,NA,12.61112882,NA,2.478628824,NA,32.6248,NA,2006.6,NA,2188.7,NA,0.916799927,280.4303729,114.8151868
29,Surface,RSA_296,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,NA,16:58,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.15654629,NA,12.69199654,NA,2.559496539,NA,32.6264,NA,2005.3,NA,2194.5,NA,0.913784461,286.1382638,115.9432589
30,Surface,RSA_299,20211006,42°05.94',67°12.04',42°05.56',67°11.82',28.7,52.5,NA,17:57,NA,NA,NA,,Mercuric,100,,18:07,18:22,42°05.09',67°11.72',42°03.96',67°11.68',513,50,"lobster, cod, barnacles, lots of crabs",2.5,16.37900186,NA,12.64833183,NA,2.515831831,NA,32.7087,NA,2020.2,NA,2205.9,NA,0.915816674,277.5350795,110.8208705
31,Surface,RSA_301,20211006,41°59.96',67°11.98',41°59.81',67°11.96',28.5,52.1,NA,18:49,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.05641527,NA,12.69708675,NA,2.564586749,NA,32.6575,NA,2013.9,NA,2198.5,NA,0.916033659,272.8699779,110.373433
32,Surface,RSA_303,20211006,41°54.05',67°23.89',41°53.15',67°23.70',27,49.4,NA,19:59,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.70710289,NA,13.59325548,NA,3.460755483,NA,32.6035,NA,2002,NA,2189.8,NA,0.914238743,282.2196741,115.5601288
35,Surface,RSA_306,20211006,41°41.96',67°17.99',41°41.81',67°17.99',25.7,47,NA,21:22,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.78481122,NA,12.67502759,NA,2.542527587,NA,32.5702,NA,2003.8,NA,2186.8,NA,0.916316078,280.3200724,114.9302489
34,Surface,RSA_309,20211006,41°35.99',67°30.08',41°36.01',67°30.29',14.7,26.9,NA,22:31,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,18.21356969,NA,12.62967571,NA,2.497175712,NA,32.5501,NA,2001.5,NA,2182.9,NA,0.916899537,274.7737701,113.5693621
33,Surface,RSA_312,20211006,41°30.03',67°42.03',41°30.12',67°42.18',23.3,42.6,NA,23:46,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,18.41139475,NA,12.55266868,NA,2.420168676,NA,32.5442,NA,1993.6,NA,2181.6,NA,0.913824716,277.1373078,114.9737322
36,Surface,RSA_314,20211007,41°30.00',67°06.16',41°29.95',67°06.00',27.9,51,NA,2:57,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.06776002,NA,12.65617513,NA,2.523675134,NA,32.4652,NA,1991.4,NA,2189.6,NA,0.909481184,279.2085295,112.8293242
37,Surface,RSA_316,20211007,41°24.07',67°00.06',41°23.95',66°59.99',33.7,61.6,NA,3:56,NA,NA,NA,,Mercuric,100,,4:06,4:25,41°23.57',67°00.30',41°22.35',67°01.37',2,2,drag down for 19 mins; all sand dollars,2.5,17.42198261,NA,12.68494516,NA,2.552445163,NA,32.3576,NA,1975.3,NA,2183.3,NA,0.90473137,280.5164777,114.0627287
38,Surface,RSA_319,20211007,41°18.02',67°05.95',41°17.97',67°05.92',31.5,57.6,NA,5:10,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.20483546,NA,12.63544886,NA,2.502948858,NA,32.3955,NA,1985.1,NA,2183.4,NA,0.909178346,278.482565,112.7873946
39,Surface,RSA_321,20211007,41°17.93',66°53.94',41°17.80',66°53.90',37.4,68.4,NA,6:14,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.51207773,NA,12.63038749,NA,2.497887493,NA,32.3948,NA,1979.7,NA,2182.9,NA,0.906912822,278.6549364,113.5286068
40,Surface,RSA_323,20211007,41°17.95',66°41.96',41°17.87',66°41.96',41,75,NA,7:20,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.21475556,NA,12.66425925,NA,2.531759255,NA,32.4146,NA,1977.6,NA,2194.1,NA,0.901326284,279.1013888,113.0729678
41,Surface,RSA_326,20211007,41°24.03',66°36.06',41°23.93',66°36.05',46.3,84.7,NA,8:27,NA,NA,NA,,Mercuric,100,,8:36,8:51,41°23.38',66°35.96',41°22.19',66°36.01',843,50,*tow moved bc of lobster gear at site 40; very clean pile,2.5,18.24582164,NA,12.66619902,NA,2.533699025,NA,32.8589,NA,1981.8,NA,2226,NA,0.890296496,270.3517689,112.0200055
42,Surface,RSA_328,20211007,41°17.95',66°29.98',41°17.84',66°30.08',49,89.6,NA,9:37,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,19.32319085,NA,12.62234244,NA,2.489842438,NA,33.4363,NA,1994.5,NA,2254.9,NA,0.884518161,259.4575414,110.0939407
43,Surface,RSA_330,20211007,41°12.05',66°24.11',41°12.00',66°24.22',50.4,92.2,NA,10:32,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,20.69855059,NA,12.63209697,NA,2.499596968,NA,34.0748,NA,1999.4,NA,2281.1,NA,0.876550787,252.0790776,110.0835638
44,Surface,RSA_332,20211007,41°11.99',66°35.91',41°11.94',66°36.09',45,82.3,NA,11:31,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.1511599,NA,12.61241044,NA,2.479910442,NA,32.3788,NA,1972.4,NA,2197.8,NA,0.897442897,273.2074792,110.524538
45,Surface,RSA_334,20211007,41°11.99',66°47.94',41°12.06',66°48.06',38.8,71,NA,12:32,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.15932198,NA,12.57361931,NA,2.441119315,NA,32.3097,NA,1972.4,NA,2191,NA,0.900228206,274.1341231,110.8701322
46,Surface,RSA_336,20211007,41°06.07',66°42.08',41°06.06',66°42.21',42.5,77.7,NA,13:34,NA,NA,NA,,Mercuric,100,quite a bit of headspace,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.23948874,NA,12.63824571,NA,2.505745708,NA,32.5857,NA,1981.7,NA,2206.5,NA,0.898119193,274.6668513,111.4461864
47,Surface,RSA_337,20211007,41°00.02',66°36.02',40°59.96',66°35.95',45.6,83.4,14:32,14:32,14:34,14:35,14:36,,Mercuric,100,originally recorded as bottom sample,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.87996753,NA,12.64539164,NA,2.512891644,NA,32.7222,NA,1978.6,NA,2223.3,NA,0.88993838,274.1723136,112.7191086
