Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
21,Surface,RSA_021B,20210502,41°21.16',68°35.29',41°21.21',68°35.12',41.4,75.7,NA,20:23,NA,NA,NA,NA,Benzalkonium and mercuric,250,,20:31,20:47,41°21.39,68°34.50,41°21.68,68°33.03,24,24,,2.5,7.268623354,2,12.60065206,2,2.468152364,2,32.9894,2,2076.4,2,2224.2,NA,306.0326473
23,Surface,RSA_023B,20210502,41°30.02',68°29.85',41°30.12',68°29.71',52.2,95.5,NA,22:32,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.29156901,2,12.62777996,2,2.495280266,2,33.035,2,2082,2,2229.5,NA,304.8688846
24,Surface,RSA_024B,20210502,41°36.16',68°23.75',41°36.30',68°23.59',15,27.4,NA,23:28,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.718103027,2,12.52414305,2,2.391643351,2,32.9472,2,2062.5,2,2224.7,NA,304.2670468
25,Surface,RSA_025B,20210503,41°47.04',68°11.30',41°47.05',68°11.00',40,73.2,NA,1:04,NA,NA,NA,NA,Mercuric,100,,1:04,1:28,41°47.04,68°11.36,41°46.96,68°09.93,292,50,,2.5,7.87506307,2,12.60012192,2,2.467622227,2,32.6478,2,2040.5,2,2223.1,NA,314.6860983
26,Surface,RSA_026B,20210503,41°47.04',68°00.19',41°47.12',68°00.05',22.9,41.9,NA,2:20,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.61656189,2,12.60710549,2,2.474605799,2,32.9809,2,2076.1,2,2229.2,NA,299.9221564
27,Surface,RSA_027B,20210503,41°53.08',67°54.19',41°53.16',67°54.18',30.4,55.6,NA,3:12,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.601078288,2,12.70912059,2,2.576620897,2,32.8494,2,2069.3,2,2228.3,NA,305.4625462
28,Surface,RSA_028B,20210503,42°00.67',67°29.72',42°00.76',67°29.72',24.9,45.5,NA,5:27,NA,NA,NA,NA,Benzalkonium and mercuric,250,,6:00,6:15,42°03.93,67°26.05,42°04.98,67°25.22,2008,50,,2.5,7.363745626,2,12.73779631,2,2.605296612,2,32.8755,2,2076.8,2,2214.2,NA,297.4606225
29,Surface,RSA_029B,20210503,42°06.32',67°23.90',42°06.54',67°23.87',43.2,79,NA,6:34,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,6.973556083,2,12.6127976,2,2.480297906,2,32.2949,2,2048.7,2,2200.6,NA,305.8541571
31,Surface,RSA_031B,20210503,42°01.69',67°11.98',42°01.67',67°11.93',28.7,52.5,NA,8:35,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.227362932,2,12.57424014,2,2.441740445,2,32.7461,2,2062.4,2,2212.1,NA,300.1402364
32,Surface,RSA_032B,20210503,41°53.24',67°23.87',41°53.18',67°23.72',30.3,55.4,NA,10:05,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.660412598,2,12.65017929,2,2.517679596,2,32.9186,2,2071.8,2,2217.3,NA,300.4684391
