Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
78,Surface,RSA_078B,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,NA,7:19,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.756319635,2,12.81520685,2,2.682707151,2,32.479,2,2045.5,NA,2205.9,NA,305.1628269
79,Surface,RSA_079B,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,NA,10:08,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.097027588,2,12.61384296,2,2.481343269,2,32.917,2,2058.5,NA,2231,-999,298.4386111
80,Surface,RSA_080B,20210505,40°41.75',68°05.87',40°41.76',68°05.87',42.7,78.1,NA,12:03,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.832913547,2,12.63642671,2,2.503927019,2,32.4677,2,2041.4,NA,2212.4,-999,306.204731
82,Surface,RSA_082B,20210505,40°42.21',68°11.91',40°42.24',68°11.90',39.8,72.8,NA,13:49,NA,NA,NA,NA,Benzalkonium and mercuric,250,,6:03,6:18,40°42.23,68°12.60,40°42.12,68°14.46,32,32,,2.5,8.121411133,2,12.68033164,2,2.547831944,2,32.7939,2,2053.4,NA,2219.6,-999,299.2419889
83,Surface,RSA_083B,20210505,40°41.86',68°17.79',40°41.83',68°17.82',35.7,65.3,NA,14:44,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.179837545,2,12.64263519,2,2.510135492,2,32.9032,2,2035.8,NA,2224.5,-999,303.8712283
84,Surface,RSA_084B,20210505,40°35.96',68°24.04',40°35.91',68°24.11',43.2,79,NA,15:34,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.135543213,2,12.66973534,2,2.537235641,2,32.7711,2,2056.7,NA,2219.2,-999,304.9584829
85,Surface,RSA_085B,20210505,40°36.03',68°35.00',40°36.10',68°34.95',35.9,65.7,NA,20:23,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.196938324,2,12.62666798,2,2.494168282,2,32.8084,2,2039.5,NA,2226.1,NA,316.9550125
86,Surface,RSA_086B,20210505,40°30.14',68°29.90',40°30.04',68°29.97',48.8,89.2,NA,16:26,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.190579834,2,12.7094944,2,2.576994705,2,32.7117,2,2052.5,NA,2221.8,NA,305.0561054
87,Surface,RSA_087B,20210505,40°23.50',68°35.59',40°23.51',68°35.56',49.1,89.8,NA,17:20,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.236725871,2,12.59431775,2,2.461818059,2,32.6352,2,2047.1,NA,2221.8,NA,306.808004
88,Surface,RSA_088B,20210505,40°30.06',68°42.05',40°30.15',68°42.06',40,73.2,NA,19:13,NA,NA,NA,NA,Mercuric,100,,19:19,19:37,40°30.00,68°42.05,40°31.53,68°40.54,88,50,,2.5,8.086532593,2,12.63299894,2,2.500499249,2,32.8658,2,2028.2,NA,2234.9,NA,318.1513183
89,Surface,RSA_089B,20210505,40°42.01',68°35.00',40°36.10',68°34.95',34.5,63.1,NA,21:12,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.051106771,2,12.62021526,2,2.487715562,2,32.8818,2,2030.7,NA,2227.5,NA,321.7030333
90,Surface,RSA_090B,20210505,40°47.67',68°42.08',40°47.81',68°42.28',33.4,61.1,NA,21:46,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.868884277,2,12.72679313,2,2.594293435,2,32.8113,2,2035.3,NA,2223.4,NA,319.9026943
91,Surface,RSA_091B,20210505,40°47.59',68°47.59',40°47.61',68°47.58',36.1,66,NA,22:18,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.828149414,2,12.68964799,2,2.557148298,2,32.7853,2,2037.1,NA,2226.2,NA,317.2253327
92,Surface,RSA_092B,20210506,40°36.09',68°47.57',40°36.03',68°47.43',36,65.8,NA,0:38,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.951639404,2,12.64130745,2,2.508807755,2,32.7637,2,2029.8,NA,2218.9,NA,321.2512
93,Surface,RSA_093B,20210505,40°23.54',68°47.55',40°23.52',68°47.61',46.4,84.9,NA,18:18,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.133310954,2,12.6384654,2,2.50596571,2,32.8961,2,2042.4,NA,2232.7,NA,317.2542551
94,Surface,RSA_094B,20210506,40°23.63',68°59.97',40°23.53',68°59.93',45.1,82.5,NA,2:23,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.187442627,2,12.72250347,2,2.590003777,2,32.8307,2,2039.5,NA,2224,NA,316.5423714
95,Surface,RSA_095B,20210506,40°29.99',68°53.96',40°29.77',68°54.08',39.3,71.9,NA,1:33,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.086461182,2,12.68877907,2,2.556279373,2,32.8452,2,2035.1,NA,2230.6,NA,316.0622957
96,Surface,RSA_096B,20210505,40°42.15',68°53.98',40°42.11',68°53.91',36,65.8,NA,23:49,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.077177734,2,12.7062952,2,2.573795509,2,32.7793,2,2011.3,NA,2221.7,NA,336.323356
97,Surface,RSA_097B,20210505,40°47.50',68°53.82',40°47.66',68°53.84',34.3,62.7,NA,22:55,NA,NA,NA,NA,Mercuric,100,,23:05,23:20,40°47.66,68°53.84,40°46.14,68°53.89,17,17,,2.5,7.732478114,2,12.68412304,2,2.551623344,2,32.7481,2,2039.4,NA,2233.9,NA,322.1824051
98,Surface,RSA_098B,20210506,40°47.58',69°05.54',40°47.55',69°05.53',35.9,65.7,NA,7:00,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.406858318,2,12.7043368,2,2.571837107,2,32.8778,2,2062.3,NA,2217.5,NA,306.4367306
99,Surface,RSA_099B,20210506,40°41.20',69°12.64',40°41.22',69°12.62',31.2,57.1,NA,9:17,NA,NA,NA,NA,Benzalkonium and mercuric,250,,8:56,9:11,40°41.78,69°13.04,40°41.23,69°12.57,125,50,,2.5,7.305664934,2,12.60558496,2,2.473085267,2,32.796,2,2060.2,NA,2219.6,NA,308.32582
100,Surface,RSA_100B,20210506,40°47.49',69°17.51',40°47.48',69°17.51',31.4,57.4,NA,8:04,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.302043062,2,12.70832185,2,2.575822157,2,32.9195,2,2058.8,NA,2227.1,NA,306.8802068
101,Surface,RSA_101B,20210506,40°35.80',69°17.74',40°35.81',69°17.71',30.4,55.6,NA,10:09,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.514111939,2,12.63393726,2,2.501437569,2,32.8544,2,2055.6,NA,2224.5,NA,305.4726725
102,Surface,RSA_235,20210506,40°36.24',69°05.68',40°36.21',69°05.70',39.9,73,NA,5:35,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.429628209,2,12.5778468,2,2.445347105,2,32.8599,2,2058.2,NA,2222.9,NA,308.6148784
103,Surface,RSA_103B,20210506,40°30.08',69°05.57',40°30.06',69°05.57',42,76.8,NA,4:29,NA,NA,NA,NA,Mercuric,100,,4:37,4:52,40°30.34,69°05.57,40°31.49,69°05.62,45,44,unsure if 1 scallop was lost or if abundance is wrong,2.5,7.945914633,2,12.71422085,2,2.581721159,2,32.8553,2,2028.3,NA,2224.6,NA,322.4810314
104,Surface,RSA_104B,20210506,40°23.57',69°12.03',40°23.52',69°12.08',44.1,80.7,NA,3:26,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.276765137,2,12.56523647,2,2.432736778,2,32.8529,2,2029.8,NA,2223.1,NA,316.2566389
105,Surface,RSA_105B,20210506,40°29.81',69°24.17',40°29.79',69°24.16',32.7,59.8,NA,11:08,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.598145403,2,12.65463693,2,2.522137233,2,32.7218,2,2043,NA,2210.5,NA,311.0403413
106,Surface,RSA_106B,20210506,40°24.57',69°24.77',40°24.57',69°24.55',38.6,70.6,NA,12:05,NA,NA,NA,NA,Benzalkonium and mercuric,250,,11:43,11:58,40°25.55,69°24.19,40°24.64,69°24.49,12485,50,,2.5,8.027908936,2,12.66362343,2,2.531123734,2,32.8347,2,2042,NA,2214.2,NA,311.5266384
107,Surface,RSA_107B,20210506,40°36.09',69°30.36',40°36.01',69°30.38',29.5,53.9,NA,16:02,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.947431641,2,12.61015205,2,2.477652359,2,32.7043,2,2033.5,NA,2210.1,NA,325.1411087
108,Surface,RSA_108B,20210506,40°30.47',69°35.41',40°30.42',69°35.41',35.9,65.7,NA,15:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.961608887,2,12.65902138,2,2.526521683,2,32.742,2,2038.6,NA,2212.8,NA,320.0600929
109,Surface,RSA_109B,20210506,40°23.59',69°36.24',40°23.59',69°36.23',36.3,66.4,NA,13:16,NA,NA,NA,NA,Benzalkonium and mercuric,250,,13:24,13:40,40°23.54,69°36.60,40°23.48,69°38.30,19,18,unsure if 1 scallop was lost or if abundance is wrong,2.5,8.622790222,2,12.69613304,2,2.563633347,2,32.9204,2,2030.7,NA,2218.8,NA,304.0525617
110,Surface,RSA_110B,20210506,40°23.85',69°41.50',40°23.82',69°41.47',37.5,68.6,NA,14:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.615737479,2,12.75184522,2,2.619345529,2,32.8877,2,2040.6,NA,2213.6,NA,300.4283526
112,Surface,RSA_112B,20210506,40°30.13',69°47.48',40°30.08',69°47.55',37.9,69.3,NA,17:47,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.874117432,2,12.71688728,2,2.584387589,2,32.8637,2,2031.4,NA,2211.7,NA,312.4593316
113,Surface,RSA_113B,20210506,40°35.92',69°53.85',40°35.96',69°53.92',32.1,58.7,NA,18:37,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.862426758,2,12.7107502,2,2.578250504,2,32.7917,2,2029.1,NA,2198.1,NA,305.0727118
